year,state,state_po,state_fips,district,party,districtID
2020,CALIFORNIA,CA,6,27,DEMOCRAT,627
2020,CALIFORNIA,CA,6,28,DEMOCRAT,628
2020,CALIFORNIA,CA,6,29,DEMOCRAT,629
2020,CALIFORNIA,CA,6,30,DEMOCRAT,630
2020,CALIFORNIA,CA,6,31,DEMOCRAT,631
2020,CALIFORNIA,CA,6,32,DEMOCRAT,632
2020,CALIFORNIA,CA,6,33,DEMOCRAT,633
2020,CALIFORNIA,CA,6,34,DEMOCRAT,634
2020,CALIFORNIA,CA,6,35,DEMOCRAT,635
2020,CALIFORNIA,CA,6,36,DEMOCRAT,636
2020,CALIFORNIA,CA,6,37,DEMOCRAT,637
2020,CALIFORNIA,CA,6,38,DEMOCRAT,638
2020,CALIFORNIA,CA,6,39,REPUBLICAN,639
2020,CALIFORNIA,CA,6,40,DEMOCRAT,640
2020,CALIFORNIA,CA,6,41,DEMOCRAT,641
2020,CALIFORNIA,CA,6,42,REPUBLICAN,642
2020,CALIFORNIA,CA,6,43,DEMOCRAT,643
2020,CALIFORNIA,CA,6,44,DEMOCRAT,644
2020,CALIFORNIA,CA,6,45,DEMOCRAT,645
2020,CALIFORNIA,CA,6,46,DEMOCRAT,646
2020,CALIFORNIA,CA,6,47,DEMOCRAT,647
2020,CALIFORNIA,CA,6,48,REPUBLICAN,648
2020,CALIFORNIA,CA,6,49,DEMOCRAT,649
2020,CALIFORNIA,CA,6,50,REPUBLICAN,650
2020,CALIFORNIA,CA,6,51,DEMOCRAT,651
2020,CALIFORNIA,CA,6,52,DEMOCRAT,652
2020,CALIFORNIA,CA,6,53,DEMOCRAT,653
2020,COLORADO,CO,8,1,DEMOCRAT,81
2020,COLORADO,CO,8,2,DEMOCRAT,82
2020,COLORADO,CO,8,3,REPUBLICAN,83
2020,COLORADO,CO,8,4,REPUBLICAN,84
2020,COLORADO,CO,8,5,REPUBLICAN,85
2020,COLORADO,CO,8,6,DEMOCRAT,86
2020,COLORADO,CO,8,7,DEMOCRAT,87
2020,CONNECTICUT,CT,9,1,DEMOCRAT,91
2020,CONNECTICUT,CT,9,2,DEMOCRAT,92
2020,CONNECTICUT,CT,9,3,DEMOCRAT,93
2020,CONNECTICUT,CT,9,4,DEMOCRAT,94
2020,CONNECTICUT,CT,9,5,DEMOCRAT,95
2020,DELAWARE,DE,10,0,DEMOCRAT,100
2020,DISTRICT OF COLUMBIA,DC,11,0,DEMOCRAT,110
2020,FLORIDA,FL,12,1,REPUBLICAN,121
2020,FLORIDA,FL,12,2,REPUBLICAN,122
2020,FLORIDA,FL,12,3,REPUBLICAN,123
