county,Num Eligible,Num Ineligible,American Indian and Alaska Native Eligible,Asian Eligible,Black or African American Eligible,Native Hawaiian Eligible,White Eligible,Hispanic or Latino Eligible,Veteran Eligible,Elderly Eligible,DIS Eligible,Percentage Eligible,rural
04001,14797,8121,9770,50,381,10,5238,2640,1411,7110,6169,64.56,1
04003,24826,23794,844,946,1094,0,22266,13933,4843,12280,10741,51.06,0
04005,29053,26369,11685,873,1243,1,18197,6771,2776,10678,9548,52.42,0
04007,12252,9420,2379,153,364,66,9877,4084,2259,6594,5357,56.53,1
04009,8862,6813,1721,111,263,48,7144,2954,1634,4769,3875,56.54,1
04011,2199,1690,427,28,65,12,1772,733,405,1183,961,56.54,1
04012,3504,2900,208,56,163,2,2966,2228,568,1605,1283,54.72,1
04013,644767,1063242,36348,40660,72160,1892,502708,268687,67286,257361,224780,37.75,0
04015,55367,48286,4150,957,1509,165,51236,14441,8855,33092,24594,53.42,0
04017,23919,13126,15792,81,616,17,8466,4267,2280,11494,9973,64.57,1
04019,190307,242036,16878,9632,14413,351,151557,90038,26097,78283,71657,44.02,0
04021,65631,89519,6019,3191,8137,55,55346,24960,11108,33364,27802,42.3,0
04023,9436,9044,321,360,416,0,8463,5295,1841,4667,4082,51.06,0
04025,47586,64204,3013,1459,669,206,45259,10672,9534,27875,18427,42.57,0
04027,42060,34560,2415,666,2068,11,35173,28765,6825,18510,14976,54.89,0
05001,3423,2788,57,11,1672,0,1812,91,290,1724,1608,55.11,1
05003,3804,3098,64,12,1858,0,2013,101,322,1915,1786,55.11,1
05005,9691,7880,429,103,194,0,9520,675,1340,4575,4236,55.15,1
05007,36913,70159,2223,1471,1211,572,34195,8835,4437,14164,12798,34.47,0
05009,8701,7076,385,93,175,0,8548,606,1203,4108,3803,55.15,1
05011,2104,1714,35,7,1028,0,1114,56,178,1060,988,55.11,1
05013,1010,772,18,5,466,0,552,29,114,458,459,56.68,1
05015,6578,5349,291,70,132,0,6462,458,910,3105,2875,55.15,1
05017,2035,1658,34,7,994,0,1077,54,172,1025,956,55.1,1
05019,4616,4047,152,105,936,0,3842,176,600,2127,2140,53.28,1
05021,3085,2546,153,48,399,3,2710,173,343,1257,1530,54.79,1
05023,5845,3892,256,16,129,29,5707,345,720,2740,2722,60.03,1
05025,1505,1226,25,5,735,0,797,40,127,758,707,55.11,1
05027,4863,3715,87,24,2244,0,2658,141,550,2204,2212,56.69,1
05029,4854,3267,296,141,278,11,4429,658,716,1974,2279,59.77,1
05031,23471,18862,1228,337,5380,0,18514,1189,2517,9725,12030,55.44,0
05033,13170,10605,1309,790,973,0,11015,2205,2120,5253,6030,55.39,0
05035,11290,6549,772,50,5243,0,6566,509,1115,4977,5794,63.29,0
05037,3944,2288,270,18,1831,0,2294,178,389,1739,2024,63.29,1
05039,1383,1056,25,7,638,0,756,40,157,627,629,56.7,1
05041,2274,1852,38,7,1111,0,1203,60,193,1145,1068,55.11,1
05043,3461,2819,58,11,1691,0,1832,92,293,1743,1626,55.11,1
05045,22161,25722,982,811,3422,0,19217,1286,2474,8011,9373,46.28,0
05047,3745,3016,372,225,277,0,3132,627,603,1494,1715,55.39,1
