puma22,Current Num Eligible,Current Num Ineligible,Current Percentage Eligible,Percentage Eligible,difference_percentage_aian,difference_percentage_asian,difference_percentage_black,difference_percentage_nhpi,difference_percentage_white,difference_percentage_hispanic,difference_percentage_veteran,difference_percentage_elderly,difference_percentage_disability,difference_percentage_eng_very_well
0606101,20259,40067,33.58,28.84,-6.2,-8.99,0.0,0.0,-14.35,-17.45,-17.9,-12.25,-10.69,-7.93
0606102,14939,34993,29.92,24.89,-8.92,-22.24,0.0,0.0,-15.72,-13.11,-0.48,-16.89,-13.36,-24.49
0606103,14911,30731,32.67,26.58,-27.22,-31.14,0.0,0.0,-19.4,-2.54,-17.34,-25.88,-10.46,-1.37
0606501,36057,25352,58.72,53.51,-2.54,-20.18,0.0,0.0,-7.88,-6.91,-25.67,-9.45,-8.05,-5.53
0606502,26989,31088,46.47,40.47,-31.83,-2.64,-5.51,0.0,-13.87,-7.41,-29.52,-15.34,-13.26,-9.72
0606507,29772,25897,53.48,45.74,-16.54,-2.44,-6.06,0.0,-15.6,-17.15,-14.79,-18.09,-3.82,-8.7
0606509,22863,12977,63.79,57.38,0.0,-9.67,-4.49,0.0,-9.57,-10.18,-20.75,-12.58,-13.34,-10.21
0606511,24628,23780,50.88,44.77,-20.08,-15.74,-15.54,0.0,-14.24,-10.53,-25.58,-13.22,-9.0,-7.32
0606514,20441,25414,44.58,39.05,0.0,-16.47,0.0,0.0,-16.12,-12.47,0.0,-11.64,-5.17,-14.23
0606515,33208,32707,50.38,43.81,-4.78,-6.95,-15.44,0.0,-16.83,-10.24,-13.87,-21.45,-9.97,-5.73
0606516,15712,18952,45.33,41.77,0.0,-14.21,-5.82,0.0,-9.87,-3.26,-14.67,-12.4,-8.64,-3.95
0606517,17469,21072,45.33,41.77,0.0,-14.24,-5.79,0.0,-9.87,-3.26,-14.67,-12.4,-8.65,-3.96
0606518,14670,12717,53.57,46.27,-12.76,-21.15,-9.71,-48.48,-19.32,-14.67,-10.4,-11.29,-8.91,-7.28
0606519,14473,12373,53.91,46.6,-13.05,-21.41,-9.8,-34.62,-19.45,-14.66,-10.42,-11.19,-8.92,-7.38
0606520,18747,25340,42.52,35.74,-3.91,-12.75,-5.63,-100.0,-15.4,-16.64,-10.58,-15.73,-9.99,-1.98
0606521,11913,20072,37.25,31.37,-2.17,-13.56,-18.9,0.0,-14.68,-15.22,-20.33,-11.54,-13.75,-15.73
0606522,18277,22937,44.35,39.34,-12.02,-7.18,-4.68,0.0,-13.14,-9.57,-11.35,-12.75,-9.51,-7.81
0606523,16601,29743,35.82,31.71,-1.3,-9.05,-12.02,0.0,-10.89,-5.76,-11.29,-18.03,-7.46,-7.29
0606524,23565,34370,40.67,36.29,-11.14,-10.53,-14.34,0.0,-10.07,-8.16,-12.3,-14.44,-6.98,-3.06
0606525,27343,18330,59.87,53.75,-7.74,-14.67,-17.24,0.0,-7.22,-7.39,-20.93,-16.37,-11.17,-2.21
0606701,20629,23726,46.51,41.38,-2.19,-3.27,-16.31,-14.07,-11.74,-8.86,-3.95,-13.1,-9.4,-3.19
0606703,17808,29955,37.28,35.07,-9.76,0.0,0.0,0.0,-7.79,-3.67,-8.83,-14.37,-9.44,-5.77
0606704,30670,20009,60.52,53.64,-2.62,-15.19,-9.74,0.0,-11.23,-15.05,-15.07,-12.4,-11.98,-7.65
0606705,20897,28154,42.6,37.16,0.0,-14.14,-1.05,0.0,-18.78,-9.98,-7.88,-16.95,-9.35,-8.39
0606706,21143,17080,55.31,53.06,-21.28,-12.8,-0.03,0.0,-5.39,-1.92,-3.59,-3.77,-0.69,-0.93
0606707,22299,38770,36.51,31.64,-4.7,-13.81,-13.62,0.0,-13.53,-21.27,-23.16,-10.83,-9.32,-2.72
0606709,27184,23800,53.32,48.6,0.0,-7.38,-5.93,-52.05,-13.08,-4.79,-12.59,-11.28,-5.95,-3.91
0606712,10313,33582,23.49,19.2,0.0,-18.28,0.0,0.0,-21.13,-15.84,0.0,-21.11,-5.07,0.0
0606713,15782,22623,41.09,37.56,-4.18,-3.32,0.0,0.0,-11.49,-3.82,-22.28,-14.85,-7.97,0.0
0606714,29834,20037,59.82,56.86,-4.28,-2.51,-3.65,0.0,-6.94,-2.39,-7.28,-7.2,-4.9,-2.73
0606715,11773,20579,36.39,31.04,-1.69,-7.6,-15.68,0.0,-15.97,-5.81,-13.62,-19.02,-13.33,-13.28
0606716,12711,20063,38.78,34.68,-5.92,-5.78,-11.61,0.0,-10.75,-4.08,-9.57,-13.84,-7.94,-10.03
0606717,14116,18434,43.37,40.73,-7.51,-2.7,-1.56,0.0,-7.36,-2.89,-9.9,-9.27,-3.69,-4.9
0607101,30661,21100,59.24,50.89,-8.32,-5.41,-13.97,-18.97,-14.92,-13.34,-25.19,-12.43,-7.07,-10.51
0607102,34679,16699,67.5,63.44,-2.14,-1.55,-3.59,0.0,-3.68,-6.48,-9.03,-5.03,-6.01,-4.71
