puma22,Current Num Eligible,Current Num Ineligible,Current Percentage Eligible,Percentage Eligible,difference_percentage_aian,difference_percentage_asian,difference_percentage_black,difference_percentage_nhpi,difference_percentage_white,difference_percentage_hispanic,difference_percentage_veteran,difference_percentage_elderly,difference_percentage_disability,difference_percentage_eng_very_well
0100100,34309,38180,47.33,39.73,-1.6,-27.06,-7.47,0.0,-17.72,0.0,-10.88,-18.92,-12.53,-3.75
0100200,12693,27623,31.48,26.09,-19.15,-67.59,0.0,0.0,-20.04,0.0,-11.19,-16.34,-3.65,0.0
0100300,24639,36157,40.53,35.3,-0.6,0.0,-9.18,0.0,-14.36,0.0,-8.76,-16.98,-11.69,0.0
0100401,15109,29072,34.2,28.09,-18.73,-62.39,-0.99,0.0,-20.36,-6.37,-16.1,-18.15,-6.35,-2.51
0100402,22288,45031,33.11,28.87,-14.7,-48.32,-8.54,0.0,-15.24,0.0,-12.29,-13.45,-10.16,0.0
0100403,15418,31564,32.82,28.71,-0.52,-0.21,-3.74,0.0,-17.13,-0.45,-16.77,-16.93,-6.62,-20.2
0100501,19140,23235,45.17,36.18,-16.41,0.0,-10.64,0.0,-21.19,-14.43,-25.93,-25.6,-12.6,-5.89
0100600,24791,21429,53.64,45.5,-2.01,-13.22,0.0,0.0,-15.67,-15.49,-21.04,-19.22,-8.29,-11.43
0100700,25616,22536,53.2,46.68,-1.26,0.0,-8.27,0.0,-12.26,-8.68,-20.88,-16.01,-10.01,-36.19
0100800,25857,18774,57.94,48.78,-9.05,-29.78,-11.14,0.0,-16.32,-27.63,-7.24,-20.48,-10.48,-18.78
0100900,26757,28083,48.79,42.87,-13.73,0.0,-5.53,0.0,-12.92,-7.18,-16.17,-13.1,-10.95,-16.19
0101000,25513,28723,47.04,38.52,-11.47,-1.74,-4.49,0.0,-18.29,-20.91,-42.0,-18.28,-16.0,-0.51
0101100,27156,20882,56.53,49.03,-8.46,0.0,-8.52,0.0,-19.26,-20.69,-21.1,-14.78,-11.39,0.0
0101201,12925,24790,34.27,29.22,0.0,0.0,-2.91,0.0,-18.96,0.0,-17.6,-19.39,-22.25,0.0
0101202,27585,21503,56.19,49.24,-54.45,-8.19,-7.86,0.0,-16.37,-25.06,-20.77,-15.51,-18.24,-26.66
0101301,20995,22179,48.63,42.57,-18.92,0.0,-6.07,0.0,-15.21,0.0,-10.51,-14.14,-12.75,0.0
0101401,19188,25998,42.46,39.73,0.0,0.0,-5.46,0.0,-7.39,-0.09,-31.74,-7.34,-4.23,-0.14
0101402,22388,27886,44.53,39.98,-7.06,0.0,-5.54,0.0,-15.21,-0.35,-10.45,-15.28,-11.96,-0.42
0101403,46905,32897,58.78,51.96,-9.99,-42.65,-8.21,0.0,-27.14,-4.41,-22.64,-11.73,-7.71,-18.27
0101404,22283,54439,29.04,24.78,-54.76,-20.12,-14.65,0.0,-14.65,-22.13,-19.07,-10.72,-8.84,-0.38
0101501,15272,37966,28.69,24.38,-12.57,-2.65,-9.58,0.0,-16.59,-22.82,-9.53,-15.0,-8.19,-25.77
0101502,18109,31985,36.15,30.94,-12.61,-2.15,-8.44,0.0,-16.43,-22.28,-10.73,-15.56,-9.32,-30.19
0101600,29988,24208,55.33,46.36,-5.4,0.0,-21.42,0.0,-14.27,-3.11,-25.54,-21.26,-12.27,-15.49
0101700,22455,21530,51.05,43.1,-7.79,0.0,-11.97,0.0,-20.03,-9.51,-18.16,-17.03,-11.35,0.0
0101801,23543,20928,52.94,47.82,-0.69,-36.69,-7.68,0.0,-12.42,-15.95,-10.08,-11.03,-6.42,-32.18
0101802,22393,20305,52.45,47.2,-1.23,-36.54,-7.87,0.0,-12.98,-15.02,-10.14,-11.48,-6.77,-31.63
0101901,16030,22023,42.13,34.34,-22.16,0.0,-18.11,0.0,-18.38,0.0,-12.47,-19.5,-13.49,0.0
0102000,23234,20674,52.92,46.5,-7.8,-1.27,-7.3,0.0,-14.94,-14.16,-9.1,-14.05,-8.73,-42.47
0102101,23579,25869,47.68,42.58,0.0,-7.98,-11.79,0.0,-9.91,0.0,-34.47,-19.21,-14.78,-9.48
0102201,21813,18584,54.0,49.05,0.0,-6.93,-7.97,0.0,-9.93,-0.42,-13.02,-11.53,-7.27,-4.76
0102300,30699,30389,50.25,43.76,-24.5,-12.47,-6.11,0.0,-14.91,-21.49,-18.37,-15.7,-12.1,-22.51
0102400,19777,20018,49.7,43.91,-19.76,-7.11,-6.86,0.0,-12.79,-15.92,-18.2,-13.47,-9.29,-19.31
0102500,25844,22298,53.68,48.71,-5.23,-2.48,-6.95,0.0,-10.55,-4.29,-10.14,-9.97,-5.02,0.0
0102600,29392,19035,60.69,54.64,-8.32,0.0,-8.32,0.0,-11.46,-9.87,-22.77,-12.16,-10.25,-11.3
0102701,16192,31971,33.62,29.24,-26.4,-8.22,-2.29,0.0,-14.92,-17.3,-12.88,-14.62,-10.74,-22.82
0102702,15445,30497,33.62,29.24,-26.55,-8.63,-2.3,0.0,-14.92,-17.38,-12.84,-14.63,-10.75,-22.59
0102801,25976,25104,50.85,45.24,-23.54,-19.44,-10.7,0.0,-10.79,0.0,-6.02,-13.67,-12.03,-6.61
0102802,25744,25877,49.87,43.14,-19.0,-33.38,-9.13,0.0,-15.19,0.0,-11.54,-17.06,-13.94,-17.6
0102803,34782,25479,57.72,53.22,0.0,-19.92,-4.88,0.0,-14.9,0.0,-10.62,-9.17,-5.5,-19.78
0200101,19684,29871,39.72,34.03,-12.8,-4.77,-11.59,0.0,-18.42,-3.86,-45.34,-17.29,-12.63,0.0
0200102,18212,41771,30.36,28.92,-4.2,-3.89,-0.16,0.0,-4.64,-0.03,-2.12,-10.42,-0.09,0.0
