puma22,Current Num Eligible,Current Num Ineligible,Current Percentage Eligible,Percentage Eligible_120,difference_percentage_aian_120,difference_percentage_asian_120,difference_percentage_black_120,difference_percentage_nhpi_120,difference_percentage_white_120,difference_percentage_hispanic_120,difference_percentage_veteran_120,difference_percentage_elderly_120,difference_percentage_disability_120,Percentage Eligible_135,difference_percentage_aian_135,difference_percentage_asian_135,difference_percentage_black_135,difference_percentage_nhpi_135,difference_percentage_white_135,difference_percentage_hispanic_135,difference_percentage_veteran_135,difference_percentage_elderly_135,difference_percentage_disability_135,Percentage Eligible_150,difference_percentage_aian_150,difference_percentage_asian_150,difference_percentage_black_150,difference_percentage_nhpi_150,difference_percentage_white_150,difference_percentage_hispanic_150,difference_percentage_veteran_150,difference_percentage_elderly_150,difference_percentage_disability_150,Total Subscribers
1303800,40822,43046,48.67,40.89,-15.63,-20.01,-14.31,0.0,-19.76,-10.67,-17.74,-16.87,-12.51,41.78,-15.63,-20.01,-12.01,0.0,-18.78,-10.67,-17.08,-14.78,-10.1,43.13,-15.63,-20.01,-10.17,0.0,-13.78,-10.67,-11.74,-11.4,-8.47,22464
1303900,26980,17528,60.62,51.51,0.0,0.0,-13.13,,-17.82,-8.86,-36.85,-18.26,-10.89,52.16,0.0,0.0,-12.96,,-15.68,-8.86,-36.57,-16.26,-10.08,53.95,0.0,0.0,-8.99,,-13.77,-8.86,-36.26,-14.06,-8.12,12621
1304000,24952,22423,52.67,46.77,-9.96,-31.73,-6.0,,-23.15,0.0,-14.33,-18.07,-12.33,48.2,-9.96,0.0,-4.9,,-17.31,0.0,-13.49,-14.2,-9.95,48.88,-9.96,0.0,-4.35,,-14.17,0.0,-10.89,-11.88,-8.75,14006
1304100,22848,19065,54.51,41.62,-62.95,0.0,-22.25,0.0,-22.5,-9.55,-19.69,-20.12,-16.46,42.87,-62.95,0.0,-21.48,0.0,-19.19,-9.55,-17.03,-16.45,-16.46,46.46,-62.95,0.0,-13.03,0.0,-14.01,-7.42,-16.54,-13.0,-13.46,9999
1304200,27766,20987,56.95,47.29,0.0,0.0,-13.6,-100.0,-18.67,-5.67,-39.79,-21.84,-13.87,48.11,0.0,0.0,-11.76,-100.0,-17.57,-5.67,-30.57,-19.73,-11.41,49.44,0.0,0.0,-8.11,-100.0,-16.24,-5.67,-27.05,-18.09,-10.77,12276
1304300,24682,20457,54.68,41.61,0.0,-61.03,-18.86,,-27.99,-19.33,-55.37,-23.74,-13.53,43.28,0.0,-61.03,-16.49,,-24.09,-19.33,-47.13,-21.45,-11.52,46.19,0.0,-61.03,-14.25,,-14.9,-15.72,-42.24,-13.72,-6.6,9313
1304400,33409,25324,56.88,46.64,-13.63,-12.54,-8.73,,-21.28,-22.13,-26.49,-22.49,-9.11,48.36,-6.91,-12.54,-5.87,,-18.78,-16.37,-21.29,-18.38,-5.87,50.01,-6.91,-12.54,-2.64,,-16.04,-16.37,-18.49,-16.38,-5.11,14129
1304500,31223,21173,59.59,50.54,-44.19,-11.9,-9.06,,-19.01,-2.44,-33.61,-18.71,-12.97,52.17,-21.32,-11.9,-5.97,,-15.39,-2.44,-24.93,-14.09,-9.01,54.51,-13.43,0.0,-3.89,,-10.64,-2.44,-23.77,-9.17,-5.86,12075
1304600,22038,23518,48.38,38.37,-45.76,-25.5,-12.03,0.0,-24.43,-31.05,-26.78,-16.37,-21.72,39.91,-23.57,-25.5,-12.03,0.0,-19.14,-27.47,-20.01,-14.1,-18.45,41.19,-23.57,-25.5,-8.55,0.0,-17.31,-24.25,-16.84,-11.58,-14.17,6398
1304701,36474,33557,52.08,43.64,-45.51,-18.1,-11.94,,-19.41,-16.04,-14.73,-16.64,-13.84,44.52,-38.26,-7.74,-11.14,,-17.2,-16.04,-14.19,-14.26,-13.15,45.44,-38.26,-7.74,-9.12,,-16.03,-14.91,-13.18,-13.23,-11.72,11831
