county,Percentage Eligible,Current Percentage Eligible,difference_percentage_aian,difference_percentage_asian,difference_percentage_black,difference_percentage_nhpi,difference_percentage_white,difference_percentage_hispanic,difference_percentage_veteran,difference_percentage_elderly,difference_percentage_disability,rural
01101,43.98,52.1,-45.67,-39.18,-13.14,,-19.35,-15.76,-18.79,-21.12,-10.21,0
01103,31.42,40.53,-10.7,0.0,-27.44,,-23.62,-6.07,-13.17,-30.79,-21.45,0
01105,39.49,51.05,-21.43,0.0,-18.03,,-27.74,-16.67,-23.53,-25.47,-16.32,1
01107,45.16,56.53,-10.0,0.0,-14.65,,-26.92,-21.43,-25.86,-22.52,-15.71,1
01109,44.9,53.69,-16.89,-1.61,-11.19,-100.0,-19.21,-11.46,-18.51,-17.97,-10.35,1
01111,41.66,55.33,-9.51,0.0,-29.38,,-22.83,-2.7,-33.8,-31.92,-18.72,1
01113,44.78,54.0,-15.08,-17.33,-14.31,-100.0,-17.49,-12.08,-18.62,-18.78,-11.38,0
01115,40.09,48.79,-14.47,0.0,-18.82,0.0,-17.71,-7.17,-20.41,-21.55,-18.34,0
01117,24.8,31.53,-12.88,-2.42,-13.44,,-22.84,-40.04,-12.16,-22.62,-12.78,0
01119,45.15,56.52,-9.86,0.0,-14.62,,-26.91,-20.37,-25.71,-22.53,-15.75,1
01121,41.66,55.33,-9.37,0.0,-29.41,,-22.83,-3.12,-33.85,-31.91,-18.73,0
01123,43.2,52.92,-17.61,-1.19,-12.33,-100.0,-21.79,-16.71,-10.36,-21.75,-13.41,1
01125,37.27,46.67,-35.02,-47.84,-12.49,,-23.41,-19.34,-32.1,-26.04,-23.29,0
01127,38.06,48.63,-19.41,0.0,-19.83,0.0,-22.48,0.0,-21.22,-20.96,-19.66,1
01129,47.73,60.69,-44.35,0.0,-15.46,,-23.2,-82.19,-27.49,-22.04,-17.24,1
01131,47.73,60.69,-44.3,0.0,-15.45,,-23.18,-82.0,-27.23,-22.02,-17.14,1
01133,33.62,47.04,-26.06,-10.34,-26.32,,-28.59,-21.43,-42.81,-30.98,-25.25,1
02013,47.29,51.9,-5.38,-3.03,-38.46,,-19.17,-14.29,-4.62,-6.54,-9.13,1
02016,47.28,51.9,-5.44,-3.92,-40.0,,-19.13,-9.09,-4.04,-6.42,-8.83,1
02020,30.57,34.6,-8.78,-4.32,-8.11,0.0,-14.24,-1.94,-24.59,-14.58,-7.8,0
02050,47.28,51.88,-5.42,-3.85,-39.44,,-19.3,-12.5,-3.95,-6.42,-8.78,1
02060,47.37,51.82,-4.95,0.0,-33.33,,-20.0,0.0,-6.25,-5.66,-8.77,1
02063,31.23,36.75,-21.93,-21.28,-30.77,0.0,-11.26,-22.55,-24.05,-19.56,-11.69,
02066,31.24,36.76,-21.43,-20.59,-30.0,0.0,-11.11,-21.62,-24.14,-19.4,-11.76,
02068,31.18,36.77,-21.15,-19.05,-33.33,0.0,-11.41,-21.74,-24.07,-19.28,-11.43,1
02070,47.28,51.87,-5.51,-2.13,-42.11,,-19.41,-10.0,-4.35,-6.58,-8.9,1
02090,31.23,36.76,-21.96,-20.41,-29.71,0.0,-11.24,-22.21,-24.02,-19.5,-11.75,0
02100,31.19,36.73,-22.39,-18.52,-37.5,0.0,-11.44,-23.33,-24.64,-19.81,-11.85,1
02105,47.24,51.89,-5.32,-4.35,-44.44,,-19.28,-20.0,-4.44,-6.76,-8.23,1
02110,31.23,36.75,-21.91,-20.47,-29.66,0.0,-11.26,-22.29,-24.02,-19.48,-11.73,0
02122,38.8,43.35,-9.15,0.0,-3.2,0.0,-11.22,-2.82,-15.98,-13.61,-10.44,1
02130,31.23,36.75,-21.88,-20.65,-29.41,0.0,-11.22,-22.5,-23.92,-19.5,-11.8,1
02150,47.28,51.89,-5.42,-3.91,-40.0,,-19.21,-10.71,-3.63,-6.46,-8.76,1
02158,47.27,51.89,-5.39,-3.66,-40.62,,-19.45,-11.11,-4.4,-6.49,-8.9,1
02164,47.33,51.97,-5.65,0.0,-50.0,,-19.23,0.0,-3.57,-6.45,-8.08,1
02170,38.8,43.35,-9.13,0.0,-3.11,0.0,-11.21,-2.95,-15.95,-13.58,-10.44,1
02180,47.28,51.9,-5.41,-4.08,-39.47,,-19.09,-13.64,-3.68,-6.52,-8.75,1
02185,47.28,51.9,-5.45,-2.8,-38.1,,-19.17,-12.5,-3.83,-6.51,-8.78,1
02188,47.27,51.89,-5.47,-3.95,-40.0,,-19.41,-11.76,-4.05,-6.35,-8.8,1
02195,47.27,51.87,-5.41,-3.03,-38.46,,-19.33,-14.29,-3.12,-6.57,-8.77,1
02198,47.28,51.88,-5.52,-3.57,-40.91,,-19.4,-8.33,-3.67,-6.39,-8.81,1
02220,47.28,51.89,-5.43,-3.66,-37.5,,-19.26,-11.11,-3.75,-6.42,-8.8,1
02230,31.16,36.76,-22.5,-18.75,-40.0,0.0,-11.35,-22.22,-24.39,-19.05,-12.35,1
02240,31.24,36.76,-21.92,-21.11,-28.0,0.0,-11.35,-21.65,-24.23,-19.54,-11.74,1
02275,47.33,51.86,-5.51,-4.76,-37.5,,-18.92,-20.0,-2.5,-6.77,-8.45,1
02282,47.42,52.06,-6.25,0.0,-33.33,,-17.39,0.0,-7.69,-7.14,-8.89,1
02290,47.27,51.89,-5.48,-3.85,-40.0,,-19.25,-9.09,-3.96,-6.57,-8.66,1
04001,56.4,64.56,-7.8,0.0,0.0,0.0,-20.68,-14.32,-14.67,-11.81,-7.8,1
04003,43.72,51.06,-0.12,-32.35,-25.87,,-14.57,-10.27,-16.21,-17.05,-10.73,0
04005,44.5,52.42,-13.17,-21.65,-28.72,0.0,-17.12,-14.4,-10.48,-15.9,-12.0,0
04007,47.43,56.53,-2.44,0.0,0.0,0.0,-18.71,-15.52,-26.65,-20.09,-11.65,1
04009,47.44,56.54,-2.44,0.0,0.0,0.0,-18.72,-15.5,-26.62,-20.09,-11.66,1
04011,47.44,56.54,-2.34,0.0,0.0,0.0,-18.68,-15.55,-26.67,-20.03,-11.65,1
04012,45.78,54.72,-11.06,-7.14,-6.75,-100.0,-17.77,-13.06,-19.89,-19.38,-12.55,1
04013,31.37,37.75,-12.98,-12.49,-13.09,-15.38,-17.69,-13.35,-16.6,-19.7,-12.12,0
04015,41.15,53.42,-13.59,-36.05,-11.8,-100.0,-23.09,-17.19,-35.19,-24.8,-18.81,0
04017,56.4,64.57,-7.8,0.0,0.0,0.0,-20.67,-14.32,-14.69,-11.82,-7.81,1
04019,36.36,44.02,-17.29,-14.79,-15.45,0.0,-18.02,-14.08,-19.85,-19.78,-12.69,0
04021,33.81,42.3,-14.74,-10.37,-7.59,-80.0,-21.94,-13.48,-21.11,-24.48,-14.97,0
04023,43.72,51.06,0.0,-32.5,-25.96,,-14.58,-10.27,-16.24,-17.06,-10.73,0
04025,33.54,42.57,-11.25,-29.2,-40.36,0.0,-21.77,-6.23,-31.4,-25.03,-21.71,0
04027,46.39,54.89,-10.48,-3.45,-6.77,-100.0,-17.03,-12.88,-17.96,-18.42,-11.53,0
05001,47.0,55.11,0.0,-27.27,-10.65,,-16.56,-31.87,-11.03,-18.79,-13.81,1
05003,47.0,55.11,0.0,-25.0,-10.6,,-16.54,-31.68,-11.18,-18.75,-13.72,1
05005,43.76,55.15,-17.48,0.0,0.0,,-21.03,-8.15,-32.91,-29.7,-20.96,1
05007,27.99,34.47,-18.58,-0.14,-0.33,0.0,-19.3,-19.93,-22.13,-25.64,-16.87,0
05009,43.76,55.15,-17.66,0.0,0.0,,-21.03,-8.09,-32.92,-29.7,-20.96,1
05011,47.0,55.11,0.0,-28.57,-10.6,,-16.52,-32.14,-11.24,-18.77,-13.77,1
05013,45.48,56.68,-16.67,-80.0,-15.67,,-23.19,-3.45,-18.42,-22.27,-18.3,1
05015,43.76,55.15,-17.53,0.0,0.0,,-21.03,-8.08,-32.97,-29.69,-20.97,1
05017,47.01,55.1,0.0,-28.57,-10.56,,-16.53,-31.48,-11.05,-18.83,-13.81,1
05019,42.67,53.28,-23.68,-11.43,-15.71,,-20.48,-4.55,-19.67,-29.29,-11.82,1
05021,46.01,54.79,-27.45,0.0,-0.5,0.0,-17.05,-17.92,-17.2,-26.09,-13.53,1
05023,50.94,60.03,-8.98,0.0,0.0,0.0,-15.51,-7.25,-12.22,-20.69,-10.69,1
05025,47.0,55.11,0.0,-20.0,-10.61,,-16.56,-32.5,-11.02,-18.73,-13.72,1
05027,45.49,56.69,-16.09,-83.33,-15.64,,-23.14,-2.84,-18.73,-22.19,-18.4,1
05029,49.23,59.77,-12.5,-4.96,-3.6,0.0,-18.94,-3.8,-23.32,-27.0,-17.07,1
05031,46.97,55.44,-27.2,0.0,-4.61,,-17.04,-20.35,-17.92,-23.86,-12.7,0
05033,47.28,55.39,-6.26,-4.05,-7.71,,-17.09,-5.71,-27.41,-19.11,-14.61,0
05035,55.01,63.29,-16.97,0.0,-7.59,,-16.87,-22.99,-19.46,-16.15,-8.27,0
05037,55.01,63.29,-17.04,0.0,-7.59,,-16.87,-23.03,-19.28,-16.16,-8.3,1
05039,45.51,56.7,-16.0,-85.71,-15.67,,-23.15,-2.5,-19.11,-22.17,-18.44,1
05041,46.99,55.11,0.0,-14.29,-10.62,,-16.54,-31.67,-11.4,-18.78,-13.76,1
05043,47.01,55.11,0.0,-27.27,-10.64,,-16.54,-31.52,-10.92,-18.82,-13.78,1
05045,37.38,46.28,-14.66,-0.12,-13.41,,-20.31,-32.04,-14.23,-21.84,-10.22,0
05047,47.29,55.39,-6.18,-4.0,-7.94,,-17.08,-5.74,-27.36,-19.14,-14.64,1
05049,50.95,60.03,-8.8,0.0,0.0,0.0,-15.49,-7.1,-12.22,-20.69,-10.68,1
05051,42.67,53.28,-23.45,-12.2,-15.67,,-20.49,-4.26,-19.7,-29.3,-11.82,0
05053,31.39,41.38,-5.32,-4.17,-30.49,0.0,-22.41,-8.64,-12.41,-21.93,-18.46,1
05055,46.02,54.78,-27.5,0.0,-0.4,0.0,-17.06,-18.35,-17.24,-26.09,-13.55,0
05057,45.49,56.69,-15.79,-85.71,-15.64,,-23.15,-2.42,-18.76,-22.21,-18.39,1
05059,42.67,53.28,-23.18,-11.73,-15.67,,-20.48,-4.43,-19.7,-29.32,-11.8,1
05061,46.96,58.2,-27.22,-37.5,-11.9,,-21.45,-15.33,-16.07,-22.37,-15.91,1
05063,50.94,60.03,-9.16,0.0,-0.5,0.0,-15.5,-7.17,-12.22,-20.68,-10.7,1
05065,50.93,60.03,-9.22,0.0,0.0,0.0,-15.5,-7.37,-12.15,-20.72,-10.7,1
05067,44.24,54.21,-4.91,-33.33,-14.24,,-18.91,-4.0,-9.52,-25.16,-16.99,1
05069,47.0,55.11,0.0,-23.26,-10.63,,-16.53,-31.46,-11.08,-18.79,-13.77,0
05071,49.22,59.77,-12.5,-5.14,-3.76,0.0,-18.94,-3.91,-23.26,-26.98,-17.08,1
05073,45.5,56.69,-16.67,-85.71,-15.62,,-23.1,-2.56,-18.42,-22.13,-18.3,1
05075,46.02,54.79,-27.65,0.0,-0.45,0.0,-17.05,-18.13,-17.28,-26.12,-13.55,1
05077,55.0,63.29,-16.67,0.0,-7.58,,-16.88,-23.08,-19.6,-16.2,-8.31,1
05079,47.0,55.11,0.0,-25.0,-10.63,,-16.47,-31.88,-11.42,-18.77,-13.77,1
05081,46.97,58.2,-27.22,-33.33,-11.81,,-21.44,-15.25,-15.93,-22.4,-15.85,1
05083,46.97,58.19,-27.18,-37.04,-11.76,,-21.45,-15.32,-15.77,-22.42,-15.84,1
05085,37.37,46.28,-14.77,0.0,-13.46,,-20.31,-32.17,-14.24,-21.83,-10.22,0
05087,43.76,55.15,-17.65,0.0,0.0,,-21.02,-8.21,-32.89,-29.7,-21.0,1
05089,43.76,55.15,-17.34,0.0,0.0,,-21.04,-8.06,-32.84,-29.69,-20.97,1
05091,46.97,58.2,-27.17,-38.18,-11.79,,-21.46,-15.4,-15.89,-22.39,-15.84,0
05093,55.01,63.29,-16.87,0.0,-7.59,,-16.88,-23.02,-19.45,-16.18,-8.28,1
05095,44.24,54.21,-5.17,-33.33,-14.29,,-18.94,-3.6,-9.5,-25.2,-16.97,1
05097,42.67,53.28,-23.33,-11.9,-15.68,,-20.47,-2.9,-19.83,-29.25,-11.82,1
05099,45.49,56.69,-15.62,-88.89,-15.65,,-23.22,-1.96,-18.91,-22.17,-18.36,1
05101,43.75,55.17,-17.57,0.0,0.0,,-21.07,-7.69,-33.05,-29.72,-20.95,1
05103,45.5,56.69,-15.12,-83.33,-15.65,,-23.16,-2.86,-18.83,-22.19,-18.43,1
05105,31.4,41.37,-5.66,-3.7,-30.51,0.0,-22.38,-8.89,-12.16,-22.01,-18.5,1
05107,55.01,63.29,-17.29,0.0,-7.6,,-16.87,-22.86,-19.32,-16.13,-8.23,1
05109,42.67,53.28,-23.61,-12.0,-15.77,,-20.46,-3.61,-19.65,-29.24,-11.82,1
05111,46.97,55.45,-26.88,0.0,-4.68,,-17.03,-20.41,-18.08,-23.87,-12.69,1
05113,46.96,58.19,-27.31,-40.0,-11.87,,-21.44,-15.3,-15.87,-22.38,-15.88,1
05115,49.23,59.77,-12.47,-5.1,-3.53,0.0,-18.95,-3.87,-23.29,-26.97,-17.08,0
05117,44.23,54.22,-4.96,-36.36,-14.18,,-18.89,-3.68,-9.63,-25.13,-17.05,1
05119,36.47,45.64,-7.49,-24.14,-19.1,,-20.6,-9.21,-27.75,-22.04,-15.68,0
05121,46.02,54.79,-27.69,0.0,-0.39,0.0,-17.06,-18.1,-17.12,-26.11,-13.52,1
05123,55.0,63.28,-17.03,0.0,-7.56,,-16.9,-22.95,-19.48,-16.18,-8.28,1
05125,31.39,41.38,-5.86,-2.74,-30.45,0.0,-22.42,-8.89,-12.26,-21.93,-18.45,0
05127,46.96,58.21,-27.34,-38.46,-11.86,,-21.47,-15.58,-15.88,-22.4,-15.86,1
05129,43.75,55.16,-18.52,0.0,0.0,,-21.05,-7.87,-32.94,-29.73,-20.95,1
05131,47.29,55.4,-6.18,-3.93,-7.69,,-17.08,-5.7,-27.41,-19.12,-14.6,0
05133,46.96,58.2,-26.91,-35.0,-11.7,,-21.47,-15.32,-15.88,-22.41,-15.84,1
05135,46.02,54.79,-27.62,0.0,-0.42,0.0,-17.04,-18.45,-17.2,-26.07,-13.55,1
05137,50.93,60.03,-9.38,0.0,0.0,0.0,-15.52,-7.51,-12.22,-20.66,-10.73,1
05139,45.5,56.69,-16.11,-85.37,-15.63,,-23.16,-2.89,-18.77,-22.19,-18.42,1
05141,50.93,60.03,-9.15,0.0,0.0,0.0,-15.49,-7.24,-12.17,-20.67,-10.7,1
05143,35.0,46.14,-26.98,-19.76,-14.28,0.0,-23.87,-12.69,-40.4,-31.56,-18.53,0
05145,44.23,54.21,-4.9,-33.67,-14.25,,-18.91,-3.89,-9.73,-25.17,-17.0,0
05147,44.23,54.22,-4.72,-37.5,-14.08,,-18.96,-3.88,-9.7,-25.13,-16.99,1
05149,49.23,59.77,-12.76,-5.07,-3.68,0.0,-18.95,-3.88,-23.29,-26.94,-17.09,1
06001,32.34,35.76,-11.89,-7.91,-7.33,0.0,-9.64,-8.82,-7.3,-11.33,-7.24,0
06003,35.09,43.66,-15.0,-10.0,0.0,,-19.7,-21.62,-19.44,-20.54,-20.0,1
06005,35.08,43.73,-15.24,-3.07,0.0,,-19.67,-22.68,-17.49,-20.38,-19.36,1
06007,45.13,49.4,-17.33,-3.17,0.0,-72.5,-9.44,-6.82,-15.83,-11.93,-6.06,0
06009,35.08,43.73,-15.26,-3.01,0.0,,-19.68,-22.64,-17.5,-20.38,-19.36,1
06011,51.71,57.18,-11.87,0.0,0.0,0.0,-10.5,-6.17,-7.93,-12.32,-5.63,1
06013,32.69,35.7,-1.51,-5.02,-6.06,0.0,-10.22,-6.7,-9.18,-11.67,-6.21,0
06015,44.7,50.97,-4.22,-6.41,0.0,0.0,-13.08,-0.96,-16.84,-19.09,-10.85,1
06017,30.59,32.78,0.0,-3.77,0.0,0.0,-6.92,-1.18,-4.77,-9.31,-5.39,0
06019,52.63,57.57,-5.1,-6.31,-3.58,-8.14,-10.53,-6.48,-8.87,-11.64,-7.87,0
06021,51.72,57.18,-11.95,0.0,0.0,0.0,-10.5,-6.15,-8.26,-12.36,-5.58,1
06023,50.85,57.33,-9.7,-12.08,-23.06,0.0,-10.75,-17.38,-3.21,-10.16,-10.49,0
06025,62.68,66.22,0.0,0.0,0.0,0.0,-8.0,-4.52,-5.31,-7.49,-6.99,0
06027,35.08,43.73,-15.26,-3.27,0.0,,-19.68,-22.7,-17.62,-20.39,-19.35,1
06029,52.31,59.58,-7.19,-4.08,-9.58,0.0,-13.65,-10.67,-21.58,-15.88,-9.05,0
06031,49.08,55.75,-11.33,-19.62,-22.58,-38.66,-13.08,-10.61,-16.47,-16.31,-10.57,0
06033,51.27,54.64,-3.6,-11.3,0.0,0.0,-6.58,-3.93,-15.32,-8.97,-5.34,1
06035,44.7,50.97,-4.24,-6.52,0.0,0.0,-13.07,-0.89,-16.91,-19.1,-10.86,1
06037,45.59,50.43,-9.0,-9.33,-9.06,-10.42,-10.74,-8.21,-11.14,-9.96,-6.55,0
06039,52.84,58.21,0.0,-3.06,0.0,,-10.09,-7.91,-6.67,-5.97,-8.8,0
06041,23.66,28.58,0.0,-23.27,-11.61,0.0,-16.5,-14.88,-2.83,-25.65,-12.38,0
06043,35.08,43.73,-15.47,-2.9,0.0,,-19.69,-22.54,-17.59,-20.41,-19.33,1
06045,51.27,54.64,-3.68,-11.17,0.0,0.0,-6.58,-3.91,-15.34,-8.99,-5.32,1
06047,59.09,63.33,-12.8,-2.44,-7.05,0.0,-6.01,-6.39,-5.72,-6.77,-5.82,0
06049,44.7,50.97,-4.26,-5.48,0.0,0.0,-13.07,-1.12,-16.91,-19.05,-10.75,1
06051,35.08,43.74,-15.42,-2.83,0.0,,-19.72,-22.66,-17.48,-20.34,-19.3,1
06053,42.34,46.65,-20.56,-9.75,-12.57,0.0,-12.47,-5.73,-20.27,-13.23,-7.29,0
06055,32.73,37.94,0.0,-16.72,-7.09,-20.13,-16.05,-9.1,-16.44,-17.75,-18.59,0
06057,35.49,40.97,0.0,0.0,,,-11.19,-17.05,-12.94,-15.05,-14.85,1
06059,35.45,39.48,-10.94,-8.33,-7.15,-30.5,-11.87,-8.18,-11.81,-11.4,-7.72,0
06061,26.91,32.14,-14.48,-16.82,0.0,0.0,-16.4,-12.22,-12.21,-17.58,-11.64,0
06063,44.7,50.97,-4.21,-6.59,0.0,0.0,-13.07,-0.86,-16.96,-19.09,-10.82,1
06065,42.94,48.67,-9.57,-12.16,-9.46,-54.14,-12.64,-10.19,-15.57,-14.56,-9.16,0
06067,40.35,44.61,-5.89,-8.14,-6.26,-9.23,-11.41,-7.69,-11.03,-12.17,-7.45,0
06069,42.84,47.35,0.0,0.0,0.0,,-9.67,-9.06,-37.61,-16.45,-7.44,0
06071,48.33,53.38,-5.64,-10.73,-6.33,-5.76,-10.34,-8.36,-12.67,-10.58,-7.16,0
06073,34.05,38.72,-9.29,-11.21,-9.63,0.0,-13.72,-9.69,-15.73,-13.95,-9.01,0
06075,31.87,35.59,-3.98,-10.16,-5.88,0.0,-11.26,-10.0,-8.29,-9.94,-5.91,0
06077,46.35,50.58,-7.37,-4.49,-5.76,0.0,-10.53,-7.47,-17.98,-13.02,-6.64,0
06079,33.43,39.4,-12.12,-17.38,-12.18,0.0,-14.76,-3.63,-21.78,-19.51,-14.95,0
06081,26.26,28.95,-3.04,-6.81,0.0,0.0,-12.91,-8.13,-11.92,-12.13,-6.76,0
06083,41.68,45.61,-2.6,-9.67,-5.11,0.0,-9.67,-4.06,-9.77,-13.32,-5.49,0
06085,28.16,31.14,-6.47,-7.26,-7.94,0.0,-11.22,-8.76,-12.95,-10.04,-5.83,0
06087,34.18,39.08,-4.42,-15.89,-20.27,0.0,-12.89,-7.85,-5.22,-19.94,-11.91,0
06089,39.32,47.52,-5.29,-4.57,-5.7,0.0,-17.87,-9.2,-14.99,-22.63,-15.38,0
06091,35.48,40.94,0.0,0.0,,,-11.28,-17.44,-13.43,-15.02,-14.79,1
06093,44.7,50.97,-4.27,-6.2,0.0,0.0,-13.08,-0.88,-16.85,-19.08,-10.86,1
06095,36.9,41.65,-6.0,-9.26,-8.75,-49.9,-12.4,-11.37,-17.26,-9.02,-6.78,0
06097,32.55,36.06,-3.21,-9.71,-5.3,0.0,-10.53,-6.73,-5.43,-10.4,-4.85,0
06099,44.02,50.28,-8.17,-7.07,-6.43,0.0,-13.79,-8.37,-8.52,-12.59,-8.62,0
06101,50.96,56.42,-10.46,-9.6,-11.73,0.0,-10.6,-6.03,-20.06,-10.59,-3.49,0
06103,51.72,57.18,-11.82,0.0,0.0,0.0,-10.5,-6.16,-8.11,-12.36,-5.58,1
06105,51.72,57.19,-11.83,0.0,0.0,0.0,-10.49,-6.13,-8.2,-12.39,-5.58,1
06107,57.78,61.59,-1.34,-6.73,0.0,0.0,-6.99,-3.9,-19.57,-11.5,-4.71,0
06109,35.08,43.73,-15.3,-3.12,0.0,,-19.69,-22.64,-17.48,-20.37,-19.36,1
06111,32.53,37.69,-13.46,-15.9,-6.48,0.0,-14.31,-11.6,-4.03,-17.7,-12.12,0
06113,41.74,46.08,-25.46,-9.46,-4.08,-100.0,-9.37,-8.8,-11.09,-9.76,-8.0,0
06115,50.96,56.42,-10.4,-9.59,-11.67,0.0,-10.6,-6.02,-19.99,-10.58,-3.48,0
08001,35.89,40.84,-7.14,-14.69,-7.14,0.0,-11.66,-7.71,-17.92,-13.08,-9.6,0
08003,45.51,52.63,-7.55,0.0,0.0,-1.0,-13.97,-8.4,-4.24,-16.06,-8.07,1
08005,29.2,33.79,-6.97,-9.39,-13.31,0.0,-13.51,-9.06,-12.67,-15.84,-8.78,0
08007,34.31,42.92,-17.88,-29.49,0.0,0.0,-19.39,-12.65,-15.93,-29.82,-16.79,1
08009,45.49,52.61,-7.45,0.0,0.0,0.0,-13.88,-8.55,-4.65,-16.14,-8.04,1
