county,Percentage Eligible,Current Percentage Eligible,difference_percentage_aian,difference_percentage_asian,difference_percentage_black,difference_percentage_nhpi,difference_percentage_white,difference_percentage_hispanic,difference_percentage_veteran,difference_percentage_elderly,difference_percentage_disability,rural
01001,39.49,51.05,-20.51,0.0,-18.08,,-27.77,-15.82,-23.55,-25.44,-16.29,0
01003,24.93,33.62,-36.26,-8.42,-20.49,,-25.63,-34.68,-20.72,-26.41,-18.33,0
01005,44.9,53.68,-16.81,-4.17,-11.23,-100.0,-19.21,-11.28,-18.37,-17.96,-10.37,1
01007,45.15,56.53,-10.16,0.0,-14.64,,-26.89,-21.43,-25.79,-22.57,-15.68,1
01009,40.09,48.79,-14.43,0.0,-18.71,0.0,-17.71,-7.2,-20.37,-21.54,-18.35,0
01011,43.2,52.92,-17.5,0.0,-12.3,-100.0,-21.78,-17.14,-10.33,-21.74,-13.45,1
01013,44.9,53.69,-16.47,-2.78,-11.22,-100.0,-19.17,-11.44,-18.53,-17.95,-10.41,1
01015,45.26,57.94,-12.57,-29.78,-12.31,,-24.03,-27.63,-10.4,-29.75,-18.89,0
01017,43.2,52.92,-17.91,-1.41,-12.3,-100.0,-21.79,-16.76,-10.44,-21.75,-13.44,1
01019,42.27,53.2,-4.2,0.0,-12.04,,-21.46,-8.75,-26.83,-30.98,-23.61,1
01021,28.62,36.15,-13.45,-2.48,-13.31,,-22.76,-37.07,-12.08,-23.09,-13.69,1
01023,47.73,60.69,-45.26,0.0,-15.46,,-23.19,-81.67,-27.4,-21.98,-17.24,1
01025,47.74,60.7,-45.09,0.0,-15.45,,-23.19,-81.82,-27.49,-22.01,-17.2,1
01027,41.66,55.33,-9.41,0.0,-29.39,,-22.85,-2.78,-33.97,-31.92,-18.74,1
01029,41.66,55.34,-9.44,0.0,-29.41,,-22.84,-2.63,-33.68,-31.92,-18.72,1
01031,40.16,49.7,-20.37,-6.84,-9.62,0.0,-22.08,-25.09,-29.25,-22.46,-15.15,0
01033,35.55,47.33,-22.33,-27.5,-19.49,,-25.48,0.0,-24.89,-30.32,-20.95,1
01035,47.73,60.69,-44.83,0.0,-15.49,,-23.2,-81.82,-27.52,-21.95,-17.19,1
01037,43.2,52.92,-17.5,0.0,-12.26,-100.0,-21.77,-16.19,-10.29,-21.67,-13.41,1
01039,44.9,53.68,-16.67,-2.82,-11.18,-100.0,-19.2,-11.59,-18.48,-17.97,-10.36,1
01041,44.9,53.68,-16.95,-4.0,-11.19,-100.0,-19.23,-11.51,-18.44,-17.91,-10.37,1
01043,33.62,47.04,-25.69,-9.35,-26.06,,-28.59,-20.9,-42.71,-30.97,-25.26,1
01045,40.16,49.7,-20.6,-7.41,-9.62,0.0,-22.09,-24.85,-29.21,-22.47,-15.16,0
01047,39.49,51.05,-21.09,0.0,-18.07,,-27.77,-15.98,-23.5,-25.43,-16.3,1
01049,41.76,53.64,-14.02,-12.98,0.0,,-22.3,-23.42,-27.41,-28.08,-16.9,1
01051,31.19,42.12,-55.09,0.0,-24.78,,-25.63,-8.55,-19.07,-28.56,-20.99,0
01053,47.73,60.69,-44.73,0.0,-15.49,,-23.2,-81.71,-27.54,-22.0,-17.2,1
01055,42.27,53.2,-4.06,0.0,-12.06,,-21.44,-8.66,-26.89,-30.98,-23.61,0
01057,45.15,56.53,-9.68,0.0,-14.6,,-26.86,-19.72,-25.7,-22.54,-15.71,1
01059,35.55,47.33,-21.99,-26.67,-19.44,,-25.49,0.0,-24.81,-30.33,-20.97,1
01061,39.96,50.25,-25.56,-12.68,-8.52,0.0,-24.76,-24.92,-29.14,-25.14,-17.51,0
01063,45.15,56.53,-9.09,0.0,-14.57,,-26.87,-20.59,-25.49,-22.52,-15.66,1
01065,45.15,56.52,-10.59,0.0,-14.63,,-26.88,-21.54,-25.94,-22.55,-15.71,1
01067,39.96,50.25,-25.58,-13.04,-8.45,0.0,-24.78,-24.88,-29.1,-25.15,-17.5,0
01069,39.96,50.25,-25.56,-12.63,-8.5,0.0,-24.77,-24.92,-29.1,-25.15,-17.5,0
01071,41.76,53.64,-14.07,-13.54,0.0,,-22.3,-23.3,-27.33,-28.08,-16.89,1
01073,35.83,44.28,-12.75,-21.27,-15.98,0.0,-23.62,-10.57,-28.02,-18.58,-14.73,0
01075,45.14,56.53,-10.0,0.0,-14.61,,-26.93,-19.67,-25.63,-22.52,-15.72,1
01077,35.55,47.33,-22.19,-26.92,-19.43,,-25.48,0.0,-24.93,-30.32,-20.95,0
01079,31.42,40.53,-10.63,0.0,-27.47,,-23.63,-5.89,-13.14,-30.82,-21.41,0
01081,39.75,49.35,-8.0,-22.6,-19.69,-100.0,-16.79,-22.4,-34.43,-23.85,-16.13,0
01083,22.55,31.48,-42.49,-86.03,-6.54,,-31.86,-3.74,-23.99,-28.38,-11.93,0
01085,39.48,51.05,-20.59,0.0,-18.08,,-27.8,-15.38,-23.41,-25.36,-16.29,1
01087,43.2,52.92,-17.33,-2.5,-12.32,-100.0,-21.76,-16.67,-10.37,-21.74,-13.39,1
01089,26.53,33.7,-25.49,-35.57,-11.67,0.0,-25.2,-11.81,-21.56,-26.43,-12.28,0
01091,45.15,56.53,-9.91,0.0,-14.63,,-26.91,-21.18,-25.85,-22.54,-15.68,1
01093,33.62,47.04,-25.37,-8.33,-26.15,,-28.59,-21.02,-42.65,-30.97,-25.27,1
01095,32.89,45.17,-17.16,0.0,-14.74,,-28.81,-26.54,-33.35,-33.97,-16.77,0
01097,43.33,53.08,-19.21,-25.06,-13.77,,-22.43,-6.57,-13.13,-20.35,-14.58,0
01099,47.73,60.69,-44.59,0.0,-15.49,,-23.2,-81.91,-27.56,-21.99,-17.23,1
