county,Percentage Eligible,Current Num Eligible,Current Num Ineligible,Current Percentage Eligible,difference_percentage_aian,difference_percentage_asian,difference_percentage_black,difference_percentage_nhpi,difference_percentage_white,difference_percentage_hispanic,difference_percentage_veteran,difference_percentage_elderly,difference_percentage_disability,rural
01081,41.1,33157,34029,49.35,-3.33,-7.78,-18.49,-100.0,-13.21,-16.92,-33.95,-22.52,-14.08,0
01083,23.32,12693,27623,31.48,-42.49,-86.03,-3.88,,-29.58,0.0,-18.22,-24.33,-7.6,0
01085,40.64,1994,1912,51.05,-20.59,0.0,-17.47,,-23.46,-15.38,-20.49,-22.26,-14.46,1
01087,44.3,3901,3471,52.92,-10.67,-2.5,-10.83,-100.0,-19.56,-16.67,-9.59,-19.75,-11.93,1
01089,27.31,55152,108504,33.7,-25.41,-30.53,-9.41,0.0,-23.23,-8.1,-18.94,-22.32,-10.19,0
01091,46.23,4168,3205,56.53,-9.91,0.0,-14.08,,-23.28,-21.18,-22.72,-20.51,-14.94,1
01093,35.85,5319,5989,47.04,-12.2,-2.78,-8.85,,-24.03,-21.02,-42.08,-23.32,-19.16,1
01095,34.0,16803,20398,45.17,-16.33,0.0,-13.43,,-26.3,-25.36,-26.45,-30.79,-13.88,0
01097,45.48,86502,76460,53.08,-19.21,-25.06,-10.64,,-17.17,-3.06,-11.71,-16.75,-13.47,0
01099,50.71,4473,2897,60.69,-44.59,0.0,-12.12,,-16.74,-81.91,-27.56,-14.75,-12.71,1
01101,45.39,48147,44270,52.1,-45.67,-39.18,-10.33,,-16.89,-15.76,-12.43,-17.73,-8.41,0
01103,32.97,19433,28517,40.53,-0.58,0.0,-27.03,,-18.79,0.0,-10.94,-25.93,-18.05,0
01105,40.63,1646,1578,51.05,-21.43,0.0,-17.51,,-23.44,-16.67,-21.18,-22.25,-14.49,1
01107,46.22,4125,3172,56.53,-10.0,0.0,-14.1,,-23.3,-21.43,-22.69,-20.51,-14.96,1
01109,47.11,6663,5748,53.69,-10.81,-1.61,-9.35,-100.0,-13.78,-6.59,-11.26,-13.34,-6.37,1
01111,43.11,4939,3987,55.33,-9.51,0.0,-25.02,,-20.83,-2.7,-32.04,-27.37,-17.47,1
01113,46.16,12235,10424,54.0,-7.14,-6.93,-12.92,-100.0,-14.25,-9.31,-17.05,-16.59,-9.44,0
01115,41.88,16225,17030,48.79,-13.71,0.0,-7.9,0.0,-14.93,-7.17,-16.22,-16.75,-13.93,0
01117,25.3,27139,58926,31.53,-12.58,-2.42,-10.3,,-21.64,-40.04,-12.16,-20.67,-12.09,0
01119,46.23,2664,2049,56.52,-9.86,0.0,-14.1,,-23.26,-20.37,-22.86,-20.46,-14.95,1
01121,43.11,18467,14907,55.33,-9.37,0.0,-25.01,,-20.85,-3.12,-32.11,-27.35,-17.5,0
01123,44.3,8248,7339,52.92,-11.32,-1.19,-10.81,-100.0,-19.58,-16.71,-9.71,-19.77,-11.92,1
01125,38.29,40510,46293,46.67,-35.02,-36.19,-10.63,,-21.54,-19.34,-29.24,-23.69,-22.47,0
01127,39.8,11845,12513,48.63,-19.41,0.0,-13.91,0.0,-19.88,0.0,-10.68,-19.05,-16.98,1
01129,50.71,3483,2256,60.69,-44.35,0.0,-12.12,,-16.73,-82.19,-27.49,-14.75,-12.71,1
01131,50.71,2398,1553,60.69,-44.3,0.0,-12.1,,-16.68,-82.0,-27.23,-14.76,-12.7,1
01133,35.85,4268,4805,47.04,-12.73,-3.45,-9.09,,-24.04,-21.43,-42.27,-23.31,-19.13,1
02013,47.44,518,480,51.9,-4.89,-3.03,-38.46,,-19.17,-14.29,-4.62,-5.61,-8.26,1
02016,47.44,791,733,51.9,-4.96,-3.92,-40.0,,-19.13,-9.09,-4.04,-5.81,-8.26,1
02020,30.71,37896,71642,34.6,-8.78,-4.32,-8.11,0.0,-13.66,-1.94,-24.59,-14.58,-6.79,0
02050,47.44,2823,2618,51.88,-5.06,-3.85,-39.44,,-18.84,-12.5,-3.95,-5.9,-8.3,1
02060,47.37,128,119,51.82,-4.95,0.0,-33.33,,-20.0,0.0,-6.25,-5.66,-8.77,1
02063,31.61,1000,1721,36.75,-19.3,-21.28,-7.69,0.0,-10.64,-11.76,-19.83,-19.56,-11.69,
02066,31.57,368,633,36.76,-19.05,-20.59,-10.0,0.0,-10.44,-10.81,-19.54,-19.4,-11.76,
02068,31.61,228,392,36.77,-19.23,-19.05,-16.67,0.0,-10.87,-13.04,-20.37,-19.28,-11.43,1
02070,47.42,734,681,51.87,-4.99,-2.13,-42.11,,-18.82,-10.0,-4.35,-5.92,-8.28,1
02090,31.61,13470,23178,36.76,-19.55,-20.41,-8.57,0.0,-10.62,-11.83,-19.56,-19.5,-11.75,0
02100,31.61,292,503,36.73,-19.4,-18.52,-12.5,0.0,-10.59,-13.33,-18.84,-19.81,-11.85,1
02105,47.38,357,331,51.89,-4.96,-4.35,-44.44,,-19.28,-20.0,-4.44,-6.08,-8.23,1
02110,31.62,4542,7816,36.75,-19.5,-20.47,-8.47,0.0,-10.63,-11.9,-19.55,-19.48,-11.73,0
02122,39.06,10184,13309,43.35,-7.74,0.0,-3.2,0.0,-10.57,-2.82,-14.64,-13.61,-10.44,1
02130,31.61,1964,3380,36.75,-19.42,-20.65,-7.84,0.0,-10.59,-12.0,-19.4,-19.5,-11.8,1
02150,47.43,1981,1837,51.89,-5.04,-3.91,-40.0,,-18.78,-10.71,-3.63,-5.85,-8.19,1
02158,47.44,1266,1174,51.89,-5.0,-3.66,-40.62,,-19.11,-11.11,-4.4,-5.92,-8.36,1
02164,47.45,224,207,51.97,-5.08,0.0,-50.0,,-19.23,0.0,-3.57,-6.45,-8.08,1
02170,39.06,18545,24233,43.35,-7.74,0.0,-3.11,0.0,-10.56,-2.95,-14.63,-13.58,-10.44,1
02180,47.44,1519,1408,51.9,-5.08,-4.08,-39.47,,-18.8,-13.64,-3.68,-5.88,-8.31,1
02185,47.44,1669,1547,51.9,-5.08,-2.8,-38.1,,-18.91,-12.5,-3.83,-5.93,-8.24,1
02188,47.45,1179,1093,51.89,-5.04,-3.95,-40.0,,-19.05,-11.76,-4.05,-5.94,-8.22,1
02195,47.43,514,477,51.87,-5.16,-3.03,-38.46,,-19.33,-14.29,-3.12,-6.1,-8.33,1
02198,47.43,869,806,51.88,-5.09,-3.57,-40.91,,-18.91,-8.33,-3.67,-5.83,-8.29,1
02220,47.45,1279,1186,51.89,-5.04,-3.66,-37.5,,-18.92,-11.11,-3.75,-5.85,-8.27,1
02230,31.58,175,301,36.76,-20.0,-18.75,-20.0,0.0,-10.64,-11.11,-19.51,-19.05,-12.35,1
02240,31.62,959,1650,36.76,-19.63,-21.11,-8.0,0.0,-10.71,-11.34,-19.82,-19.54,-11.74,1
02275,47.5,321,298,51.86,-5.12,-4.76,-37.5,,-18.92,-20.0,-2.5,-6.02,-7.75,1
02282,47.42,101,93,52.06,-5.0,0.0,-33.33,,-17.39,0.0,-7.69,-7.14,-8.89,1
02290,47.46,808,749,51.89,-5.01,-3.85,-40.0,,-18.72,-9.09,-3.96,-5.97,-8.1,1
04001,57.87,14797,8121,64.56,-7.23,0.0,0.0,0.0,-15.35,-11.93,-7.73,-9.02,-5.04,1
04003,44.38,24826,23794,51.06,0.0,-32.35,-25.87,,-13.13,-8.84,-14.56,-15.83,-9.29,0
04005,44.98,29053,26369,52.42,-12.39,-21.53,-28.72,0.0,-15.8,-13.38,-10.37,-14.97,-10.24,0
04007,48.9,12252,9420,56.53,-1.47,0.0,0.0,0.0,-15.73,-12.86,-17.97,-17.08,-9.24,1
04009,48.9,8862,6813,56.54,-1.45,0.0,0.0,0.0,-15.73,-12.86,-17.93,-17.07,-9.24,1
04011,48.91,2199,1690,56.54,-1.41,0.0,0.0,0.0,-15.69,-12.82,-17.78,-17.08,-9.16,1
04012,46.94,3504,2900,54.72,-11.06,-7.14,-6.75,-100.0,-15.88,-10.73,-18.49,-18.01,-11.69,1
04013,32.24,644767,1063242,37.75,-11.45,-11.61,-11.26,0.0,-15.23,-11.37,-13.74,-17.16,-10.83,0
04015,42.29,55367,48286,53.42,-13.59,-36.05,-11.8,-100.0,-20.77,-17.19,-32.59,-22.51,-16.85,0
04017,57.87,23919,13126,64.57,-7.22,0.0,0.0,0.0,-15.33,-11.93,-7.72,-9.02,-5.04,1
04019,37.24,190307,242036,44.02,-14.73,-9.88,-14.79,0.0,-16.01,-12.5,-17.63,-17.55,-11.08,0
04021,35.34,65631,89519,42.3,-12.66,-10.37,-6.56,-80.0,-17.87,-12.0,-16.55,-19.13,-12.16,0
04023,44.38,9436,9044,51.06,0.0,-32.5,-25.96,,-13.13,-8.84,-14.56,-15.83,-9.28,0
04025,35.64,47586,64204,42.57,-11.25,-7.88,-40.36,0.0,-16.57,-3.32,-18.09,-17.97,-14.09,0
04027,47.56,42060,34560,54.89,-10.48,-3.45,-6.77,-100.0,-15.18,-10.41,-16.76,-17.18,-10.91,0
05001,47.83,3423,2788,55.11,0.0,-27.27,-9.39,,-14.79,-31.87,-10.0,-16.76,-12.75,1
05003,47.84,3804,3098,55.11,0.0,-25.0,-9.42,,-14.75,-31.68,-9.94,-16.71,-12.71,1
05005,45.78,9691,7880,55.15,-17.48,0.0,0.0,,-17.3,-8.15,-30.22,-23.32,-17.8,1
05007,28.6,36913,70159,34.47,-12.87,-0.14,-0.25,0.0,-17.86,-18.45,-20.22,-22.84,-15.02,0
05009,45.78,8701,7076,55.15,-17.66,0.0,0.0,,-17.3,-8.09,-30.26,-23.32,-17.78,1
05011,47.84,2104,1714,55.11,0.0,-28.57,-9.44,,-14.81,-32.14,-9.55,-16.79,-12.65,1
05013,47.56,1010,772,56.68,-11.11,-80.0,-11.37,,-20.29,-3.45,-10.53,-14.41,-12.2,1
05015,45.78,6578,5349,55.15,-17.53,0.0,0.0,,-17.3,-8.08,-30.22,-23.32,-17.77,1
05017,47.85,2035,1658,55.1,0.0,-28.57,-9.36,,-14.76,-31.48,-9.88,-16.78,-12.76,1
05019,44.55,4616,4047,53.28,-23.68,-11.43,-10.36,,-17.28,-4.55,-18.5,-23.08,-8.41,1
05021,46.94,3085,2546,54.79,-26.8,0.0,-0.5,0.0,-15.17,-17.92,-16.03,-22.28,-12.88,1
05023,52.63,5845,3892,60.03,-8.98,0.0,0.0,0.0,-12.62,-7.25,-11.67,-16.09,-10.03,1
05025,47.84,1505,1226,55.11,0.0,-20.0,-9.39,,-14.81,-32.5,-9.45,-16.75,-12.73,1
05027,47.55,4863,3715,56.69,-13.79,-83.33,-11.27,,-20.2,-2.84,-10.36,-14.43,-12.21,1
05029,50.93,4854,3267,59.77,-12.5,-4.96,-3.6,0.0,-15.83,-3.8,-18.44,-21.38,-15.8,1
05031,47.8,23471,18862,55.44,-25.16,0.0,-3.75,,-15.39,-19.6,-16.65,-20.28,-11.85,0
05033,48.58,13170,10605,55.39,-5.65,-4.05,-7.71,,-14.3,-5.4,-27.22,-15.29,-12.01,0
05035,55.95,11290,6549,63.29,-12.31,0.0,-6.47,,-15.4,-21.02,-18.03,-13.08,-7.3,0
05037,55.95,3944,2288,63.29,-12.22,0.0,-6.44,,-15.39,-20.79,-17.99,-13.11,-7.31,1
05039,47.56,1383,1056,56.7,-16.0,-85.71,-11.29,,-20.24,-2.5,-10.83,-14.51,-12.24,1
05041,47.84,2274,1852,55.11,0.0,-14.29,-9.45,,-14.71,-31.67,-9.84,-16.77,-12.73,1
05043,47.83,3461,2819,55.11,0.0,-27.27,-9.4,,-14.79,-31.52,-9.9,-16.75,-12.73,1
05045,37.9,22161,25722,46.28,-6.62,-0.12,-11.51,,-19.35,-32.04,-14.23,-19.97,-9.45,0
05047,48.58,3745,3016,55.39,-5.65,-4.0,-7.94,,-14.3,-5.42,-27.2,-15.33,-12.01,1
05049,52.63,2856,1902,60.03,-8.8,0.0,0.0,0.0,-12.62,-7.1,-11.65,-16.13,-10.0,1
05051,44.55,21570,18911,53.28,-23.31,-12.2,-10.34,,-17.28,-4.26,-18.38,-23.1,-8.43,0
05053,32.57,2973,4211,41.38,-5.32,-4.17,-28.12,0.0,-19.0,-8.64,-7.52,-16.65,-16.36,1
05055,46.93,9698,8004,54.78,-26.67,0.0,-0.4,0.0,-15.17,-18.35,-16.03,-22.32,-12.87,0
05057,47.54,4282,3271,56.69,-13.16,-85.71,-11.29,,-20.25,-2.42,-10.52,-14.48,-12.17,1
05059,44.55,7113,6236,53.28,-23.18,-11.73,-10.4,,-17.27,-4.43,-18.4,-23.12,-8.43,1
05061,49.09,2960,2126,58.2,-20.0,-37.5,-10.12,,-17.17,-11.67,-12.74,-17.17,-10.73,1
05063,52.63,8974,5975,60.03,-9.16,0.0,-0.5,0.0,-12.61,-7.17,-11.67,-16.12,-10.0,1
05065,52.64,3212,2139,60.03,-9.22,0.0,0.0,0.0,-12.63,-7.37,-11.65,-16.14,-10.03,1
05067,46.38,3456,2919,54.21,-2.46,0.0,-12.3,,-14.91,-4.0,-6.12,-20.21,-15.25,1
05069,47.84,13421,10932,55.11,0.0,-23.26,-9.41,,-14.77,-31.46,-9.94,-16.75,-12.74,0
05071,50.93,6034,4061,59.77,-12.5,-5.14,-3.76,0.0,-15.84,-3.91,-18.43,-21.35,-15.78,1
05073,47.54,1347,1029,56.69,-12.5,-85.71,-11.27,,-20.24,-2.56,-9.87,-14.43,-12.09,1
05075,46.93,3438,2837,54.79,-26.47,0.0,-0.45,0.0,-15.17,-18.13,-15.97,-22.34,-12.84,1
05077,55.95,2017,1170,63.29,-12.32,0.0,-6.51,,-15.43,-20.88,-18.09,-13.05,-7.25,1
05079,47.83,2582,2103,55.11,0.0,-25.0,-9.36,,-14.71,-31.88,-10.05,-16.77,-12.78,1
05081,49.09,2783,1999,58.2,-20.12,-33.33,-10.13,,-17.16,-11.7,-12.68,-17.16,-10.76,1
05083,49.08,4893,3515,58.19,-20.47,-37.04,-10.08,,-17.16,-11.69,-12.58,-17.2,-10.7,1
05085,37.9,13279,15413,46.28,-6.79,0.0,-11.56,,-19.34,-32.17,-14.24,-19.98,-9.44,0
05087,45.78,3845,3127,55.15,-17.65,0.0,0.0,,-17.29,-8.21,-30.26,-23.31,-17.79,1
05089,45.78,3918,3186,55.15,-17.34,0.0,0.0,,-17.3,-8.06,-30.26,-23.31,-17.76,1
05091,49.08,9861,7083,58.2,-20.33,-38.18,-10.13,,-17.16,-11.8,-12.73,-17.18,-10.71,0
05093,55.95,9536,5532,63.29,-12.27,0.0,-6.44,,-15.4,-20.93,-17.96,-13.08,-7.29,1
05095,46.39,1403,1185,54.21,-2.59,0.0,-12.12,,-14.89,-3.6,-6.15,-20.29,-15.32,1
05097,44.55,1825,1600,53.28,-23.33,-11.9,-10.27,,-17.31,-2.9,-18.57,-23.07,-8.39,1
05099,47.54,1772,1354,56.69,-15.62,-88.89,-11.25,,-20.23,-1.96,-10.45,-14.45,-12.16,1
05101,45.79,1682,1367,55.17,-17.57,0.0,0.0,,-17.31,-7.69,-30.47,-23.3,-17.82,1
05103,47.55,4833,3692,56.69,-12.79,-83.33,-11.26,,-20.21,-2.86,-10.42,-14.43,-12.19,1
05105,32.57,1659,2351,41.37,-5.66,-3.7,-28.25,0.0,-18.96,-8.89,-7.43,-16.69,-16.39,1
05107,55.95,3882,2252,63.29,-12.41,0.0,-6.43,,-15.41,-21.14,-18.02,-13.03,-7.28,1
05109,44.56,2191,1921,53.28,-23.61,-12.0,-10.36,,-17.28,-3.61,-18.6,-23.09,-8.37,1
05111,47.8,4845,3893,55.45,-24.9,0.0,-3.78,,-15.41,-19.59,-16.73,-20.28,-11.84,1
05113,49.08,4449,3196,58.19,-20.3,-40.0,-10.16,,-17.15,-11.75,-12.73,-17.2,-10.69,1
05115,50.93,14851,9996,59.77,-12.47,-5.1,-3.53,0.0,-15.83,-3.87,-18.4,-21.36,-15.76,0
05117,46.38,1709,1443,54.22,-2.13,0.0,-12.41,,-14.88,-3.68,-5.96,-20.18,-15.29,1
05119,37.79,78366,93348,45.64,-5.2,-24.14,-16.96,,-17.81,-4.4,-27.18,-17.8,-14.5,0
05121,46.93,3938,3250,54.79,-26.67,0.0,-0.39,0.0,-15.15,-18.1,-15.98,-22.31,-12.85,1
05123,55.95,5412,3140,63.28,-12.16,0.0,-6.45,,-15.41,-20.9,-17.98,-13.08,-7.31,1
05125,32.57,20434,28947,41.38,-5.86,-2.74,-28.2,0.0,-19.01,-8.8,-7.33,-16.65,-16.37,0
05127,49.08,2277,1635,58.21,-20.86,-38.46,-10.31,,-17.14,-11.69,-12.64,-17.16,-10.74,1
05129,45.78,1823,1482,55.16,-18.52,0.0,0.0,,-17.31,-7.87,-30.16,-23.34,-17.82,1
05131,48.58,27989,22537,55.4,-5.65,-3.93,-7.69,,-14.3,-5.36,-27.21,-15.3,-12.0,0
05133,49.09,3667,2634,58.2,-20.18,-35.0,-10.1,,-17.17,-11.83,-12.75,-17.22,-10.72,1
05135,46.93,3662,3022,54.79,-26.52,0.0,-0.42,0.0,-15.14,-18.45,-15.97,-22.32,-12.83,1
05137,52.63,2923,1946,60.03,-9.38,0.0,0.0,0.0,-12.61,-7.51,-11.67,-16.13,-9.99,1
05139,47.55,8332,6366,56.69,-14.09,-85.37,-11.26,,-20.22,-2.89,-10.39,-14.46,-12.19,1
05141,52.64,3735,2487,60.03,-9.15,0.0,0.0,0.0,-12.61,-7.24,-11.74,-16.11,-10.01,1
05143,36.37,43225,50452,46.14,-24.75,-19.76,-9.36,0.0,-21.11,-11.98,-38.16,-25.94,-17.46,0
05145,46.38,15842,13381,54.21,-2.22,0.0,-12.41,,-14.9,-3.73,-6.27,-20.19,-15.27,0
05147,46.37,1292,1091,54.22,-1.89,0.0,-12.68,,-14.91,-3.88,-6.06,-20.14,-15.38,1
05149,50.93,4747,3195,59.77,-12.76,-5.07,-3.68,0.0,-15.84,-3.88,-18.43,-21.35,-15.79,1
06001,32.79,210706,378514,35.76,-11.42,-6.83,-6.6,0.0,-8.28,-7.9,-5.93,-9.56,-6.16,0
06003,36.77,224,289,43.66,-15.0,-10.0,0.0,,-15.76,-13.51,-11.11,-16.96,-17.89,1
06005,36.75,7511,9665,43.73,-12.2,-3.07,0.0,,-15.76,-13.54,-11.21,-17.03,-18.04,1
06007,45.87,40192,41161,49.4,-13.8,-2.06,0.0,-72.5,-8.09,-5.32,-15.83,-9.69,-5.17,0
06009,36.75,8405,10815,43.73,-12.13,-3.01,0.0,,-15.77,-13.47,-11.22,-17.02,-18.04,1
06011,53.73,4223,3162,57.18,-11.87,0.0,0.0,0.0,-6.3,-4.45,-7.93,-8.99,-5.63,1
06013,33.03,146962,264666,35.7,-1.51,-4.08,-5.51,0.0,-9.13,-6.07,-8.61,-9.93,-5.45,0
06015,45.34,5292,5091,50.97,-3.22,-6.41,0.0,0.0,-11.78,-0.26,-14.42,-16.7,-9.0,1
06017,30.69,24554,50355,32.78,0.0,-3.77,0.0,0.0,-6.57,-1.18,-4.77,-8.63,-5.39,0
06019,53.21,185742,136899,57.57,-3.4,-5.87,-3.58,0.0,-9.26,-5.71,-7.62,-9.69,-6.17,0
06021,53.73,5590,4186,57.18,-11.95,0.0,0.0,0.0,-6.31,-4.47,-8.26,-9.04,-5.58,1
06023,51.24,31636,23547,57.33,-9.7,-12.08,-23.06,0.0,-9.96,-17.38,-3.21,-10.16,-8.74,0
06025,63.94,31686,16164,66.22,0.0,0.0,0.0,0.0,-6.32,-2.92,-5.31,-4.37,-3.63,0
06027,36.75,3529,4541,43.73,-12.01,-3.27,0.0,,-15.77,-13.48,-11.21,-16.99,-18.01,1
06029,53.56,168617,114415,59.58,-2.93,-3.42,-9.58,0.0,-11.13,-9.09,-15.16,-12.5,-8.0,0
06031,49.92,24053,19090,55.75,-11.33,-19.62,-22.58,0.0,-11.11,-9.75,-12.2,-14.86,-8.81,0
06033,51.83,14392,11949,54.64,-3.46,-11.3,0.0,0.0,-5.41,-3.93,-11.92,-7.08,-4.15,1
06035,45.35,6244,6006,50.97,-3.2,-6.52,0.0,0.0,-11.78,-0.22,-14.47,-16.73,-8.98,1
06037,46.29,1702407,1673249,50.43,-7.52,-7.81,-8.16,-6.79,-9.13,-6.97,-9.32,-8.27,-5.45,0
06039,53.0,25645,18410,58.21,0.0,-3.06,0.0,,-9.64,-7.91,-6.67,-5.34,-8.16,0
06041,24.43,29547,73831,28.58,0.0,-16.75,-9.7,0.0,-13.46,-10.41,0.0,-22.49,-12.08,0
06043,36.75,3180,4092,43.73,-12.23,-2.9,0.0,,-15.76,-13.45,-11.26,-17.02,-17.99,1
06045,51.83,19344,16061,54.64,-3.47,-11.17,0.0,0.0,-5.4,-3.91,-11.91,-7.09,-4.15,1
06047,59.68,53812,31154,63.33,-12.8,-2.44,-7.05,0.0,-5.86,-5.7,-4.75,-4.68,-4.86,0
06049,45.35,1660,1597,50.97,-3.19,-5.48,0.0,0.0,-11.75,-0.28,-14.34,-16.74,-8.91,1
06051,36.75,2447,3148,43.74,-12.15,-2.83,0.0,,-15.79,-13.3,-11.05,-16.99,-18.04,1
06053,42.71,63592,72735,46.65,-20.56,-9.75,-12.57,0.0,-11.77,-4.87,-20.27,-11.31,-6.86,0
06055,33.0,18748,30662,37.94,0.0,-16.72,-7.09,-20.13,-15.73,-8.01,-16.44,-17.25,-18.0,0
06057,38.22,17281,24896,40.97,0.0,0.0,,,-7.04,0.0,-6.92,-9.8,-10.66,1
06059,36.03,425077,651698,39.48,-8.19,-7.06,-7.15,-30.5,-10.31,-7.11,-9.89,-9.83,-6.49,0
06061,27.33,50109,105791,32.14,-14.48,-14.66,0.0,0.0,-15.48,-11.88,-11.51,-16.1,-11.42,0
06063,45.34,3777,3633,50.97,-3.27,-6.59,0.0,0.0,-11.77,-0.12,-14.54,-16.7,-8.98,1
06065,43.7,372728,393121,48.67,-9.21,-11.29,-8.22,-54.14,-11.1,-8.67,-14.11,-12.43,-7.73,0
06067,40.74,255159,316812,44.61,-4.89,-7.8,-6.04,-9.23,-10.6,-6.49,-10.05,-10.89,-6.78,0
06069,43.16,8146,9058,47.35,0.0,0.0,0.0,,-8.31,-8.23,-37.61,-14.82,-7.44,0
06071,49.0,360760,315119,53.38,-4.8,-8.83,-5.12,0.0,-8.97,-7.25,-10.74,-8.61,-6.33,0
06073,34.69,450287,712606,38.72,-7.91,-9.89,-8.31,0.0,-11.76,-8.28,-13.35,-11.59,-7.97,0
06075,32.56,124988,226238,35.59,-3.98,-8.2,-3.65,0.0,-9.92,-8.46,-4.6,-8.7,-5.25,0
06077,47.12,122297,119495,50.58,-7.37,-3.89,-5.09,0.0,-9.08,-6.15,-13.94,-10.56,-5.37,0
