county,Percentage Eligible,Current Num Eligible,Current Num Ineligible,Current Percentage Eligible,difference_percentage_aian,difference_percentage_asian,difference_percentage_black,difference_percentage_nhpi,difference_percentage_white,difference_percentage_hispanic,difference_percentage_veteran,difference_percentage_elderly,difference_percentage_disability,rural
01001,40.64,11376,10907,51.05,-20.51,0.0,-17.47,,-23.42,-15.82,-20.82,-22.27,-14.46,0
01003,26.83,31637,62468,33.62,-26.48,-8.42,-17.68,,-20.31,-22.85,-17.45,-18.81,-13.62,0
01005,47.11,5091,4393,53.68,-10.62,-4.17,-9.39,-100.0,-13.78,-6.39,-11.14,-13.38,-6.36,1
01007,46.23,4809,3698,56.53,-10.16,0.0,-14.09,,-23.27,-21.43,-22.85,-20.5,-14.96,1
01009,41.88,10532,11053,48.79,-13.76,0.0,-7.88,0.0,-14.92,-7.2,-16.1,-16.76,-13.93,0
01011,44.29,2068,1840,52.92,-12.5,0.0,-10.84,-100.0,-19.54,-17.14,-9.59,-19.76,-11.91,1
01013,47.11,3846,3318,53.69,-10.59,-2.78,-9.37,-100.0,-13.76,-6.47,-11.16,-13.35,-6.41,1
01015,46.12,25857,18774,57.94,-12.57,-29.78,-12.31,,-22.05,-27.63,-10.4,-26.85,-15.35,0
01017,44.3,6942,6177,52.92,-11.19,-1.41,-10.79,-100.0,-19.57,-16.76,-9.78,-19.78,-11.93,1
01019,44.65,4982,4383,53.2,-4.2,0.0,-10.25,,-16.44,-8.75,-24.91,-22.67,-16.5,1
01021,29.24,6242,11025,36.15,-12.61,-2.48,-10.91,,-21.3,-37.07,-12.08,-21.26,-12.73,1
01023,50.7,2866,1856,60.69,-45.26,0.0,-12.13,,-16.68,-81.67,-27.4,-14.79,-12.7,1
01025,50.71,5226,3384,60.7,-45.09,0.0,-12.13,,-16.72,-81.82,-27.49,-14.77,-12.67,1
01027,43.11,3200,2583,55.33,-9.41,0.0,-25.03,,-20.83,-2.78,-32.07,-27.36,-17.5,1
01029,43.1,3386,2733,55.34,-9.44,0.0,-25.06,,-20.86,-2.63,-32.13,-27.31,-17.48,1
01031,42.56,10286,10411,49.7,-19.91,-6.84,-7.72,0.0,-16.18,-18.86,-22.73,-16.37,-10.95,0
01033,37.41,10735,11947,47.33,-22.33,-27.5,-17.91,,-21.73,0.0,-15.87,-24.28,-16.01,1
01035,50.71,2625,1700,60.69,-44.83,0.0,-12.15,,-16.72,-81.82,-27.52,-14.71,-12.73,1
01037,44.3,2075,1846,52.92,-10.0,0.0,-10.8,-100.0,-19.62,-16.19,-9.93,-19.7,-11.98,1
01039,47.12,7583,6542,53.68,-10.71,-2.82,-9.33,-100.0,-13.77,-6.55,-11.21,-13.37,-6.37,1
01041,47.12,2662,2297,53.68,-10.17,-4.0,-9.36,-100.0,-13.78,-6.47,-11.24,-13.37,-6.38,1
01043,35.85,15928,17932,47.04,-12.52,-0.93,-8.86,,-24.03,-20.9,-42.19,-23.3,-19.16,1
01045,42.56,9491,9607,49.7,-19.6,-7.41,-7.7,0.0,-16.18,-18.69,-22.71,-16.39,-10.94,0
01047,40.64,7439,7133,51.05,-21.09,0.0,-17.46,,-23.41,-15.98,-20.76,-22.26,-14.45,1
01049,44.19,14294,12356,53.64,-4.2,-12.98,0.0,,-18.12,-15.53,-21.77,-22.08,-10.45,1
01051,32.33,13819,18986,42.12,-55.09,0.0,-23.85,,-21.9,-8.55,-17.12,-24.46,-16.71,0
01053,50.7,8318,5387,60.69,-44.73,0.0,-12.14,,-16.74,-81.71,-27.54,-14.76,-12.7,1
01055,44.65,20634,18153,53.2,-4.06,0.0,-10.23,,-16.43,-8.66,-24.92,-22.7,-16.5,0
01057,46.23,3519,2706,56.53,-9.68,0.0,-14.05,,-23.26,-19.72,-22.6,-20.49,-14.95,1
01059,37.41,6025,6704,47.33,-21.99,-26.67,-17.96,,-21.73,0.0,-15.89,-24.27,-16.01,1
01061,41.85,5418,5364,50.25,-24.06,-12.68,-7.11,0.0,-19.93,-22.46,-26.98,-19.16,-14.86,0
01063,46.24,1667,1282,56.53,-9.09,0.0,-14.05,,-23.2,-20.59,-22.88,-20.48,-14.97,1
01065,46.23,3188,2452,56.52,-10.59,0.0,-14.08,,-23.26,-21.54,-22.87,-20.49,-14.98,1
01067,41.85,3484,3449,50.25,-24.42,-13.04,-7.09,0.0,-19.97,-22.49,-26.87,-19.15,-14.86,0
01069,41.85,21793,21573,50.25,-24.44,-12.63,-7.13,0.0,-19.95,-22.63,-26.95,-19.13,-14.84,0
01071,44.19,10497,9073,53.64,-4.18,-13.54,0.0,,-18.12,-15.43,-21.79,-22.08,-10.42,1
01073,37.38,119914,150886,44.28,-12.75,-21.27,-11.65,0.0,-20.96,-8.98,-19.91,-15.44,-12.67,0
01075,46.23,3014,2318,56.53,-10.0,0.0,-14.09,,-23.26,-19.67,-22.74,-20.48,-14.95,1
01077,37.41,17549,19529,47.33,-22.19,-26.92,-17.91,,-21.74,0.0,-15.89,-24.27,-16.01,0
01079,32.97,5206,7640,40.53,-0.65,0.0,-27.07,,-18.81,0.0,-10.97,-25.94,-18.02,0
