puma22,Percentage Eligible,Current Num Eligible,Current Num Ineligible,Current Percentage Eligible,difference_percentage_aian,difference_percentage_asian,difference_percentage_black,difference_percentage_nhpi,difference_percentage_white,difference_percentage_hispanic,difference_percentage_veteran,difference_percentage_elderly,difference_percentage_disability
0100100,37.41,34309,38180,47.33,-22.2,-27.06,-17.9,,-21.74,0.0,-15.88,-24.28,-16.01
0100200,23.32,12693,27623,31.48,-42.49,-86.03,-3.88,,-29.58,0.0,-18.22,-24.33,-7.6
0100300,32.97,24639,36157,40.53,-0.6,0.0,-27.04,,-18.79,0.0,-10.94,-25.93,-18.05
0100401,25.44,15109,29072,34.2,-38.71,-79.39,-4.77,,-28.68,-11.25,-20.89,-25.59,-9.52
0100402,27.45,22288,45031,33.11,-32.26,-50.36,-12.44,,-20.07,0.0,-12.81,-20.11,-11.86
0100403,28.16,15418,31564,32.82,-0.91,-0.21,-3.74,0.0,-19.45,-6.46,-23.06,-20.11,-8.37
0100501,34.0,19140,23235,45.17,-16.41,0.0,-13.42,,-26.3,-25.37,-26.45,-30.79,-13.88
0100600,44.19,24791,21429,53.64,-4.19,-13.22,0.0,,-18.12,-15.49,-21.78,-22.08,-10.44
0100700,44.65,25616,22536,53.2,-4.09,0.0,-10.23,,-16.43,-8.68,-24.92,-22.7,-16.5
0100800,46.12,25857,18774,57.94,-12.57,-29.78,-12.31,,-22.05,-27.63,-10.4,-26.85,-15.35
0100900,41.88,26757,28083,48.79,-13.73,0.0,-7.89,0.0,-14.93,-7.18,-16.17,-16.75,-13.93
0101000,35.86,25513,28723,47.04,-12.59,-1.74,-8.82,,-24.03,-20.91,-42.18,-23.29,-19.16
0101100,46.23,27156,20882,56.53,-9.99,0.0,-14.09,,-23.28,-20.69,-22.66,-20.5,-14.94
0101201,26.91,12925,24790,34.27,0.0,0.0,-11.57,,-24.86,0.0,-32.91,-26.14,-27.8
0101202,47.03,27585,21503,56.19,-54.45,-44.89,-10.41,,-18.79,-29.88,-27.86,-22.07,-19.37
0101301,39.8,20995,22179,48.63,-19.43,0.0,-13.9,0.0,-19.89,0.0,-10.71,-19.05,-16.98
0101401,38.86,19188,25998,42.46,0.0,0.0,-7.13,0.0,-9.83,-0.19,-31.74,-9.54,-6.13
0101402,36.73,22388,27886,44.53,-9.54,0.0,-13.96,0.0,-21.32,-0.35,-10.81,-18.39,-15.62
0101403,49.95,46905,32897,58.78,-9.99,-42.65,-10.98,0.0,-33.98,-4.41,-25.21,-16.14,-11.77
0101404,23.25,22283,54439,29.04,-54.76,-20.12,-18.67,0.0,-20.72,-22.39,-19.12,-15.06,-16.81
