state,Current Num Eligible,Current Num Ineligible,Current Percentage Eligible,American Indian and Alaska Native Eligible_120,Asian Eligible_120,Black or African American Eligible_120,Native Hawaiian Eligible_120,White Eligible_120,Hispanic or Latino Eligible_120,Veteran Eligible_120,Elderly Eligible_120,DIS Eligible_120,English less than very well Eligible_120,Percentage Eligible_120,difference_percentage_aian_120,difference_percentage_asian_120,difference_percentage_black_120,difference_percentage_nhpi_120,difference_percentage_white_120,difference_percentage_hispanic_120,difference_percentage_veteran_120,difference_percentage_elderly_120,difference_percentage_disability_120,difference_percentage_eng_very_well_120,American Indian and Alaska Native Eligible_135,Asian Eligible_135,Black or African American Eligible_135,Native Hawaiian Eligible_135,White Eligible_135,Hispanic or Latino Eligible_135,Veteran Eligible_135,Elderly Eligible_135,DIS Eligible_135,English less than very well Eligible_135,Percentage Eligible_135,difference_percentage_aian_135,difference_percentage_asian_135,difference_percentage_black_135,difference_percentage_nhpi_135,difference_percentage_white_135,difference_percentage_hispanic_135,difference_percentage_veteran_135,difference_percentage_elderly_135,difference_percentage_disability_135,difference_percentage_eng_very_well_135,American Indian and Alaska Native Eligible_150,Asian Eligible_150,Black or African American Eligible_150,Native Hawaiian Eligible_150,White Eligible_150,Hispanic or Latino Eligible_150,Veteran Eligible_150,Elderly Eligible_150,DIS Eligible_150,English less than very well Eligible_150,Percentage Eligible_150,difference_percentage_aian_150,difference_percentage_asian_150,difference_percentage_black_150,difference_percentage_nhpi_150,difference_percentage_white_150,difference_percentage_hispanic_150,difference_percentage_veteran_150,difference_percentage_elderly_150,difference_percentage_disability_150,difference_percentage_eng_very_well_150,Current Total Subscribers,Current Participation Rate
41,745083,957500,43.76,56462,50017,35340,3056,578342,125794,82003,253159,263489,76709,38.45,-6.16,-9.27,-7.25,-16.84,-12.69,-8.12,-11.26,-17.37,-9.72,-8.04,56631,50356,35696,3056,591221,126519,84046,261734,267571,77535,39.22,-5.88,-8.65,-6.31,-16.84,-10.75,-7.59,-9.05,-14.57,-8.32,-7.05,57932,52153,35955,3160,604340,128236,85687,269175,272651,78275,40.07,-3.72,-5.39,-5.63,-14.01,-8.77,-6.33,-7.28,-12.14,-6.58,-6.16,189914,25.49
42,2115720,3113235,40.46,46736,87632,391484,2181,1307881,245577,175292,761397,749035,203150,33.74,-9.52,-11.49,-9.9,-7.58,-18.69,-7.41,-19.25,-21.79,-13.1,-8.29,47460,88999,398588,2181,1351550,247233,179365,793519,765438,205835,34.71,-8.12,-10.1,-8.27,-7.58,-15.97,-6.79,-17.38,-18.49,-11.2,-7.08,47764,90918,404903,2287,1405962,252690,186187,828012,783834,209891,35.94,-7.53,-8.17,-6.81,-3.09,-12.59,-4.73,-14.23,-14.94,-9.07,-5.25,662103,31.29
44,190041,250140,43.17,5998,6132,22489,247,131838,48257,13995,75465,68806,35261,38.47,-4.55,-16.42,-4.76,0.0,-12.2,-6.47,-16.75,-14.54,-8.58,-8.95,6034,6220,22627,247,135148,48377,15105,77979,70163,35505,39.3,-3.98,-15.22,-4.18,0.0,-9.99,-6.24,-10.15,-11.69,-6.78,-8.32,6158,6525,22798,247,138159,50039,15584,80224,71655,36962,40.15,-2.01,-11.07,-3.46,0.0,-7.99,-3.01,-7.3,-9.15,-4.8,-4.56,71095,37.41
45,890673,1159173,43.45,25707,17292,300206,634,423258,59105,90324,292157,280496,41019,34.98,-17.6,-19.84,-13.03,-19.75,-23.16,-13.47,-23.22,-24.98,-16.13,-14.42,26059,17678,306814,634,440935,59793,93958,307359,288993,41670,36.17,-16.47,-18.05,-11.11,-19.75,-19.95,-12.47,-20.13,-21.08,-13.59,-13.06,27654,18733,315103,634,464813,61270,98003,324115,298375,42985,37.75,-11.36,-13.16,-8.71,-19.75,-15.61,-10.3,-16.7,-16.78,-10.78,-10.31,366590,41.16
46,121432,235454,34.03,19343,1908,6372,377,74553,7413,12357,34779,38884,2570,25.16,-6.97,-40.13,-18.01,-16.04,-27.96,-24.34,-26.53,-28.35,-14.91,-19.71,19851,2293,6401,377,78502,7810,12752,37375,40511,2924,26.38,-4.53,-28.05,-17.64,-16.04,-24.15,-20.29,-24.19,-23.0,-11.35,-8.65,19972,2637,6498,430,82986,7863,13263,39605,41715,2924,27.67,-3.95,-17.26,-16.39,-4.23,-19.81,-19.75,-21.15,-18.41,-8.72,-8.65,20815,17.14
47,1200938,1569465,43.35,34322,24163,256154,510,710775,70141,103330,388289,408650,57587,34.53,-20.67,-17.15,-15.69,-46.43,-21.62,-19.06,-20.83,-24.42,-15.34,-16.54,36481,24757,264601,597,739507,72089,107175,409939,420432,59129,35.83,-15.68,-15.11,-12.91,-37.29,-18.45,-16.81,-17.88,-20.21,-12.9,-14.31,37521,25263,272260,597,776214,74124,111153,434996,435015,60791,37.43,-13.28,-13.38,-10.39,-37.29,-14.4,-14.46,-14.84,-15.33,-9.88,-11.9,394805,32.87
48,4536368,6259834,42.02,135952,194394,753856,4845,2511826,1845988,363881,1316372,1366272,1059092,34.0,-18.64,-18.1,-14.9,-27.44,-19.61,-16.92,-20.95,-21.76,-14.63,-16.09,140686,200326,772249,5457,2597648,1897752,375154,1375069,1401001,1087990,35.14,-15.8,-15.6,-12.82,-18.27,-16.86,-14.59,-18.5,-18.27,-12.46,-13.8,147391,209046,799311,5923,2723495,1976988,395646,1443151,1447807,1133216,36.78,-11.79,-11.93,-9.77,-11.29,-12.83,-11.03,-14.05,-14.22,-9.54,-10.22,1519458,33.5
49,361325,740176,32.8,15596,15657,10903,1174,238300,59833,28171,95862,106308,35489,24.6,-19.75,-25.41,-24.7,-25.65,-25.24,-22.62,-21.63,-22.18,-19.22,-21.35,16418,16293,11408,1174,248630,62511,28766,100646,109876,36794,25.72,-15.52,-22.38,-21.21,-25.65,-22.0,-19.16,-19.97,-18.29,-16.5,-18.46,17371,17058,11826,1339,261774,66780,29464,104713,114309,38835,27.04,-10.62,-18.74,-18.32,-15.2,-17.87,-13.64,-18.03,-14.99,-13.14,-13.94,60487,16.74
50,116455,153701,43.11,5035,3640,3798,38,98936,3937,7373,41595,40343,3949,37.61,-1.64,-17.59,-4.4,0.0,-12.83,-4.23,-19.63,-18.77,-10.13,-3.75,5035,3640,3798,38,101099,3937,7619,43221,41490,4017,38.46,-1.64,-17.59,-4.4,0.0,-10.93,-4.23,-16.95,-15.59,-7.57,-2.1,5035,3833,3973,38,102762,4111,7826,44452,41806,4055,39.08,-1.64,-13.22,0.0,0.0,-9.46,0.0,-14.69,-13.19,-6.87,-1.17,21864,18.77
51,1142640,2188816,34.3,33572,72355,329691,1962,593442,117748,149297,396392,373157,115418,28.51,-9.3,-15.16,-11.99,-19.62,-18.95,-13.83,-17.76,-20.32,-12.89,-13.5,33696,73778,333739,2298,610704,121073,154292,409507,380263,118300,29.23,-8.97,-13.5,-10.91,-5.86,-16.59,-11.4,-15.01,-17.68,-11.23,-11.34,34208,77414,343396,2298,635109,125882,160312,427870,390312,122377,30.35,-7.58,-9.23,-8.34,-5.86,-13.26,-7.88,-11.69,-13.99,-8.89,-8.28,392377,34.34
53,1139413,1882850,37.7,78213,125134,102616,6506,804978,208049,137891,383479,399057,173360,33.24,-8.31,-9.31,-4.8,-7.65,-12.63,-7.48,-13.36,-16.25,-9.09,-7.28,79364,127300,102844,6551,819027,210121,140554,393539,405310,175430,33.81,-6.96,-7.74,-4.59,-7.01,-11.11,-6.56,-11.69,-14.05,-7.66,-6.17,80794,130727,103831,6551,842215,212863,144695,405668,411118,177255,34.69,-5.28,-5.26,-3.67,-7.01,-8.59,-5.34,-9.09,-11.4,-6.34,-5.19,296973,26.06
54,360464,361725,49.91,12045,4968,25495,651,292615,9748,33764,128126,142900,3994,42.42,-13.31,-9.26,-6.23,0.0,-15.35,-4.45,-19.97,-20.97,-12.33,-3.99,12109,5204,25597,651,301147,9748,35799,133991,146888,3994,43.64,-12.85,-4.95,-5.86,0.0,-12.88,-4.45,-15.15,-17.35,-9.88,-3.99,12602,5286,26307,651,310464,9757,37120,140152,149484,4003,44.97,-9.3,-3.45,-3.24,0.0,-10.19,-4.36,-12.01,-13.55,-8.29,-3.77,111076,30.81
55,892049,1557930,36.41,31105,31372,117601,984,600432,95369,66115,287771,281956,57982,29.88,-12.12,-11.92,-8.3,0.0,-19.61,-8.15,-22.22,-24.02,-11.4,-9.39,32590,31901,118517,984,623389,97349,69625,302749,288316,58790,30.88,-7.93,-10.43,-7.58,0.0,-16.53,-6.24,-18.09,-20.06,-9.41,-8.13,32987,33525,119855,984,645782,98429,72813,317304,293759,60796,31.91,-6.81,-5.87,-6.54,0.0,-13.53,-5.2,-14.34,-16.22,-7.7,-4.99,382561,42.89
56,84623,158136,34.86,4895,1757,2823,355,59636,9280,7541,21334,26284,1527,26.59,-20.25,-25.14,-17.84,0.0,-24.71,-28.58,-29.13,-31.88,-22.29,-33.67,5075,1865,2823,355,61663,9622,8036,22642,26807,1717,27.51,-17.32,-20.54,-17.84,0.0,-22.15,-25.95,-24.47,-27.7,-20.74,-25.41,5274,2020,2840,355,66725,9837,9073,25237,29566,1788,29.61,-14.08,-13.93,-17.35,0.0,-15.76,-24.3,-14.73,-19.42,-12.58,-22.33,19267,22.77
72,934092,231895,80.11,19789,3541,133836,0,516007,819345,28552,448378,366087,739666,70.57,-12.2,-1.75,-11.15,0.0,-12.31,-11.87,-18.81,-11.79,-9.55,-11.16,19970,3541,136888,0,529180,839489,29418,459578,372650,756818,72.33,-11.39,-1.75,-9.12,0.0,-10.07,-9.7,-16.35,-9.58,-7.93,-9.1,20283,3541,139689,0,544436,862284,30738,473598,381046,775615,74.3,-10.01,-1.75,-7.27,0.0,-7.48,-7.25,-12.59,-6.82,-5.86,-6.84,607479,65.03
