zcta,Percentage Eligible,Current Num Eligible,Current Num Ineligible,Current Percentage Eligible,difference_percentage_aian,difference_percentage_asian,difference_percentage_black,difference_percentage_nhpi,difference_percentage_white,difference_percentage_hispanic,difference_percentage_veteran,difference_percentage_elderly,difference_percentage_disability
72348,55.06,469,272,63.29,-15.62,0.0,-7.8,,-16.85,-23.81,-19.57,-16.43,-8.3
72350,55.0,227,132,63.23,-18.75,0.0,-7.55,,-16.67,-20.0,-18.18,-16.0,-8.55
72351,54.98,184,107,63.23,-23.08,0.0,-7.06,,-16.82,-25.0,-16.67,-16.05,-7.45
72352,54.55,7,4,63.64,,,0.0,,-25.0,,0.0,0.0,-25.0
72353,55.17,18,10,64.29,0.0,,0.0,,-10.0,0.0,-50.0,-12.5,-11.11
72354,47.23,442,352,55.67,-26.09,0.0,-5.71,,-16.81,-21.74,-17.02,-23.5,-12.39
72355,55.02,498,289,63.28,-17.65,0.0,-7.36,,-16.9,-22.73,-18.37,-16.36,-8.59
72358,54.98,368,213,63.34,-16.0,0.0,-7.6,,-16.82,-23.53,-19.44,-16.05,-8.47
72359,55.03,94,54,63.51,-16.67,,-9.09,,-18.18,-25.0,-22.22,-14.63,-8.33
72360,55.02,1241,720,63.28,-17.65,0.0,-7.47,,-16.9,-23.21,-19.51,-16.09,-8.32
72364,55.01,3843,2229,63.29,-17.11,0.0,-7.57,,-16.87,-22.54,-19.26,-16.17,-8.27
72365,46.97,595,478,55.45,-25.81,0.0,-4.41,,-17.06,-20.0,-18.75,-23.58,-12.79
72366,54.98,406,236,63.24,-17.86,0.0,-7.98,,-16.88,-22.22,-20.0,-16.2,-8.17
72367,56.52,14,8,63.64,0.0,,-14.29,,-12.5,0.0,0.0,-16.67,0.0
72368,54.44,218,129,62.82,-13.33,0.0,-8.08,,-16.92,-20.0,-18.18,-16.67,-8.11
72369,50.0,4,2,66.67,,,0.0,,0.0,,,-50.0,0.0
72370,55.01,1808,1049,63.28,-16.94,0.0,-7.51,,-16.84,-23.17,-19.1,-16.19,-8.3
72372,54.98,368,213,63.34,-16.0,0.0,-7.6,,-16.82,-23.53,-19.44,-16.05,-8.47
72373,55.0,227,132,63.23,-18.75,0.0,-7.55,,-16.67,-20.0,-18.18,-16.0,-8.55
72374,54.85,170,98,63.43,-16.67,0.0,-7.59,,-17.17,-25.0,-23.53,-16.0,-8.05
72376,54.98,419,243,63.29,-17.24,0.0,-7.22,,-16.87,-21.05,-19.51,-16.22,-8.37
72377,50.0,6,5,54.55,,,0.0,,0.0,,-100.0,0.0,0.0
72379,46.15,7,6,53.85,,,0.0,,-25.0,,0.0,0.0,0.0
72383,50.0,4,2,66.67,,,0.0,,0.0,,,-50.0,0.0
72384,55.0,177,103,63.21,-16.67,0.0,-7.32,,-17.48,-25.0,-17.65,-16.67,-8.79
72386,48.76,348,259,57.33,-25.0,0.0,-6.0,,-16.86,-17.65,-18.92,-21.92,-11.24
72387,50.0,4,2,66.67,,,0.0,,0.0,,,-50.0,0.0
72389,54.95,58,33,63.74,-25.0,,-7.41,,-17.65,-33.33,-16.67,-16.0,-10.0
72390,55.01,1725,1001,63.28,-16.95,0.0,-7.62,,-16.85,-23.08,-19.41,-16.18,-8.25
72391,54.55,7,4,63.64,,,0.0,,-25.0,,0.0,0.0,-25.0
72392,53.06,90,56,61.64,-16.67,,-5.41,,-16.07,0.0,-11.11,-15.38,-8.89
72394,55.0,101,59,63.12,-14.29,,-8.51,,-16.95,-20.0,-20.0,-17.78,-7.69
72395,54.96,224,130,63.28,-13.33,0.0,-7.69,,-16.92,-20.0,-18.18,-16.16,-8.7
72396,55.0,3024,1754,63.29,-16.91,0.0,-7.55,,-16.88,-22.79,-19.46,-16.2,-8.31
72401,46.96,9101,7316,55.44,-27.31,0.0,-4.58,,-17.03,-20.39,-17.91,-23.92,-12.72
72404,46.97,6193,4977,55.44,-27.16,0.0,-4.65,,-17.03,-20.38,-17.92,-23.85,-12.7
72405,46.97,3610,2901,55.44,-26.98,0.0,-4.71,,-17.03,-20.22,-17.83,-23.86,-12.7
72410,45.96,88,73,54.66,-25.0,0.0,0.0,,-16.88,-20.0,-20.0,-25.0,-13.64
72411,46.94,507,407,55.47,-29.63,0.0,-4.31,,-17.0,-23.08,-16.67,-23.81,-12.69
72412,45.95,121,100,54.75,-33.33,0.0,0.0,,-16.82,-14.29,-21.43,-26.0,-13.33
72413,45.95,121,100,54.75,-33.33,0.0,0.0,,-16.82,-14.29,-21.43,-26.0,-13.33
72414,46.98,82,66,55.41,-25.0,0.0,-5.26,,-16.92,-25.0,-22.22,-23.53,-11.9
72415,45.96,264,218,54.77,-30.77,0.0,0.0,,-16.81,-20.0,-17.24,-25.93,-13.74
