zcta,Num Eligible,Num Ineligible,Percentage Eligible
0000 ,1450,1540,0.48
00601,5144,756,0.87
00602,11319,1800,0.86
00603,15014,2387,0.86
00606,1494,220,0.87
00610,8215,1222,0.87
00611,501,74,0.87
00612,18257,3017,0.86
00616,2872,476,0.86
00617,6590,1092,0.86
00622,2330,385,0.86
00623,11685,1929,0.86
00624,6359,912,0.87
00627,9915,1378,0.88
00631,420,62,0.87
00636,164,27,0.86
00637,6762,948,0.88
00638,5402,796,0.87
00641,7245,1065,0.87
00646,9704,3627,0.73
00647,1349,189,0.88
00650,4000,653,0.86
00652,1176,195,0.86
00653,2703,377,0.88
00656,5253,733,0.88
00659,11287,1569,0.88
00660,4938,733,0.87
00662,12298,1710,0.88
00664,4492,661,0.87
00667,6991,1154,0.86
00669,8300,1221,0.87
00670,2635,387,0.87
00674,11495,1910,0.86
00676,11065,1759,0.86
00677,4639,738,0.86
00678,7661,1066,0.88
00680,14706,2188,0.87
00682,9046,1343,0.87
00683,8853,1462,0.86
00685,12028,1769,0.87
00687,8055,1632,0.83
00688,3637,603,0.86
00690,1605,255,0.86
00692,9219,1868,0.83
00693,15737,3185,0.83
00694,63,13,0.83
00698,9876,1379,0.88
00703,6930,1465,0.83
00704,2276,306,0.88
00705,6694,1413,0.83
00707,3495,470,0.88
00714,5239,704,0.88
00715,673,119,0.85
00716,8559,1714,0.83
00717,4278,856,0.83
00718,7141,1205,0.86
00719,7753,1601,0.83
00720,6060,891,0.87
00723,5298,712,0.88
00725,22973,5842,0.8
00727,16312,3960,0.8
00728,11044,2211,0.83
00729,12923,3613,0.78
00730,9193,1840,0.83
00731,3698,735,0.83
00735,3464,585,0.86
00736,12542,2651,0.83
00738,9416,1589,0.86
00739,9565,2022,0.83
00740,456,77,0.86
00741,1082,183,0.86
00745,13012,3638,0.78
00751,6418,864,0.88
00754,9644,2794,0.78
00757,5692,778,0.88
00765,2527,427,0.86
00766,6307,862,0.88
00767,9397,1586,0.86
00769,9634,1316,0.88
00771,9175,2631,0.78
00772,4893,1368,0.78
00773,4847,1355,0.78
00775,548,93,0.85
00777,9921,2875,0.78
00778,10795,3281,0.77
00780,4463,859,0.84
00782,4914,1039,0.83
00783,8791,1816,0.83
00784,12035,1618,0.88
00786,73,15,0.83
