puma22,Num Eligible,Num Ineligible,Percentage Eligible,American Indian and Alaska Native Eligible,Asian Eligible,Black or African American Eligible,Native Hawaiian Eligible,White Eligible,Hispanic or Latino Eligible,Veteran Eligible,Elderly Eligible,DIS Eligible
0500202,18607,21719,0.46,1254,782,1821,151,16706,3816,2558,5646,5337
0500300,36241,29470,0.55,1603,387,727,0,35602,2526,5012,17108,15841
0500400,27545,18341,0.6,1206,75,610,136,26895,1627,3391,12913,12828
0500500,23823,19661,0.55,1180,371,3079,20,20926,1339,2650,9708,11817
0500600,36081,20931,0.63,2468,161,16755,0,20985,1627,3562,15906,18517
0500700,28316,22755,0.55,1481,407,6491,0,22336,1434,3037,11732,14513
0500800,23702,20019,0.54,1952,147,3906,0,20418,1883,3028,10657,10251
0500900,35440,41135,0.46,1571,1297,5473,0,30732,2057,3956,12811,14989
0501000,30488,20522,0.6,1860,885,1746,66,27821,4134,4495,12398,14313
0501100,44904,36158,0.55,4462,2692,3317,0,37557,7517,7228,17911,20558
0501200,30893,22191,0.58,1880,171,5261,0,24134,3132,3765,15262,13513
0501300,37319,32718,0.53,1225,851,7563,0,31057,1420,4848,17196,17299
0501400,25066,35509,0.41,796,404,5341,78,20323,1367,2241,10224,10048
0501501,41064,45147,0.48,1086,1499,18532,0,22711,3047,7157,15283,15592
0501502,37302,48201,0.44,742,419,21898,0,15523,3891,4416,17160,11826
0501600,34609,28190,0.55,581,112,16908,0,18317,919,2931,17429,16255
0501700,27821,21254,0.57,496,136,12837,0,15208,807,3149,12610,12653
0502800,65,53,0.55,3,1,1,0,64,5,9,31,29
0600101,16596,35400,0.32,271,5742,3352,95,9902,2711,787,5880,4407
0600111,20161,25242,0.44,922,8117,6366,128,6824,3891,772,8222,7188
0600112,11890,34174,0.26,625,2987,3144,225,7232,2025,667,4926,3368
0600113,22262,18271,0.55,1079,3006,8167,38,5245,9274,1154,7444,6872
0600114,27705,44109,0.39,1604,9597,4997,210,11810,8146,1692,13229,9972
0600115,13704,21714,0.39,659,4439,2323,165,5126,5196,1381,6802,5456
0600116,14212,16975,0.46,566,4422,2071,74,5034,6041,865,6503,4412
0600117,10633,22407,0.32,366,5892,897,53,3581,3294,995,6123,3249
0600118,11355,29338,0.28,302,6520,897,83,3832,2589,748,6369,3558
0600119,9832,33974,0.22,322,3545,683,0,5498,2625,545,4002,3460
0600120,9246,31955,0.22,303,3332,642,0,5172,2470,513,3763,3254
0600121,9955,27981,0.26,229,5838,753,82,3364,1885,535,5529,3159
0600122,13797,17191,0.45,565,4315,2056,85,4923,5780,913,6384,4448
0600123,19358,19783,0.49,900,5974,6571,80,5563,5353,821,7341,6613
0600300,35614,45826,0.44,3111,1547,349,0,32249,5916,5667,17822,15011
0600700,40192,41161,0.49,3710,3686,2357,40,35518,11425,3948,15457,14664
0601100,25655,19211,0.57,2302,319,257,88,21593,9550,2609,12031,10040
0601301,23868,20653,0.54,1757,3245,8269,102,7899,10444,1595,9960,9141
0601305,8369,42933,0.16,108,3550,263,61,5369,1244,495,4850,2130
0601308,19677,18780,0.51,1377,3887,5600,279,8389,7020,2839,8636,7763
0601309,13941,27711,0.33,423,2842,1450,3,9659,5369,1266,6304,5500
0601310,18035,31749,0.36,1021,6020,4376,26,8717,4659,1137,9514,7570
0601311,18050,29221,0.38,1647,3025,1590,205,12870,7262,886,7213,7343
0601312,7107,31333,0.18,163,1818,203,0,5202,1330,903,3874,2502
0601313,20397,46032,0.31,981,5145,1839,119,13199,6822,2152,10555,7943
0601314,17518,16254,0.52,1078,4160,2835,88,7764,9337,856,7766,7914
0601500,25382,24416,0.51,4315,1121,936,53,23289,5467,4157,13239,11674
0601700,24554,50355,0.33,2138,1963,501,162,23023,4153,2953,11738,8631
0601901,29582,11180,0.73,898,944,788,0,16674,24967,687,9601,8932
0601902,31264,43523,0.42,1151,4582,3759,1,22585,12260,2968,13414,13105
0601903,24948,10876,0.7,1588,4412,3086,44,13109,14775,1795,8590,9013
0601904,40259,16766,0.71,1864,3770,7018,226,27680,25027,2573,15282,16321
0601905,23180,10864,0.68,1063,4716,1835,0,13536,16839,1309,8630,8761
0601906,15241,26248,0.37,1219,2433,736,0,12085,7404,1528,5858,5122
0601907,21268,17442,0.55,1186,905,982,24,13204,16680,1671,8872,8403
0602300,31636,23547,0.57,3638,1639,2411,52,27306,5374,1776,10831,12349
0602500,31686,16164,0.66,675,991,1079,81,12409,28148,1883,15801,14643
0602903,37165,13767,0.73,1171,1360,4494,99,22304,25792,2068,13898,12055
0602904,25292,6250,0.8,611,822,2649,151,16918,20290,1492,8889,7316
0602905,38091,30306,0.56,4368,1183,3603,299,30402,14247,6647,16560,15199
0602906,26859,17181,0.61,742,2722,707,0,20532,18707,1183,8926,6998
0602907,16416,16743,0.5,907,1521,1620,0,12743,9037,1480,6207,5678
0602908,24794,30168,0.45,1725,2186,3375,0,19398,11776,2827,9962,9671
0603100,24053,19090,0.56,830,1325,3211,194,14569,17478,3534,7400,7968
