puma22,Num Eligible,Num Ineligible,Percentage Eligible,American Indian and Alaska Native Eligible,Asian Eligible,Black or African American Eligible,Native Hawaiian Eligible,White Eligible,Hispanic or Latino Eligible,Veteran Eligible,Elderly Eligible,DIS Eligible
0607708,27480,28631,0.49,3374,2893,1261,30,19701,14134,2107,10973,10297
0607709,13676,21392,0.39,778,3612,1056,122,7666,6389,1172,6266,5030
0607901,26902,40708,0.4,652,3193,628,278,24224,7931,3683,12295,10583
0607902,15486,24475,0.39,495,794,1104,6,14057,5786,2262,8955,6679
0608101,18230,28243,0.39,649,10215,605,110,7536,4091,1268,9434,4852
0608102,14226,28931,0.33,263,6415,1225,105,5938,4778,945,7199,4082
0608103,12146,29264,0.29,1010,4222,429,2,5292,4899,621,5721,3712
0608104,10854,35087,0.24,87,4190,79,150,5533,2975,994,6660,4208
0608105,11298,39456,0.22,459,2557,199,3,6839,4567,261,5558,4259
0608106,9609,26407,0.27,1215,1369,383,110,5318,5139,541,4179,2406
0608301,22558,17442,0.56,2208,1958,705,0,16136,16293,1546,9291,8054
0608302,17947,18353,0.49,604,989,906,216,13200,11136,2094,7562,6000
0608303,28159,46099,0.38,1420,4437,1439,315,21883,12643,1377,11011,8683
0608505,12996,14944,0.47,433,6148,312,0,4789,5903,727,7622,5115
0608506,15328,25143,0.38,733,2683,446,0,10094,9401,1001,5804,5366
0608507,10641,41391,0.2,307,4435,439,1,6280,927,397,5813,3172
0608508,15050,35655,0.3,690,6041,1285,113,8114,3331,615,7262,4827
0608510,22033,33045,0.4,1342,7650,742,0,10171,8771,1789,10577,6820
0608511,10679,28522,0.27,447,3147,888,0,6939,4296,802,4100,3341
0608512,8320,29758,0.22,413,2442,498,49,5092,3147,559,4140,3011
0608515,6982,28983,0.19,288,2034,699,0,4499,2131,612,3238,2266
0608516,14645,47412,0.24,765,7110,768,0,6325,4319,876,6700,3793
0608517,12735,37049,0.26,610,5217,526,0,7201,4268,493,5192,4367
0608518,11781,20468,0.37,337,8491,663,0,2709,1903,766,7309,4340
0608519,20287,39192,0.34,1468,4870,2461,66,11209,9703,1181,8175,6561
0608520,14969,17775,0.46,653,7314,468,241,6362,5870,930,7003,4483
0608521,18237,15909,0.53,651,9948,1233,17,5088,6717,1222,10686,8456
0608522,7866,32631,0.19,324,2296,787,0,5064,2397,688,3649,2551
0608701,20620,28781,0.42,1215,984,667,4,13481,12705,1300,10587,6794
0608702,17426,30527,0.36,641,2836,1153,65,15615,6010,1230,8504,4957
0608900,33977,37528,0.48,3727,1707,1526,227,32381,4621,5109,16370,18180
0609501,25304,31059,0.45,927,6254,7860,375,10975,7582,2946,12383,9636
0609502,23780,26289,0.47,1549,5489,5405,92,11749,9249,3174,10070,10867
0609503,16811,34955,0.32,542,2252,1618,36,11693,6187,2845,8626,6884
0609702,16799,31610,0.35,1605,1459,846,147,13122,5070,672,6821,7073
0609704,15573,34732,0.31,906,1071,420,0,13055,5006,1516,8596,5555
0609705,15961,21798,0.42,1665,2337,899,350,11082,7181,1426,5687,5930
0609706,20389,33717,0.38,1813,2458,949,299,15135,8300,1876,8594,7475
0609901,17394,16542,0.51,897,1847,1123,36,13144,11418,493,8584,5940
0609902,22113,16992,0.57,1746,1976,2949,62,14885,13504,2088,9203,9361
0609903,27571,33896,0.45,1610,1614,1353,171,17616,13616,1629,11385,8729
0609904,20497,19154,0.52,1510,2012,1370,0,15350,8484,1785,7934,8076
0610100,34780,26861,0.56,2799,6327,2341,157,21671,13093,3590,15573,16848
0610701,28615,22486,0.56,3540,2390,933,109,19715,17970,1885,10655,10326
0610702,29506,17978,0.62,1359,1051,1374,0,21560,21727,2124,10591,9857
0610703,30269,14658,0.67,1533,1030,571,0,17576,25308,825,10304,9805
0611102,15375,39262,0.28,1144,1784,515,0,13457,5180,1968,9339,5832
0611103,27198,23813,0.53,2148,2942,1774,0,19411,20846,2038,12058,9290
0611104,16035,31781,0.34,1566,1707,863,82,13010,7309,1738,7974,6622
0611107,15152,20601,0.42,1127,1275,726,112,12234,9141,1131,7204,6146
0611108,16250,29392,0.36,687,1782,648,14,13352,7145,997,9083,6572
0611109,15271,29203,0.34,1293,2370,583,1,11480,7212,1797,7347,4814
0611301,16561,19379,0.46,665,3665,1686,36,11809,6655,1046,5698,5335
0611302,18848,22056,0.46,757,4171,1918,41,13441,7575,1191,6486,6071
0800100,16677,26372,0.39,735,146,18,101,15243,4964,2132,6970,5363
0800200,12798,31511,0.29,0,34,0,0,12295,3118,1730,4552,3140
0800301,14749,29207,0.34,1113,708,888,232,13767,3365,1513,4641,4518
0800302,21349,38682,0.36,1687,1086,1644,399,19679,5462,1877,5128,5709
0800303,13927,34207,0.29,910,552,176,101,13461,2088,2005,7314,5801
0800401,10562,34970,0.23,764,260,310,0,10248,813,1107,5710,3618
0800501,15917,34754,0.31,362,1051,438,43,14860,4115,1588,7205,5584
0800502,17493,33319,0.34,327,2137,626,0,16717,3224,738,3841,4148
0800601,14499,52324,0.22,996,1655,875,151,12617,3108,1715,6543,4511
0800701,15037,36507,0.29,1001,661,576,66,13953,3745,2227,7594,6128
0800702,19435,33921,0.36,2287,1720,609,0,17751,5217,1434,6308,5522
0800703,20274,41837,0.33,877,1424,1153,0,18671,5695,2254,9565,6780
0800801,10002,43134,0.19,396,483,71,0,9565,1261,1272,5094,3164
0800901,7694,40603,0.16,96,339,408,0,6831,1475,785,2598,2148
0800902,8877,37940,0.19,687,668,698,0,8461,1684,1247,3523,2033
0801001,16379,20567,0.44,1438,906,552,7,14228,7199,2330,4962,5889
0801002,20078,25037,0.45,1828,1172,632,0,17307,9104,2914,5821,7294
0801003,12341,27180,0.31,415,909,698,24,11200,3814,1395,5473,4539
0801101,25674,40811,0.39,2098,1265,1624,110,21305,12936,2722,9071,9496
0801201,16473,23717,0.41,1731,695,1223,0,13073,9489,1825,5747,6015
0801202,26636,36357,0.42,2370,1567,2035,310,21737,14158,2588,8383,9037
0801301,24469,24427,0.5,1442,1915,6850,107,14635,9220,2465,8059,8569
0801401,11119,25042,0.31,676,1039,1463,0,9346,4847,1634,4671,4562
0801501,14692,33149,0.31,548,440,1541,0,12613,3396,1447,5853,5489
0801601,19495,21904,0.47,928,1693,4996,91,12328,7343,2351,6861,7020
0801602,9167,39404,0.19,281,901,719,0,8187,915,914,4215,2767
0801603,10874,29434,0.27,649,1287,2425,0,8719,3470,1483,4765,3938
0801701,27452,48788,0.36,1451,1655,3376,0,19520,11994,2340,9887,9570
0801702,28136,43433,0.39,1800,1768,10371,1,13998,10882,3382,8185,9668
0801703,22885,24067,0.49,771,1047,860,73,19203,13922,1516,7742,8512
0801704,16901,45380,0.27,1326,1279,2025,255,14699,2220,767,6115,4102
0801705,32982,55058,0.37,1446,2423,7168,0,23825,7387,2703,11949,9428
0801800,18628,26964,0.41,1031,274,1297,105,17767,4915,2086,8537,5585
0801900,23078,20770,0.53,2683,729,999,616,19202,12058,2463,11885,11414
0802001,15171,23544,0.39,1425,692,1665,0,14293,5136,5102,4648,4332
0802002,12071,43134,0.22,545,1641,780,0,11285,1729,2763,5895,4674
0802003,15386,34137,0.31,834,1055,1059,0,14444,2669,2721,6449,4537
0802004,20494,28911,0.41,1177,2074,2905,0,17792,4745,3184,7609,7892
0802005,17694,33194,0.35,948,1616,3252,0,15460,5042,4866,4914,5307
0802006,23854,27345,0.47,3186,1120,5408,144,17380,9209,5856,6997,9937
0802101,20079,26167,0.43,642,321,211,22,19514,4416,4104,11967,8300
0802200,21641,28782,0.43,2858,675,208,243,19408,4306,2550,8384,5668
0802301,35240,28713,0.55,2109,1037,1694,0,31772,17442,4238,16212,15476
0802401,22222,20309,0.52,201,83,369,0,21744,4494,3141,11450,7548
0802501,24251,33172,0.42,479,202,538,0,23942,5038,3036,10162,9908
0920100,16809,29912,0.36,284,367,1092,8,15467,2743,1239,9106,6146
0920201,31168,14323,0.69,652,674,17927,0,12789,16214,1239,11539,9237
0920202,18467,43825,0.3,892,2715,3034,0,13645,2704,2045,9229,6501
0920203,16301,27945,0.37,408,883,1085,0,15230,2640,1810,6553,4956
0920204,28442,30472,0.48,544,2231,7732,0,18650,6181,2386,11261,11143
0920205,12834,33927,0.27,278,1325,875,0,10299,2589,758,7208,5022
0920206,28577,31934,0.47,928,620,4301,34,22727,10622,2475,12183,11525
0920207,21042,45027,0.32,775,2808,3901,0,15134,3307,1949,10940,7424
0920301,19859,21963,0.47,1141,576,1368,2,19027,4219,2135,8017,7228
0920401,19297,33040,0.37,889,983,3838,0,14356,4131,2508,9171,8249
0920402,29012,34013,0.46,1172,1435,2705,107,25946,4311,4834,12130,11185
0920500,21719,52339,0.29,581,1285,3285,0,18554,3170,2111,11333,6900
0920601,35050,21323,0.62,1261,1925,14173,91,15368,13078,1191,10629,10266
0920602,23676,32085,0.42,822,1886,5470,0,16493,6101,2766,11334,6534
0920603,27750,39313,0.41,702,1425,4797,0,20081,7956,2411,12885,11003
0920604,15980,40322,0.28,396,808,850,0,14114,2994,1557,8806,6125
0920701,28039,17080,0.62,91,1284,9482,0,17047,12522,2618,11833,9327
0920702,24280,46999,0.34,674,778,1502,48,22338,3799,2372,13074,8933
0920703,19484,40545,0.32,523,694,3124,0,15987,3739,1732,10712,6465
0920801,35489,22225,0.61,227,1244,16104,0,12757,16917,2443,15736,16406
0920802,18217,45590,0.29,146,1015,2163,0,15386,3452,1449,9868,6702
0920901,24569,50929,0.33,780,1091,6258,0,14304,9453,1318,10392,5903
0920902,10929,26087,0.3,142,858,1221,0,8243,2730,700,5332,3879
0920903,16269,28537,0.36,375,784,3031,0,11075,6270,558,6899,5813
0920904,25373,49932,0.34,412,1647,2608,0,19370,5930,2352,13075,9771
1000101,14035,37498,0.27,922,835,2877,0,10459,1063,740,7563,4768
1000102,22910,29371,0.44,1243,722,13657,0,8506,3891,1513,10112,9870
1000103,13633,25461,0.35,569,940,4718,0,8499,1750,1039,5477,4854
1000104,14491,24720,0.37,579,1055,4493,0,9272,2425,1144,4885,5174
1000105,12069,26451,0.31,411,900,4918,0,7482,399,976,6124,4045
1000200,31079,39218,0.44,1597,1363,11470,0,19854,4699,5370,13828,11870
1000301,21186,30992,0.41,651,266,4777,0,16773,2683,3321,11217,6843
1000302,21339,31215,0.41,655,267,4812,0,16894,2703,3346,11298,6893
1100101,8292,40184,0.17,114,843,1309,0,6109,934,415,3276,2257
1100102,17134,29383,0.37,764,872,11605,0,3702,4512,553,7435,6558
1100103,15751,35842,0.31,983,1299,11695,0,3642,1914,816,7112,6023
1100104,40394,21037,0.66,857,628,39270,0,2113,1297,2428,14534,17432
1100105,16585,39269,0.3,461,1722,9411,0,5529,3213,749,6908,5639
1100106,16665,39027,0.3,349,1861,10121,0,5503,1924,929,6649,5666
1200101,31814,30601,0.51,1300,2869,7653,0,22970,5167,1381,8127,7177
1200102,14644,31128,0.32,423,984,4928,0,10350,2139,1943,6128,4947
1200398,20054,28925,0.41,449,731,3169,0,18407,974,3557,9185,8010
1200500,33523,43245,0.44,1761,1759,5318,78,29473,3035,5674,14091,15215
1200798,37866,34612,0.52,3373,493,6998,53,32456,4221,6533,17580,18012
1200901,17321,26046,0.4,564,418,3656,79,13620,1862,4199,9044,7041
1200902,16934,39820,0.3,330,730,508,0,16035,1313,3608,10180,5580
1200903,21116,32415,0.39,433,2072,2794,0,18171,3070,4980,10435,8869
1200904,30106,27420,0.52,810,2156,8775,108,21080,6301,5774,14378,11355
1200905,17308,26101,0.4,554,469,3596,75,13664,1830,4205,9032,7047
1201101,13958,23068,0.38,269,728,4429,0,9439,5078,881,7395,4835
1201102,18477,22898,0.45,358,938,5248,0,12392,6047,1645,10804,5510
1201103,22166,23516,0.49,360,1240,4865,0,16998,5817,1453,11977,7197
1201104,22288,27384,0.45,658,312,7602,0,14639,4536,2353,11503,6116
1201105,19810,21607,0.48,919,989,8273,0,10749,6633,1034,8186,5847
1201106,30861,39039,0.44,1156,1821,11070,0,18271,11458,2581,15035,8416
1201107,22825,13894,0.62,311,807,19043,37,3851,2999,1159,10629,7130
1201108,23367,33101,0.41,229,735,11738,2,12193,5075,1362,10594,6974
1201109,22420,24532,0.48,336,322,5606,0,16506,8572,1260,10025,5919
1201110,14315,27540,0.34,179,896,1475,0,11149,7486,1144,6236,3759
1201111,13810,26870,0.34,312,1104,2563,0,10381,7820,646,8474,4572
1201112,15936,22902,0.41,193,837,4891,0,10553,7533,497,9900,4712
1201113,22703,23391,0.49,192,1354,5533,0,16433,11283,977,12084,6117
1201114,21675,16587,0.57,303,538,10807,0,10368,7410,727,10336,5556
1201115,11199,23072,0.33,266,588,4282,0,7229,4614,407,5122,4358
1201116,23237,27225,0.46,880,831,9491,0,13269,6510,1592,10329,6711
1201117,9528,22588,0.3,384,1000,879,0,7475,5996,778,4461,3360
1201398,35124,33674,0.51,1036,79,13146,0,22058,2665,3249,16736,14942
1201500,35670,53318,0.4,874,1237,3071,0,31691,4125,6103,23765,15071
1201700,30467,37801,0.45,1438,599,1377,0,28267,2262,7176,21483,11125
1201901,14542,24496,0.37,987,636,2148,112,11797,2216,4270,6848,5084
1201902,15436,26006,0.37,1048,675,2282,118,12523,2351,4534,7269,5397
1202101,15715,46692,0.25,75,548,488,0,13999,3623,1117,9474,4078
1202102,20010,31782,0.39,42,337,2181,0,15904,8141,1764,11046,4727
1202103,19001,30732,0.38,1018,475,2635,0,15839,9895,1013,7650,5527
1202799,33824,27528,0.55,1054,296,5915,0,25663,11981,4061,16094,15719
1203101,25946,31444,0.45,595,933,13134,108,12443,3047,5958,10219,11122
1203102,32983,13070,0.72,730,338,26806,0,6206,1762,4543,16884,13612
1203103,38309,34572,0.53,809,1296,17682,98,20769,4395,7660,12385,17492
1203104,20661,26811,0.44,1155,984,8468,138,12237,2848,3703,7523,7710
1203105,19545,36483,0.35,406,1742,4266,44,14391,2224,3521,6331,3866
1203106,21086,49397,0.3,523,2498,4094,127,15016,3497,2343,5239,4915
1203107,20375,35609,0.36,775,1466,3542,34,16459,3257,3581,8382,4882
1203301,17095,24728,0.41,487,805,4543,49,12825,1098,4020,7884,6206
1203302,22111,23059,0.49,1623,1436,9265,3,13992,1829,4675,9841,9511
1203303,19253,20733,0.48,1339,1222,7819,7,12375,1563,4109,8596,8172
1203500,17205,29895,0.37,145,864,3004,0,13419,2266,2736,10282,6324
1204798,21278,15975,0.57,367,95,5005,0,16451,1796,2781,11576,9977
1205199,23158,13976,0.62,505,1078,1330,74,19913,9571,3433,10337,9123
1205300,37445,44052,0.46,830,684,3514,0,33372,7699,5351,20751,16722
1205701,36809,22556,0.62,1271,134,18888,0,17945,13915,3976,16758,14470
1205702,15067,29861,0.34,347,856,2272,0,11275,6889,1132,6917,4674
1205703,28237,41430,0.41,343,1639,4725,146,20110,16188,2713,12117,7856
1205704,20728,31307,0.4,422,1299,2118,0,15450,10963,1593,10947,6515
1205705,29154,37956,0.43,1067,3197,10656,0,16924,9378,2138,6892,7450
1205706,20918,26780,0.44,691,746,2691,0,16393,7553,2698,8359,6799
1205707,22796,36800,0.38,674,1058,6138,35,14520,9553,3684,10072,7585
1205708,13240,26913,0.33,376,630,2885,0,9778,3767,3242,6150,5001
1205709,12916,25052,0.34,370,612,2962,4,9247,4061,2923,5935,4749
1205710,16379,38443,0.3,412,856,3087,0,12297,6581,1209,6646,5028
1205711,15416,28806,0.35,445,727,3670,9,10770,5199,3272,7024,5551
1205998,23008,29680,0.44,1208,1207,3650,54,20229,2083,3895,9671,10443
1206100,25653,44321,0.37,529,214,3351,0,22011,5248,2986,14063,11092
1206901,18450,24005,0.43,399,983,1870,76,16135,1807,3007,11468,7762
1206902,20813,40139,0.34,539,636,3585,12,17094,2864,3639,13366,8352
1206903,20005,38044,0.34,931,755,3415,0,16204,6495,2342,10193,8669
1207101,20084,39424,0.34,437,516,1224,322,18461,2724,2427,11975,6144
1207102,17127,26680,0.39,246,458,1541,10,15504,5728,2454,9409,5466
1207103,35744,32373,0.52,1176,1057,6571,2,29343,12960,3676,17952,11742
1207104,24371,25585,0.49,573,831,6605,150,17979,6999,2182,10823,9418
1207105,16753,37887,0.31,378,279,772,0,15600,4217,1432,10301,5594
1207106,16859,27551,0.38,235,438,1177,18,15561,5500,2481,9493,5250
1207301,17845,42066,0.3,457,1180,6486,0,11663,1241,2482,7131,7847
1207302,35095,26418,0.57,1567,1501,20603,0,17248,4430,2229,7499,8632
1208101,18428,39276,0.32,342,245,2797,0,15018,3189,2500,9868,6512
1208102,20491,30680,0.4,416,1701,2687,0,16297,4705,2321,11509,8815
1208103,14815,39830,0.27,781,466,1950,0,12714,2680,2235,8212,3841
1208301,20743,23574,0.47,193,402,1858,0,18905,4099,3805,13507,7832
1208302,21767,25541,0.46,307,709,5279,0,16569,4956,1868,9381,8363
1208303,29149,36576,0.44,831,823,4792,0,22784,6243,4387,15120,12146
1208500,25783,43382,0.37,436,685,2323,0,23007,5308,4471,15607,8792
1208601,20213,18595,0.52,147,453,1143,0,16256,18879,582,9915,7760
1208602,24199,11357,0.68,119,97,13997,0,9783,11255,1335,14811,9380
1208603,19809,16979,0.54,15,644,9216,0,9925,8428,675,10642,5860
1208604,18284,20592,0.47,405,389,3539,0,14028,9291,564,8263,4887
1208605,22401,14613,0.61,118,208,12077,0,9840,9478,889,11031,5472
1208606,29634,10254,0.74,36,83,14155,0,12489,16424,2215,16369,10409
1208607,26439,11682,0.69,19,287,682,0,23385,25856,431,15126,11154
1208608,17374,16029,0.52,134,465,1493,0,14848,15530,407,8097,4419
1208609,29853,10510,0.74,164,221,1722,0,26783,28750,379,17698,9827
1208610,17110,16323,0.51,133,462,1321,0,14757,15441,391,7875,4239
1208611,27109,21339,0.56,281,199,11906,0,12876,15013,1362,14001,7925
1208612,19401,26578,0.42,249,596,1796,0,16183,12383,745,9187,5271
1208613,36116,17376,0.68,1009,826,2301,0,30971,32575,337,18382,11800
1208614,19475,32040,0.38,0,513,1243,0,16850,15348,561,8089,4482
1208615,27992,14098,0.67,319,255,951,0,25674,27539,145,17045,10760
1208616,11534,28339,0.29,52,754,169,0,10394,8611,250,7241,3053
1208617,17910,17936,0.5,236,242,1129,0,16410,15689,588,10804,6554
1208618,17031,16410,0.51,105,118,231,0,15770,16224,693,12141,6087
1208619,16665,18324,0.48,290,363,410,0,15412,14958,168,9335,3585
1208620,16343,22585,0.42,0,289,869,0,15278,14489,531,9525,4970
1208621,21234,24830,0.46,515,375,2114,292,17043,18169,425,11539,6729
1208622,25921,15940,0.62,588,875,5750,10,18396,19682,1169,11004,9625
1208623,18082,16720,0.52,206,598,2392,0,13788,15225,683,7308,5888
1208624,24825,10818,0.7,453,944,8455,39,15889,16948,1245,9159,9806
1208625,18561,25887,0.42,184,474,3595,0,15033,7155,2894,8264,5483
1209101,15557,28576,0.35,673,1137,3029,0,12229,2162,4794,7285,6883
1209102,14228,26136,0.35,615,1040,2771,0,11184,1977,4385,6662,6295
1209501,25077,25681,0.49,802,1344,10761,0,12147,7924,2554,10764,9425
1209502,21364,27650,0.44,781,1255,9121,0,9835,6893,1768,8698,6072
1209503,19512,41677,0.32,1264,1894,4162,0,13496,7605,3387,6303,2999
1209504,32720,27894,0.54,1537,2017,9767,60,18058,17945,2598,9692,9361
1209505,26440,31787,0.45,352,881,6010,0,18513,11076,2531,11220,6654
1209506,24872,15207,0.62,337,1150,14480,0,9425,5922,1946,9111,9266
1209507,22207,34218,0.39,422,1497,9837,0,11009,5284,2860,7883,6804
1209508,22136,18715,0.54,208,2183,4890,0,14375,10398,2321,6163,7612
1209509,21020,25774,0.45,491,1985,2707,0,13744,13753,3076,9674,7259
1209510,22934,25504,0.47,613,1867,3570,0,19064,13753,2789,8848,9295
1209701,18340,16658,0.52,45,752,3881,0,8838,12649,1218,7853,7196
1209702,14943,20098,0.43,335,275,2211,0,10156,9798,1651,6191,6538
1209703,30826,32184,0.49,267,1047,5914,0,16750,20934,2469,13066,12528
1209901,12775,34782,0.27,258,544,282,0,12063,1492,1595,7975,3938
1209902,19019,35811,0.35,322,771,7512,0,11117,3040,2473,10366,7134
1209903,35599,32565,0.52,346,1081,12425,0,19927,12425,2238,16030,10946
1209904,27709,20914,0.57,116,840,5922,0,17636,14802,1461,14047,9251
1209905,24091,23103,0.51,513,821,5997,0,15099,11424,1141,7883,7303
1209906,27146,42617,0.39,332,389,9602,0,16974,4799,1874,14584,10026
1209907,24884,38079,0.4,1,728,5217,0,19417,4173,2621,17465,8345
1209908,15742,38907,0.29,194,1228,1265,0,13372,3361,880,6758,3783
1209909,16144,28872,0.36,106,622,1484,0,12767,4036,756,10031,4773
1209910,10062,34799,0.22,218,484,1388,0,8627,2877,1266,6524,3920
1209911,23101,28933,0.44,698,682,9640,0,12837,6982,2427,10203,7540
1210101,23111,35701,0.39,975,455,2967,1,20065,5653,3377,12008,9695
1210102,21636,28291,0.43,490,475,785,63,20421,3186,3954,12510,10081
1210103,32960,28298,0.54,787,675,3777,93,29051,5903,4302,17829,14477
1210104,16680,43107,0.28,446,1392,1562,101,14197,4526,3457,7079,5696
1210301,16254,35732,0.31,276,389,741,0,14918,2512,2531,10657,6920
1210302,19629,32904,0.37,161,425,850,2,18638,2276,3334,13475,7372
1210303,19738,27595,0.42,791,981,3480,0,15741,3471,2126,10917,7605
1210304,20646,29386,0.41,275,1226,2447,0,17621,2327,2319,11421,7899
1210305,14606,34534,0.3,314,583,798,94,13316,1579,2715,9795,5521
1210306,24322,26428,0.48,202,2122,3731,0,20463,3594,3606,13385,9848
1210307,26540,45851,0.37,297,973,9173,0,17697,2645,2598,11973,8929
1210308,16567,30058,0.36,623,537,3466,0,14079,2121,2176,9677,6893
1210501,21312,19190,0.53,630,690,5110,0,14891,3538,2719,9759,8876
1210502,34093,34578,0.5,603,512,7202,0,22133,13003,3146,14978,10422
1210503,24201,34634,0.41,620,1117,2249,0,18057,8285,1933,11283,8683
1210504,33227,27629,0.55,555,844,9154,0,22074,11642,3948,18162,14137
1210505,24622,22987,0.52,642,673,5698,0,16848,5636,2888,11141,9459
1210799,22153,21566,0.51,467,900,4995,0,18543,2398,3738,11863,8741
1210902,9385,31192,0.23,43,211,1080,0,8340,981,1469,3870,2513
1210903,12631,41978,0.23,57,284,1453,0,11224,1321,1977,5208,3382
1211101,21480,22178,0.49,555,319,6360,39,15168,5099,2498,11922,6940
1211102,17263,23959,0.42,491,426,4267,11,13004,5194,2616,9557,6185
1211103,18036,28475,0.39,538,540,3984,0,14042,6041,3074,9971,6802
1211300,21453,50269,0.3,1340,1599,2634,15,19666,2474,6894,9204,8901
1211501,19664,41489,0.32,156,479,3152,0,16677,3381,1544,11811,6172
1211502,20129,50529,0.28,683,581,686,0,19683,1979,2731,12483,7689
1211503,24029,48179,0.33,554,1020,716,0,22703,1759,5047,17680,10201
1211701,13953,34425,0.29,220,757,4697,0,9803,4884,782,4699,3533
1211702,20326,26699,0.43,915,492,4534,0,15407,7100,2922,9004,7496
1211703,19911,27483,0.42,204,592,3545,412,16277,7453,2238,9720,4976
1211704,10949,34329,0.24,132,818,2638,0,7190,3462,1445,5536,4488
1211900,20914,43140,0.33,446,504,3912,0,17011,2019,4027,14244,8129
1212701,23605,29588,0.44,313,713,4119,0,17366,6223,3457,12401,10900
1212702,33674,35443,0.49,393,1800,9504,0,23355,3746,4555,18547,13625
1212703,31652,37697,0.46,1004,1039,2572,0,28800,3557,4745,19152,13312
1212704,22461,30311,0.43,219,325,2486,0,15250,8570,3765,11020,11052
1300100,31666,37542,0.46,1379,307,2622,0,30335,1207,4229,15643,12969
1300200,17800,17946,0.5,692,420,1116,41,14078,6894,1188,8056,5072
1300300,31483,40776,0.44,1759,953,862,0,30241,3488,4018,14388,11968
1300400,24598,32848,0.43,901,156,1135,0,24144,1444,2320,13153,11843
1300500,25616,25427,0.5,1264,430,3719,65,22140,1579,2692,13119,8373
1300601,16643,19830,0.46,700,341,2556,0,13337,5015,1571,6623,5969
1300602,16378,19507,0.46,689,336,2515,0,13127,4926,1547,6522,5873
1300701,7145,28418,0.2,308,996,1090,53,5886,1189,642,2776,2346
1300702,10230,40695,0.2,441,1427,1559,77,8430,1704,919,3975,3359
1300801,8999,30304,0.23,197,96,552,0,8338,988,1164,4476,3809
1300802,15307,45383,0.25,1469,237,1064,0,11687,4334,2473,5157,6401
1300900,14283,24285,0.37,358,380,2363,0,12030,1546,1340,6890,5338
1301000,29145,33397,0.47,1641,48,6056,0,22000,3236,2902,11699,12600
1301100,20586,37629,0.35,696,373,5362,0,14771,2059,3938,7183,8558
1301200,20205,31248,0.39,652,439,11293,105,9496,1968,3033,6332,6549
1301301,16761,33681,0.33,471,647,5670,0,11470,2303,1629,7783,5277
1301302,10895,43309,0.2,857,1306,1553,0,9576,1236,1135,6229,4855
1301303,24365,40498,0.38,946,1547,8811,0,11509,6107,1460,6554,5012
1301304,15048,33446,0.31,812,722,8528,0,6119,2120,3366,6703,4194
1301305,26465,48349,0.35,1054,1666,15034,52,10304,4665,4492,8294,6194
1301401,13331,42100,0.24,781,951,3526,0,10261,1989,1470,5559,4670
1301402,9529,41952,0.19,510,1436,2153,0,6119,1654,1296,3746,3401
1301403,11268,40888,0.22,418,1242,3274,0,7037,1361,776,3824,2813
1301404,19438,64523,0.23,277,2370,6806,0,12289,1609,1789,5960,4723
1301405,23889,46122,0.34,917,1286,16707,0,7365,1421,1500,8856,8057
1301406,37595,26772,0.58,1093,891,33166,0,4589,2119,3143,17726,17240
1301407,21737,23294,0.48,275,383,19527,0,2046,851,2497,8762,7987
1301408,19432,22578,0.46,289,394,17596,0,1497,586,2286,6645,6380
1301501,14770,44301,0.25,1976,1828,5048,0,6779,5197,642,4691,3342
1301502,18631,27222,0.41,802,1733,10736,0,5942,2018,1617,5478,5472
1301503,16822,27165,0.38,666,1326,11518,16,4793,1487,1783,6986,5896
1301504,13995,30260,0.32,626,1263,7945,18,6387,986,1127,5774,4674
1301505,14785,24433,0.38,474,466,12846,7,2425,629,1961,6547,5016
1301506,17787,26116,0.41,548,657,16280,16,1726,1151,2423,8757,6868
1301601,23716,35885,0.4,649,6044,9040,52,9255,5314,2239,5878,3034
1301602,13236,31332,0.3,250,6174,1382,0,5952,2105,533,4979,3299
1301603,15461,28819,0.35,741,2103,5378,9,7175,5171,2461,5215,6159
1301604,17353,24320,0.42,511,2154,6762,27,7317,6042,2053,6021,5307
1301605,19067,25336,0.43,915,2759,6556,21,7405,7697,1302,5313,4647
1301606,20405,22485,0.48,955,2981,7142,27,7254,8649,648,5248,3689
1301607,20665,25893,0.44,390,739,11145,0,9318,2692,2528,8519,6033
1301700,24038,31272,0.43,593,665,4703,0,19375,3485,2664,9907,10439
1301800,26161,29171,0.47,657,1955,10390,0,15851,2438,1372,7484,8338
1301900,17943,31035,0.37,867,381,4026,0,14103,1582,2466,10444,7235
1302000,22278,26179,0.46,1347,273,7035,0,16170,1751,2768,10427,9273
1302100,32420,42237,0.43,1165,712,19189,0,14552,3465,7633,14176,13856
1302201,14996,27707,0.35,174,705,7394,0,7640,1515,2463,6353,5245
1302202,15249,27033,0.36,1147,896,9233,0,6598,1237,1557,5815,5208
1302301,33391,23057,0.59,1767,2655,25003,0,5506,4257,3233,10253,9977
1302302,26748,23046,0.54,1038,1146,19488,0,6197,5246,4353,9610,10648
1302400,12588,31379,0.29,833,1005,4242,0,8069,1277,2675,6980,4891
1302500,16433,38976,0.3,1178,281,4656,0,12060,1954,1862,8417,7127
1302600,19062,24797,0.43,1165,86,5191,0,14278,3280,1365,6662,8948
1302700,19393,19575,0.5,389,355,7962,0,11714,629,2462,8593,9661
1302800,28398,30468,0.48,573,215,12426,0,17770,1432,4461,13230,11142
1302900,31533,34652,0.48,918,274,12121,0,20242,1578,3793,16328,11792
