county,Num Eligible,Num Ineligible,Percentage Eligible,rural
01001,11376,10907,51.05,0
01003,31637,62468,33.62,0
01005,5091,4393,53.68,1
01007,4809,3698,56.53,1
01009,10532,11053,48.79,0
01011,2068,1840,52.92,1
01013,3846,3318,53.69,1
01015,25857,18774,57.94,0
01017,6942,6177,52.92,1
01019,4982,4383,53.2,1
01021,6242,11025,36.15,1
01023,2866,1856,60.69,1
01025,5226,3384,60.7,1
01027,3200,2583,55.33,1
01029,3386,2733,55.34,1
01031,10286,10411,49.7,0
01033,10735,11947,47.33,1
01035,2625,1700,60.69,1
01037,2075,1846,52.92,1
01039,7583,6542,53.68,1
01041,2662,2297,53.68,1
01043,15928,17932,47.04,1
01045,9491,9607,49.7,0
01047,7439,7133,51.05,1
01049,14294,12356,53.64,1
01051,13819,18986,42.12,0
01053,8318,5387,60.69,1
01055,20634,18153,53.2,0
01057,3519,2706,56.53,1
01059,6025,6704,47.33,1
01061,5418,5364,50.25,0
01063,1667,1282,56.53,1
01065,3188,2452,56.52,1
01067,3484,3449,50.25,0
01069,21793,21573,50.25,0
01071,10497,9073,53.64,1
01073,119914,150886,44.28,0
01075,3014,2318,56.53,1
01077,17549,19529,47.33,0
01079,5206,7640,40.53,0
01081,33157,34029,49.35,0
01083,12693,27623,31.48,0
01085,1994,1912,51.05,1
01087,3901,3471,52.92,1
01089,55152,108504,33.7,0
01091,4168,3205,56.53,1
01093,5319,5989,47.04,1
01095,16803,20398,45.17,0
01097,86502,76460,53.08,0
01099,4473,2897,60.69,1
01101,48147,44270,52.1,0
01103,19433,28517,40.53,0
01105,1646,1578,51.05,1
01107,4125,3172,56.53,1
01109,6663,5748,53.69,1
01111,4939,3987,55.33,1
01113,12235,10424,54.0,0
01115,16225,17030,48.79,0
01117,27139,58926,31.53,0
01119,2664,2049,56.52,1
01121,18467,14907,55.33,0
01123,8248,7339,52.92,1
01125,40510,46293,46.67,0
01127,11845,12513,48.63,1
01129,3483,2256,60.69,1
01131,2398,1553,60.69,1
01133,4268,4805,47.04,1
02013,518,480,51.9,1
02016,791,733,51.9,1
02020,37896,71642,34.6,0
02050,2823,2618,51.88,1
02060,128,119,51.82,1
02063,1000,1721,36.75,
02066,368,633,36.76,
02068,228,392,36.77,1
02070,734,681,51.87,1
02090,13470,23178,36.76,0
02100,292,503,36.73,1
02105,357,331,51.89,1
02110,4542,7816,36.75,0
02122,10184,13309,43.35,1
02130,1964,3380,36.75,1
02150,1981,1837,51.89,1
02158,1266,1174,51.89,1
02164,224,207,51.97,1
02170,18545,24233,43.35,1
02180,1519,1408,51.9,1
02185,1669,1547,51.9,1
02188,1179,1093,51.89,1
02195,514,477,51.87,1
02198,869,806,51.88,1
02220,1279,1186,51.89,1
02230,175,301,36.76,1
02240,959,1650,36.76,1
02275,321,298,51.86,1
02282,101,93,52.06,1
02290,808,749,51.89,1
04001,14797,8121,64.56,1
04003,24826,23794,51.06,0
04005,29053,26369,52.42,0
04007,12252,9420,56.53,1
04009,8862,6813,56.54,1
04011,2199,1690,56.54,1
04012,3504,2900,54.72,1
04013,644767,1063242,37.75,0
04015,55367,48286,53.42,0
04017,23919,13126,64.57,1
04019,190307,242036,44.02,0
04021,65631,89519,42.3,0
