puma22,Num Eligible,Num Ineligible,Percentage Eligible
0100100,34309,38180,0.47
0100200,12693,27623,0.31
0100300,24639,36157,0.41
0100401,15109,29072,0.34
0100402,22288,45031,0.33
0100403,15418,31564,0.33
0100501,19140,23235,0.45
0100600,24791,21429,0.54
0100700,25616,22536,0.53
0100800,25857,18774,0.58
0100900,26757,28083,0.49
0101000,25513,28723,0.47
0101100,27156,20882,0.57
0101201,12925,24790,0.34
0101202,27585,21503,0.56
0101301,20995,22179,0.49
0101401,19188,25998,0.42
0101402,22388,27886,0.45
0101403,46905,32897,0.59
0101404,22283,54439,0.29
0101501,15272,37966,0.29
0101502,18109,31985,0.36
0101600,29988,24208,0.55
0101700,22455,21530,0.51
0101801,23543,20928,0.53
0101802,22393,20305,0.52
0101901,16030,22023,0.42
0102000,23234,20674,0.53
0102101,23579,25869,0.48
0102201,21813,18584,0.54
0102300,30699,30389,0.5
0102400,19777,20018,0.5
0102500,25844,22298,0.54
0102600,29392,19035,0.61
0102701,16192,31971,0.34
0102702,15445,30497,0.34
0102801,25976,25104,0.51
0102802,25744,25877,0.5
0102803,34782,25479,0.58
0200101,19684,29871,0.4
0200102,18212,41771,0.3
0200200,28729,37542,0.43
0200300,22998,39574,0.37
0200400,17081,15837,0.52
0400101,24085,48794,0.33
0400102,21010,34776,0.38
0400103,23957,23661,0.5
0400104,19571,25904,0.43
0400105,14755,43736,0.25
0400106,17266,30572,0.36
0400107,11130,39134,0.22
0400108,15275,30101,0.34
0400109,19257,27598,0.41
0400110,15007,50363,0.23
0400111,11175,40051,0.22
0400112,10687,47451,0.18
0400113,11740,31199,0.27
0400114,19757,27835,0.42
0400115,22518,21544,0.51
0400116,21727,28948,0.43
0400117,17438,32867,0.35
0400118,25023,23408,0.52
0400119,22610,12800,0.64
0400120,11325,31477,0.26
0400121,27500,20672,0.57
0400122,20515,8118,0.72
0400123,23816,9794,0.71
0400124,24078,16008,0.6
0400125,23467,17994,0.57
0400126,18549,29981,0.38
0400127,18435,30166,0.38
0400128,15411,28014,0.35
0400129,13134,38825,0.25
0400130,24911,37380,0.4
0400131,14428,30862,0.32
0400132,15524,34590,0.31
0400133,19760,20429,0.49
0400134,19733,41553,0.32
0400135,10193,46637,0.18
0400400,23315,17925,0.57
0400500,29053,26369,0.52
0400601,28868,25176,0.53
0400602,26499,23110,0.53
0400701,22594,18695,0.55
0400803,20846,36822,0.36
0400805,17807,23189,0.43
0400807,25636,26284,0.49
0400900,34262,32838,0.51
0401000,38716,21247,0.65
0401101,22970,18765,0.55
0401901,21289,21720,0.49
0401902,22463,34056,0.4
0401903,14459,34744,0.29
0401904,11423,40243,0.22
0401905,13483,26522,0.34
0401906,26942,26761,0.5
0401907,30781,21756,0.59
0401908,27496,14088,0.66
0401909,23313,25370,0.48
0402502,27297,36833,0.43
0402503,20289,27371,0.43
0500101,22230,42179,0.35
0500102,14683,27980,0.34
0500201,24618,28733,0.46
0500202,18607,21719,0.46
0500300,36241,29470,0.55
0500400,27545,18341,0.6
0500500,23823,19661,0.55
0500600,36081,20931,0.63
0500700,28316,22755,0.55
0500800,23702,20019,0.54
0500900,35440,41135,0.46
0501000,30488,20522,0.6
0501100,44904,36158,0.55
0501200,30893,22191,0.58
0501300,37319,32718,0.53
0501400,25066,35509,0.41
0501501,41064,45147,0.48
0501502,37302,48201,0.44
0501600,34609,28190,0.55
0501700,27821,21254,0.57
0502800,65,53,0.55
0600101,16596,35400,0.32
0600111,20161,25242,0.44
0600112,11890,34174,0.26
0600113,22262,18271,0.55
0600114,27705,44109,0.39
0600115,13704,21714,0.39
0600116,14212,16975,0.46
0600117,10633,22407,0.32
0600118,11355,29338,0.28
0600119,9832,33974,0.22
0600120,9246,31955,0.22
0600121,9955,27981,0.26
0600122,13797,17191,0.45
0600123,19358,19783,0.49
0600300,35614,45826,0.44
0600700,40192,41161,0.49
0601100,25655,19211,0.57
0601301,23868,20653,0.54
0601305,8369,42933,0.16
0601308,19677,18780,0.51
0601309,13941,27711,0.33
0601310,18035,31749,0.36
0601311,18050,29221,0.38
0601312,7107,31333,0.18
0601313,20397,46032,0.31
0601314,17518,16254,0.52
0601500,25382,24416,0.51
0601700,24554,50355,0.33
0601901,29582,11180,0.73
0601902,31264,43523,0.42
0601903,24948,10876,0.7
0601904,40259,16766,0.71
0601905,23180,10864,0.68
0601906,15241,26248,0.37
0601907,21268,17442,0.55
0602300,31636,23547,0.57
0602500,31686,16164,0.66
0602903,37165,13767,0.73
0602904,25292,6250,0.8
0602905,38091,30306,0.56
0602906,26859,17181,0.61
0602907,16416,16743,0.5
0602908,24794,30168,0.45
0603100,24053,19090,0.56
0603300,33736,28010,0.55
0603703,29314,24678,0.54
0603704,29480,21436,0.58
0603705,25952,36641,0.41
0603706,23472,20760,0.53
0603707,24470,11786,0.67
0603708,25358,16294,0.61
0603709,11425,28996,0.28
0603710,28107,23571,0.54
0603711,19536,34652,0.36
0603712,24851,15150,0.62
0603713,14681,18631,0.44
0603714,15018,19689,0.43
0603715,18740,15149,0.55
0603716,14686,9033,0.62
0603717,30268,31908,0.49
0603718,20715,36260,0.36
0603719,34632,36177,0.49
0603720,20595,29214,0.41
0603721,31247,23983,0.57
0603722,36884,26465,0.58
0603723,26960,13886,0.66
0603724,28579,35821,0.44
0603725,30898,34953,0.47
0603728,16973,33919,0.33
0603730,33313,39902,0.46
0603731,19465,39249,0.33
0603732,41775,35271,0.54
0603733,29499,15537,0.66
0603734,46386,32156,0.59
0603735,31740,31128,0.5
0603736,18544,23275,0.44
0603737,23098,14760,0.61
0603738,24609,8729,0.74
0603739,20412,32544,0.39
0603740,20795,14929,0.58
0603741,26854,7904,0.77
0603742,25687,7085,0.78
0603743,21983,8540,0.72
0603744,46170,26630,0.63
0603745,25473,4068,0.86
0603746,23861,7197,0.77
0603747,36189,27964,0.56
0603748,22176,59591,0.27
0603750,42685,11481,0.79
0603751,33685,5577,0.86
0603752,31085,12003,0.72
0603753,18800,16903,0.53
0603754,17190,22361,0.43
0603757,29448,15275,0.66
0603758,31103,21717,0.59
0603759,22516,14308,0.61
0603760,10850,44796,0.19
0603761,14088,35294,0.29
0603762,15315,17644,0.46
0603763,23790,20827,0.53
0603764,21140,30062,0.41
0603766,22991,13065,0.64
0603767,32958,29688,0.53
0603768,11407,29778,0.28
0603770,15241,25803,0.37
0603771,14240,20940,0.4
0603772,10628,20410,0.34
0603773,16013,24575,0.39
0603774,17001,38439,0.31
0603775,15625,37306,0.3
0603776,16016,27146,0.37
