state, stusps,Current Num Eligible,Current Num Ineligible,Current Percentage Eligible,Num Eligible,Num Ineligible,Percentage Eligible,Medicaid expansion (1),Party,ACP Participation July 23 (2),Avg claim $ Jan-Jul 2023 (3),Total dif,Weighed dif,Saving in $
01, AL,911822,1055721,46.34,786551,1180992,39.98,NO,Republican,0.4080511327868816,32.36473978407499,125271,51116.97345534545,1654387.5444317241
02, AK,106704,164595,39.33,95899,175400,35.35,YES,Republican,0.1815114709851552,66.45711649543122,10805,1961.2314439946017,130337.78654805204
04, AZ,1174568,1643126,41.69,1029434,1788256,36.53,YES,Democrat + Independent,0.3696959222454553,37.05534395563922,145134,53655.447979171906,1988221.0799621225
05, AR,600752,582813,50.76,522324,661243,44.13,YES,Republican,0.314609023357392,33.55282112076893,78428,24674.15648387354,827887.5588092698
06, CA,6013704,7415330,44.78,5580282,7848748,41.55,YES,Democrat,0.3887507599309843,33.027834567416924,433422,168493.13187080706,5564963.28517498
08, CO,824852,1488185,35.66,731747,1581281,31.64,YES,Democrat,0.2582245057295126,33.27065476474206,93105,24041.99260594627,799892.8358489197
09, CT,568632,859687,39.81,524124,904194,36.7,YES,Democrat,0.2870837378128561,33.11529188315568,44508,12777.5230025746,423131.4037739936
10, DE,150742,244926,38.1,135197,260469,34.17,YES,Democrat,0.2923869923445357,37.3588928526845,15545,4545.155795995807,169801.98838136529
12, FL,3685918,4879423,43.03,3194019,5371322,37.29,NO,Republican,0.3835587226845524,33.32730013975371,491899,188672.15212980864,6287933.442043405
13, GA,1665435,2335679,41.62,1453430,2547687,36.33,NO,Democrat,0.3885669509767718,33.27985319705536,212005,82378.1364418305,2741532.2874311153
15, HI,207027,283055,42.24,192500,297583,39.28,YES,Democrat,0.2322643906350379,32.02070284901566,14527,3374.1048027551956,108041.20727046073
16, ID,287136,406735,41.38,245425,448445,35.37,YES,Republican,0.1538539228797503,35.40100510895165,41711,6417.400977237265,227182.44478136773
17, IL,2000692,2990960,40.08,1784281,3207378,35.75,YES,Democrat,0.2969607515799533,34.51304589232248,216411,64265.57321016927,2218000.6774989823
18, IN,1099146,1581549,41.0,945632,1735060,35.28,YES,Republican,0.3379751188650097,33.056022648902626,153514,51883.9123974431,1715075.7833235587
19, IA,497487,802975,38.25,431917,868546,33.21,YES,Republican,0.2136779453533459,34.583186307792246,65570,14010.86287681889,484540.2812019577
20, KS,449522,709501,38.78,372697,786326,32.16,NO,Republican,0.2563878964767019,31.634288256525583,76825,19697.000146822626,623100.5804334136
21, KY,873763,911924,48.93,782936,1002752,43.85,YES,Republican,0.4671323917355164,32.429403238195825,90827,42428.23374416175,1375922.3007738483
22, LA,948326,835601,53.16,866423,917501,48.57,YES,Republican,0.5090443581637538,34.13144572961346,81903,41692.26006668593,1423017.1118110213
23, ME,236145,357485,39.78,202456,391172,34.1,YES,Republican + Independent,0.3737322407842639,31.38385185457831,33689,12590.665459781067,395143.5795403251
24, MD,857197,1498443,36.39,790066,1565572,33.54,YES,Democrat,0.2829699590642524,35.15150772694214,67131,18996.056321942327,667740.0205821838
25, MA,1116919,1642044,40.48,1041528,1717443,37.75,YES,Democrat,0.2906316393579122,34.17577685784042,75391,21911.00992283236,748825.7858526459
26, MI,1729801,2321999,42.69,1528537,2523262,37.72,YES,Democrat,0.4177665523375232,34.50820347803168,201264,84081.36738965927,2901496.9345934996
27, MN,802896,1478112,35.2,712644,1568368,31.24,YES,Democrat,0.2720950160419282,33.23995030189668,90252,24557.119387816103,816277.4280087507
28, MS,576706,552902,51.05,507119,622489,44.89,YES,Republican,0.384717689776073,34.271545176930694,69587,26771.349878447592,917495.5268066347
29, MO,965580,1503128,39.11,815941,1652765,33.05,NO,Republican,0.3541850494003604,32.3912243545274,149639,52999.89660722053,1716731.5417712359
30, MT,182814,266128,40.72,155559,293379,34.65,YES,Democrat + Republican,0.2679280580261906,33.648526124447805,27255,7302.379221503824,245714.29800539624
31, NE,281387,504595,35.8,235429,550551,29.95,YES,Republican,0.303176763674228,30.751567988850223,45958,13933.397704940171,428473.8268391573
32, NV,531329,660048,44.6,464914,726464,39.02,YES,Democrat,0.4275185431248812,33.693107600649505,66415,28393.644041638985,956670.103869483
33, NH,169755,378270,30.98,147260,400772,26.87,YES,Democrat,0.2062030573473535,32.12724269150172,22495,4638.537775028717,149023.428832046
34, NJ,1268437,2229507,36.26,1140575,2357367,32.61,YES,Democrat,0.2182189576620675,35.25442299867673,127862,27901.912364587275,983665.8209731682
35, NM,442228,391774,53.02,402634,431368,48.28,YES,Democrat,0.3799171468111472,39.8597842093865,39594,15042.439510840562,599588.3928848542
36, NY,3448259,4204186,45.06,3195630,4456822,41.76,YES,Democrat,0.4234528206842931,33.30091123309959,252629,106976.46263665227,3562413.6862941524
37, NC,1753491,2426154,41.95,1521208,2658434,36.4,YES,Republican,0.4655986258269931,31.75400545851684,232283,108150.64560297143,3434216.190818875
38, ND,109296,213207,33.89,83670,238833,25.94,YES,Republican,0.1325483091787439,34.89359448437502,25626,3396.6829710144916,118522.47818256183
39, OH,2004934,2828008,41.48,1753630,3079311,36.28,YES,Democrat + Republican,0.5080820615541459,31.917905120841112,251304,127683.05439680308,4075375.6157763554
40, OK,725560,822408,46.87,622952,925014,40.24,YES,Republican,0.4167939246926512,55.51767897339028,102608,42766.39102486355,2374290.7677688543
41, OR,745083,957500,43.76,678386,1024200,39.84,YES,Democrat,0.2548897236952124,32.52966718937397,66697,17000.37990129958,553016.7002821976
42, PA,2115720,3113235,40.46,1867056,3361898,35.71,YES,Democrat,0.3129445295218649,34.20741436764292,248664,77818.03848902501,2661953.887871264
44, RI,190041,250140,43.17,175692,264494,39.91,YES,Democrat,0.3741034829326303,33.26642642229192,14349,5368.010876600312,178574.53886048705
45, SC,890673,1159173,43.45,768429,1281420,37.49,NO,Republican,0.4115876421537421,32.11385416034863,122244,50314.11972744205,1615780.3031333939
46, SD,121432,235454,34.03,98269,258617,27.54,YES,Republican,0.1714128071677976,41.96304729034746,23163,3970.434852427696,166611.54547566717
47, TN,1200938,1569465,43.35,1026554,1743852,37.05,NO,Republican,0.3287471959418388,32.376960115254,174384,57328.25101712162,1856114.4966586162
48, TX,4536368,6259834,42.02,3934888,6861319,36.45,NO,Republican,0.3349503391259263,32.55701148332192,601480,201465.92997746216,6559128.595774366
49, UT,361325,740176,32.8,294942,806561,26.78,YES,Republican,0.1674033072718466,35.806145111927925,66383,11112.733746626993,397904.1571219446
50, VT,116455,153701,43.11,105386,164774,39.01,YES,Democrat + Independent,0.1877463397879009,32.18800401353212,11069,2078.164235112275,66891.95874057282
51, VA,1142640,2188816,34.3,1002629,2328826,30.1,YES,Democrat,0.3433951200728138,34.285654888906045,140011,48079.09415651474,1648423.2296214835
53, WA,1139413,1882850,37.7,1042588,1979675,34.5,YES,Democrat,0.2606368366869607,33.51076363679798,96825,25236.16171221497,845683.0502380469
54, WV,360464,361725,49.91,323344,398844,44.77,YES,Democrat + Republican,0.3081472768431799,34.67066775199152,37120,11438.426916418837,396577.8992245944
55, WI,892049,1557930,36.41,776699,1673279,31.7,NO,Democrat + Republican,0.4288564865831361,32.29124405158115,115350,49468.595727364744,1597402.4975213397
56, WY,84623,158136,34.86,70439,172320,29.02,NO,Republican,0.2276804178533022,31.62121197093951,14184,3229.4190468312386,102118.14422284003
72,PR,934092,231895,80.11,862767,303219,73.99,YES,,0.6503417222286456,32.665586972785725,71325,46385.623337958146,1515213.613432951
