state, stusps,Current Num Eligible,Current Num Ineligible,Current Percentage Eligible,Num Eligible,Num Ineligible,Percentage Eligible,Medicaid expansion (1),Party,ACP Participation Sep 23 (2),Avg claim $ Jan-Sep 2023 (3),Total dif,Weighed dif,Saving in $
01, AL,911822,1055721,46.34,901800,1065742,45.83,NO,Republican,0.420261849352176,32.31269263,10022,4211.864254207508,136096.67504549137
02, AK,106704,164595,39.33,105583,165716,38.92,YES,Republican,0.197649572649572,66.94490927,1121,221.56517094017022,14832.660265981734
04, AZ,1174568,1643126,41.69,1164664,1653036,41.33,YES,Democrat + Independent,0.395275539602645,36.72991326,9904,3914.808944224596,143790.5929508416
05, AR,600752,582813,50.76,592839,590723,50.09,YES,Republican,0.327144978293871,33.2862096,7913,2588.6982132394014,86167.9513170322
06, CA,6013704,7415330,44.78,5979539,7449497,44.53,YES,Democrat,0.427501420089848,33.00164891,34165,14605.586017369656,482008.42187003855
08, CO,824852,1488185,35.66,817753,1495285,35.35,YES,Democrat,0.270830403514812,33.38255308,7099,1922.6250345516505,64182.13226885731
09, CT,568632,859687,39.81,565140,863177,39.57,YES,Democrat,0.299947945244024,33.12441214,3492,1047.418224792132,34695.11296096174
10, DE,150742,244926,38.1,148983,246684,37.65,YES,Democrat,0.307684653248596,36.83371311,1759,541.2173050642804,19935.042944905053
12, FL,3685918,4879423,43.03,3651717,4913622,42.63,NO,Republican,0.416985402279703,33.25919813,34201,14261.317743368121,474319.9924215649
13, GA,1665435,2335679,41.62,1650029,2351086,41.24,NO,Democrat,0.395790889467316,33.15203674,15406,6097.55444313347,202146.34892291104
15, HI,207027,283055,42.24,206051,284030,42.04,YES,Democrat,0.253479014814492,32.1864799,976,247.39551845894417,7962.7908822288855
16, ID,287136,406735,41.38,282939,410931,40.78,YES,Republican,0.163692466287752,34.74310399,4197,687.0172810096951,23869.11283704689
17, IL,2000692,2990960,40.08,1984281,3007371,39.75,YES,Democrat,0.31331309366959,34.39314234,16411,5141.781180211641,176842.01201215215
18, IN,1099146,1581549,41.0,1086169,1594524,40.52,YES,Republican,0.353259712540463,32.91961402,12977,4584.251289637588,150911.78302555662
19, IA,497487,802975,38.25,492336,808124,37.86,YES,Republican,0.2266109466177,34.44123704,5151,1167.2729860277727,40202.32560217113
20, KS,449522,709501,38.78,443287,715735,38.25,NO,Republican,0.270756492451982,31.44574061,6235,1688.1667304381078,53085.65311178853
21, KY,873763,911924,48.93,867290,918398,48.57,YES,Republican,0.485875460508169,32.22560462,6473,3145.071855869378,101351.8421287362
22, LA,948326,835601,53.16,940478,843448,52.72,YES,Republican,0.535368639054502,33.8759307,7848,4201.573079299732,142332.1984653433
23, ME,236145,357485,39.78,233263,360367,39.29,YES,Republican + Independent,0.393156746913972,31.15714349,2882,1133.0777446060674,35303.465874016816
24, MD,857197,1498443,36.39,851694,1503949,36.16,YES,Democrat,0.299273095916107,34.9034815,5503,1646.899846826337,57482.53833605588
25, MA,1116919,1642044,40.48,1112664,1646301,40.33,YES,Democrat,0.30350186539937,34.08828678,4255,1291.4004372743195,44021.6284536244
26, MI,1729801,2321999,42.69,1714486,2337314,42.31,YES,Democrat,0.453852784222,34.57002623,15315,6950.75539035993,240287.7961630567
27, MN,802896,1478112,35.2,795152,1485853,34.86,YES,Democrat,0.28654396086168,33.18209217,7744,2218.9964329128497,73630.9441618154
28, MS,576706,552902,51.05,571626,557984,50.6,YES,Republican,0.387259712921315,34.00269539,5080,1967.27934164028,66892.80020083419
29, MO,965580,1503128,39.11,956250,1512460,38.73,NO,Republican,0.375754468816669,32.36481477,9330,3505.789194059522,113464.21788840402
30, MT,182814,266128,40.72,180034,268911,40.1,YES,Democrat + Republican,0.280618552189657,33.62124795,2780,780.1195750872464,26228.593664656953
31, NE,281387,504595,35.8,278233,507749,35.4,YES,Republican,0.31767992124725,30.75352915,3154,1001.9624716138264,30813.882077981856
32, NV,531329,660048,44.6,525467,665912,44.11,YES,Democrat,0.456686911499278,33.42231442,5862,2677.0986752087674,89474.83365619289
33, NH,169755,378270,30.98,167724,380303,30.61,YES,Democrat,0.210173485317074,32.22608682,2031,426.8623486789773,13756.103108717834
34, NJ,1268437,2229507,36.26,1259041,2238903,35.99,YES,Democrat,0.226280848004276,35.11538334,9396,2126.1348478481773,74660.04021472132
35, NM,442228,391774,53.02,439295,394708,52.67,YES,Democrat,0.384374123755167,39.7029752,2933,1127.3693049739047,44759.91555662017
36, NY,3448259,4204186,45.06,3428617,4223828,44.8,YES,Democrat,0.453001645178044,33.39394907,19642,8897.85831458714,297134.627389399
37, NC,1753491,2426154,41.95,1734291,2445349,41.49,YES,Republican,0.490833428857062,31.58749598,19200,9424.00183405559,297680.6200487436
38, ND,109296,213207,33.89,108311,214192,33.58,YES,Republican,0.144158981115502,34.91900364,985,141.99659639876947,4958.379666516242
