state, stusps,Current Num Eligible,Current Num Ineligible,Current Percentage Eligible,Num Eligible,Num Ineligible,Percentage Eligible,Medicaid expansion (1),Party,ACP Participation Sep 23 (2),Avg claim $ Jan-Sep 2023 (3),Total dif,Weighed dif,Saving in $
01, AL,911822,1055721,46.34,834139,1133409,42.39,NO,Republican,0.420261849352176,32.31269263,77683,32647.201243225085,1054918.979002086
02, AK,106704,164595,39.33,99130,172168,36.54,YES,Republican,0.197649572649572,66.94490927,7574,1496.9978632478583,100216.38613251173
04, AZ,1174568,1643126,41.69,1082048,1735645,38.4,YES,Democrat + Independent,0.395275539602645,36.72991326,92520,36570.892924036714,1343245.7249406162
05, AR,600752,582813,50.76,547998,635568,46.3,YES,Republican,0.327144978293871,33.2862096,52754,17258.20618491487,574460.2683910928
06, CA,6013704,7415330,44.78,5731545,7697484,42.68,YES,Democrat,0.427501420089848,33.00164891,282159,120623.37319113141,3980770.212393625
08, CO,824852,1488185,35.66,762787,1550248,32.98,YES,Democrat,0.270830403514812,33.38255308,62065,16809.08899414681,561130.3055735497
09, CT,568632,859687,39.81,539495,888828,37.77,YES,Democrat,0.299947945244024,33.12441214,29137,8739.583280575127,289493.55851762375
10, DE,150742,244926,38.1,141404,254264,35.74,YES,Democrat,0.307684653248596,36.83371311,9338,2873.1592920353896,105829.12508216224
12, FL,3685918,4879423,43.03,3373983,5191348,39.39,NO,Republican,0.416985402279703,33.25919813,311935,130072.34146011915,4326101.775855117
13, GA,1665435,2335679,41.62,1525954,2475155,38.14,NO,Democrat,0.395790889467316,33.15203674,139481,55205.309053790705,1830168.4339943242
15, HI,207027,283055,42.24,198536,291544,40.51,YES,Democrat,0.253479014814492,32.1864799,8491,2152.2903147898514,69274.64895594823
16, ID,287136,406735,41.38,257543,436332,37.12,YES,Republican,0.163692466287752,34.74310399,29593,4844.1511548534445,168300.84731635184
17, IL,2000692,2990960,40.08,1866806,3124859,37.4,YES,Democrat,0.31331309366959,34.39314234,133886,41948.23685904672,1442731.6812052284
18, IN,1099146,1581549,41.0,998259,1682432,37.24,YES,Republican,0.353259712540463,32.91961402,100887,35639.31261906969,1173232.4153578896
19, IA,497487,802975,38.25,455561,844900,35.03,YES,Republican,0.2266109466177,34.44123704,41926,9500.89054789369,327222.42345110205
20, KS,449522,709501,38.78,400865,758156,34.59,NO,Republican,0.270756492451982,31.44574061,48657,13174.19865323609,414272.43359427346
21, KY,873763,911924,48.93,814246,971441,45.6,YES,Republican,0.485875460508169,32.22560462,59517,28917.849783064692,931895.1935695955
22, LA,948326,835601,53.16,896878,887050,50.28,YES,Republican,0.535368639054502,33.8759307,51448,27543.64574207602,933066.6343839172
23, ME,236145,357485,39.78,214867,378760,36.2,YES,Republican + Independent,0.393156746913972,31.15714349,21278,8365.589260835497,260647.8649782546
24, MD,857197,1498443,36.39,814272,1541367,34.57,YES,Democrat,0.299273095916107,34.9034815,42925,12846.297642198893,448380.5120979827
25, MA,1116919,1642044,40.48,1066862,1692111,38.67,YES,Democrat,0.30350186539937,34.08828678,50057,15192.392876296264,517882.64524161606
26, MI,1729801,2321999,42.69,1599687,2452115,39.48,YES,Democrat,0.453852784222,34.57002623,130114,59052.60116626131,2041449.9712673821
27, MN,802896,1478112,35.2,742892,1538119,32.57,YES,Democrat,0.28654396086168,33.18209217,60004,17193.783827544245,570525.7197166284
28, MS,576706,552902,51.05,533650,595959,47.24,YES,Republican,0.387259712921315,34.00269539,43056,16673.85419954014,566955.9853242356
29, MO,965580,1503128,39.11,870393,1598318,35.26,NO,Republican,0.375754468816669,32.36481477,95187,35766.940623252274,1157590.4081611482
30, MT,182814,266128,40.72,165182,283760,36.79,YES,Democrat + Republican,0.280618552189657,33.62124795,17632,4947.866312208032,166353.44010619834
31, NE,281387,504595,35.8,255721,530261,32.54,YES,Republican,0.31767992124725,30.75352915,25666,8153.572858731918,250751.14058766086
32, NV,531329,660048,44.6,488717,702661,41.02,YES,Democrat,0.456686911499278,33.42231442,42612,19460.342672807234,650409.6915315065
33, NH,169755,378270,30.98,156535,391495,28.56,YES,Democrat,0.210173485317074,32.22608682,13220,2778.4934758917184,89539.97198289009
34, NJ,1268437,2229507,36.26,1186199,2311749,33.91,YES,Democrat,0.226280848004276,35.11538334,82238,18608.88437817565,653458.1084693755
35, NM,442228,391774,53.02,418198,415806,50.14,YES,Democrat,0.384374123755167,39.7029752,24030,9236.510193836662,366716.9351604442
36, NY,3448259,4204186,45.06,3284648,4367799,42.92,YES,Democrat,0.453001645178044,33.39394907,163611,74116.05216922495,2475027.6714085606
37, NC,1753491,2426154,41.95,1604643,2574999,38.39,YES,Republican,0.490833428857062,31.58749598,148848,73059.57421851596,2307769.0069278846
38, ND,109296,213207,33.89,94169,228336,29.2,YES,Republican,0.144158981115502,34.91900364,15127,2180.6929073341985,76147.62356892506
39, OH,2004934,2828008,41.48,1843398,2989538,38.14,YES,Democrat + Republican,0.543492703500464,31.83051081,161536,87793.63735265094,2794516.3228027755
40, OK,725560,822408,46.87,659550,888411,42.61,YES,Republican,0.449122057445283,55.47480866,66010,29646.54701196313,1644636.5229183496
41, OR,745083,957500,43.76,700161,1002415,41.12,YES,Democrat,0.277441573623341,32.7726764,44922,12463.230370307723,408453.4158247472
42, PA,2115720,3113235,40.46,1956565,3272385,37.42,YES,Democrat,0.333723271510407,34.17820462,159155,53113.727277238824,1815331.8390123441
44, RI,190041,250140,43.17,180191,259994,40.94,YES,Democrat,0.406975336900984,32.82142666,9850,4008.7070684746923,131571.4850493657
45, SC,890673,1159173,43.45,814365,1235492,39.73,NO,Republican,0.441472908688149,32.06944213,76308,33687.91471617527,1080352.6314707582
