state, stusps,Current Num Eligible,Current Num Ineligible,Current Percentage Eligible,Num Eligible,Num Ineligible,Percentage Eligible,Medicaid expansion (1),Party,ACP Participation July 23 (2),Avg claim $ Jan-Jul 2023 (3),Total dif,Weighed dif,Saving in $
01, AL,911822,1055721,46.34,821532,1146011,41.75,NO,Republican,0.40805113278688165,32.24541303,90290,36842.936779327545,1188015.7136875947
02, AK,106704,164595,39.33,98392,172907,36.27,YES,Republican,0.1815114709851552,66.23260186,8312,1508.72334682861,99926.67274738602
04, AZ,1174568,1643126,41.69,1071231,1746456,38.02,YES,Democrat + Independent,0.36969592224545533,37.08461108,103337,38203.26751707862,1416753.3178560578
05, AR,600752,582813,50.76,541375,642193,45.74,YES,Republican,0.31460902335739205,33.21717515,59377,18680.539979891866,620514.7684086456
06, CA,6013704,7415330,44.78,5695586,7733439,42.41,YES,Democrat,0.3887507599309843,32.83650483,318118,123668.61424772486,4060845.049064825
08, CO,824852,1488185,35.66,754747,1558294,32.63,YES,Democrat,0.25822450572951267,32.80043456,70105,18102.828974167485,593780.6571180525
09, CT,568632,859687,39.81,535676,892644,37.5,YES,Democrat,0.2870837378128561,32.81121389,32956,9461.131663360486,310431.2146479724
10, DE,150742,244926,38.1,139816,255850,35.34,YES,Democrat,0.2923869923445357,36.42325724,10926,3194.6202783563967,116358.47618269543
12, FL,3685918,4879423,43.03,3324748,5240581,38.82,NO,Republican,0.3835587226845524,33.13608085,361170,138529.90387197977,4590338.09484465
13, GA,1665435,2335679,41.62,1509307,2491803,37.72,NO,Democrat,0.38856695097677185,33.01602169,156128,60666.180922101434,2002955.9451735653
15, HI,207027,283055,42.24,196717,293364,40.14,YES,Democrat,0.23226439063503795,31.85994969,10310,2394.6458674472415,76293.29686223553
16, ID,287136,406735,41.38,253403,440470,36.52,YES,Republican,0.15385392287975036,34.7319828,33733,5189.954380502619,180257.4062764016
17, IL,2000692,2990960,40.08,1847010,3144648,37.0,YES,Democrat,0.29696075157995333,33.96886151,153682,45637.522224310385,1550254.6720971467
18, IN,1099146,1581549,41.0,985534,1695157,36.76,YES,Republican,0.33797511886500975,32.70169966,113612,38398.02920449149,1255680.8185811895
19, IA,497487,802975,38.25,449548,850913,34.57,YES,Republican,0.21367794535334592,34.03591974,47939,10243.50702229405,348647.18286692665
20, KS,449522,709501,38.78,394445,764577,34.03,NO,Republican,0.2563878964767019,31.41999824,55077,14121.076174247311,443684.1885417565
21, KY,873763,911924,48.93,806680,979009,45.17,YES,Republican,0.4671323917355164,32.12541146,67083,31336.642234793646,1006702.5255675599
22, LA,948326,835601,53.16,888292,895633,49.79,YES,Republican,0.5090443581637538,34.00828118,60034,30559.968998002798,1039292.018536162
23, ME,236145,357485,39.78,211210,382417,35.58,YES,Republican + Independent,0.3737322407842639,31.14303188,24935,9319.013423955621,290222.33215239784
24, MD,857197,1498443,36.39,807978,1547667,34.3,YES,Democrat,0.28296995906425243,34.49530866,49219,13927.49841518344,480433.3566934136
25, MA,1116919,1642044,40.48,1062099,1696872,38.5,YES,Democrat,0.29063163935791225,33.70589164,54820,15932.42646960075,537016.6401466306
26, MI,1729801,2321999,42.69,1579152,2472650,38.97,YES,Democrat,0.41776655233752324,34.12741787,150649,62936.11334309554,2147847.0391735043
27, MN,802896,1478112,35.2,736601,1544403,32.29,YES,Democrat,0.2720950160419282,32.99918093,66295,18038.53908849963,595257.0150942766
28, MS,576706,552902,51.05,526382,603227,46.6,YES,Republican,0.38471768977607307,33.90314332,50324,19360.533020291103,656382.9257385217
29, MO,965580,1503128,39.11,856903,1611810,34.71,NO,Republican,0.3541850494003604,32.08781078,108677,38491.768613682965,1235116.5878634017
30, MT,182814,266128,40.72,162471,286470,36.19,YES,Democrat + Republican,0.2679280580261906,33.27425979,20343,5450.460484426795,181360.03813394645
31, NE,281387,504595,35.8,249425,536557,31.73,YES,Republican,0.303176763674228,30.68420641,31962,9690.135720555676,297334.12459044444
32, NV,531329,660048,44.6,482033,709345,40.46,YES,Democrat,0.4275185431248812,33.55411726,49296,21074.954101884145,707151.4811837386
33, NH,169755,378270,30.98,154309,393721,28.16,YES,Democrat,0.20620305734735353,31.75315651,15446,3185.012423787223,101134.19797881013
34, NJ,1268437,2229507,36.26,1175845,2322094,33.62,YES,Democrat,0.21821895766206756,34.8152776,92592,20205.329727846158,703454.1634744965
35, NM,442228,391774,53.02,413952,420052,49.63,YES,Democrat,0.3799171468111472,39.69763157,28276,10742.537243231998,426453.2856088273
36, NY,3448259,4204186,45.06,3262349,4390104,42.63,YES,Democrat,0.42345282068429313,33.14454837,185910,78724.11389341693,2609275.2008257466
37, NC,1753491,2426154,41.95,1583300,2596339,37.88,YES,Republican,0.46559862582699313,31.56738848,170191,79240.69572812179,2501421.825475097
38, ND,109296,213207,33.89,92507,229997,28.68,YES,Republican,0.13254830917874397,34.49025478,16789,2225.3535628019326,76753.01135661939
39, OH,2004934,2828008,41.48,1824722,3008219,37.76,YES,Democrat + Republican,0.5080820615541459,31.67799277,180212,91562.48447679574,2900515.7212591725
40, OK,725560,822408,46.87,651282,896683,42.07,YES,Republican,0.4167939246926512,55.28536162,74278,30958.619138320744,1711558.4543179153
41, OR,745083,957500,43.76,695242,1007342,40.83,YES,Democrat,0.25488972369521246,32.17613133,49841,12703.958718693084,408764.24414356716
42, PA,2115720,3113235,40.46,1932312,3296642,36.95,YES,Democrat,0.3129445295218649,33.76320311,183408,57396.5302705462,1937890.7093337146
44, RI,190041,250140,43.17,179297,260886,40.73,YES,Democrat,0.37410348293263035,32.9041516,10744,4019.3678206281807,132253.88810611126
45, SC,890673,1159173,43.45,801804,1248052,39.12,NO,Republican,0.41158764215374216,32.02236811,88869,36577.382170560915,1171294.3963658526
46, SD,121432,235454,34.03,104690,252196,29.33,YES,Republican,0.1714128071677976,41.81758561,16742,2869.7932176032677,120007.82356012201
47, TN,1200938,1569465,43.35,1075784,1694625,38.83,NO,Republican,0.3287471959418388,32.06883965,125154,41144.026560904895,1319441.1903370002
48, TX,4536368,6259834,42.02,4096292,6699911,37.94,NO,Republican,0.3349503391259263,32.3474582,440076,147403.60544118113,4768131.965537899
49, UT,361325,740176,32.8,311090,790416,28.24,YES,Republican,0.16740330727184669,35.30417821,50235,8409.505140801219,296890.66814875737
50, VT,116455,153701,43.11,107737,162417,39.88,YES,Democrat + Independent,0.1877463397879009,31.79123151,8718,1636.77259027092,52035.01634652519
51, VA,1142640,2188816,34.3,1042785,2288674,31.3,YES,Democrat,0.3433951200728138,33.83298936,99855,34289.71971487082,1160123.7222706068
53, WA,1139413,1882850,37.7,1068380,1953880,35.35,YES,Democrat,0.26063683668696075,33.08364313,71033,18513.816420384883,612504.4954263475
54, WV,360464,361725,49.91,334124,388064,46.27,YES,Democrat + Republican,0.3081472768431799,34.13141038,26340,8116.599272049358,277030.9806443259
55, WI,892049,1557930,36.41,805747,1644231,32.89,NO,Democrat + Republican,0.42885648658313613,32.00530486,86302,37011.17250509781,1184553.8592517055
