state, stusps,Current Num Eligible,Current Num Ineligible,Current Percentage Eligible,Num Eligible,Num Ineligible,Percentage Eligible,Medicaid expansion (1),Party,ACP Participation Sep 23 (2),Avg claim $ Jan-Sep 2023 (3),Total dif,Weighed dif,Saving in $
01, AL,911822,1055721,46.34,836347,1131197,42.51,NO,Republican,0.420261849352176,32.31269263,75475,31719.263079855482,1024934.7983494774
02, AK,106704,164595,39.33,99336,171962,36.62,YES,Republican,0.197649572649572,66.94490927,7368,1456.2820512820465,97490.66979460609
04, AZ,1174568,1643126,41.69,1084462,1733234,38.49,YES,Democrat + Independent,0.395275539602645,36.72991326,90106,35616.69777143593,1308198.219752477
05, AR,600752,582813,50.76,549653,633915,46.44,YES,Republican,0.327144978293871,33.2862096,51099,16716.781245838516,556438.2843863299
06, CA,6013704,7415330,44.78,5737731,7691303,42.73,YES,Democrat,0.427501420089848,33.00164891,275973,117978.84940645561,3893496.56691761
08, CO,824852,1488185,35.66,763909,1549127,33.03,YES,Democrat,0.270830403514812,33.38255308,60943,16505.217281403187,550986.2919933752
09, CT,568632,859687,39.81,539806,888517,37.79,YES,Democrat,0.299947945244024,33.12441214,28826,8646.299469604237,286403.5871170341
10, DE,150742,244926,38.1,141626,254041,35.79,YES,Democrat,0.307684653248596,36.83371311,9116,2804.853299014201,103313.16173152612
12, FL,3685918,4879423,43.03,3382196,5183136,39.49,NO,Republican,0.416985402279703,33.25919813,303722,126647.64035119595,4212198.963137409
13, GA,1665435,2335679,41.62,1529270,2471840,38.22,NO,Democrat,0.395790889467316,33.15203674,136165,53892.866464317085,1786658.289048954
15, HI,207027,283055,42.24,198705,291375,40.55,YES,Democrat,0.253479014814492,32.1864799,8322,2109.452361286202,67895.84602654589
16, ID,287136,406735,41.38,258206,435669,37.21,YES,Republican,0.163692466287752,34.74310399,28930,4735.623049704665,164530.24407333013
17, IL,2000692,2990960,40.08,1870087,3121576,37.46,YES,Democrat,0.31331309366959,34.39314234,130605,40920.2565987168,1407376.209788991
18, IN,1099146,1581549,41.0,999932,1680759,37.3,YES,Republican,0.353259712540463,32.91961402,99214,35048.3091199895,1153776.8082837001
19, IA,497487,802975,38.25,456704,843757,35.12,YES,Republican,0.2266109466177,34.44123704,40783,9241.87423590966,318301.5812528334
20, KS,449522,709501,38.78,401833,757188,34.67,NO,Republican,0.270756492451982,31.44574061,47689,12912.10636854257,406030.74759391876
21, KY,873763,911924,48.93,816197,969489,45.71,YES,Republican,0.485875460508169,32.22560462,57566,27969.906759613255,901347.1564935622
22, LA,948326,835601,53.16,898057,885868,50.34,YES,Republican,0.535368639054502,33.8759307,50269,26912.446116630763,911684.1596144678
23, ME,236145,357485,39.78,214933,378694,36.21,YES,Republican + Independent,0.393156746913972,31.15714349,21212,8339.640915539174,259839.38866052902
24, MD,857197,1498443,36.39,814868,1540770,34.59,YES,Democrat,0.299273095916107,34.9034815,42329,12667.930877032893,442154.89100979635
25, MA,1116919,1642044,40.48,1068307,1690670,38.72,YES,Democrat,0.30350186539937,34.08828678,48612,14753.832680794176,502932.87952704803
26, MI,1729801,2321999,42.69,1602423,2449376,39.55,YES,Democrat,0.453852784222,34.57002623,127378,57810.85994862991,1998522.9448029927
27, MN,802896,1478112,35.2,743763,1537247,32.61,YES,Democrat,0.28654396086168,33.18209217,59133,16944.204037633725,562244.1401240483
28, MS,576706,552902,51.05,534394,595215,47.31,YES,Republican,0.387259712921315,34.00269539,42312,16385.73297312668,557159.0870271055
29, MO,965580,1503128,39.11,873109,1595603,35.37,NO,Republican,0.375754468816669,32.36481477,92471,34746.3914859462,1124560.524368554
30, MT,182814,266128,40.72,165958,282981,36.97,YES,Democrat + Republican,0.280618552189657,33.62124795,16856,4730.106315708858,159032.07727030848
31, NE,281387,504595,35.8,256997,528985,32.7,YES,Republican,0.31767992124725,30.75352915,24390,7748.213279220427,238284.90294292246
32, NV,531329,660048,44.6,489774,701604,41.11,YES,Democrat,0.456686911499278,33.42231442,41555,18977.624607352496,634276.1365716641
33, NH,169755,378270,30.98,156716,391312,28.6,YES,Democrat,0.210173485317074,32.22608682,13039,2740.452075049328,88314.0464965888
34, NJ,1268437,2229507,36.26,1188271,2309680,33.97,YES,Democrat,0.226280848004276,35.11538334,80166,18140.03046111079,636994.1234411823
35, NM,442228,391774,53.02,418974,415030,50.24,YES,Democrat,0.384374123755167,39.7029752,23254,8938.235873802654,354874.5572293371
36, NY,3448259,4204186,45.06,3288920,4363529,42.98,YES,Democrat,0.453001645178044,33.39394907,159339,72180.82914102435,2410402.932165739
37, NC,1753491,2426154,41.95,1609830,2569806,38.52,YES,Republican,0.490833428857062,31.58749598,143661,70513.62122303438,2227348.726917841
38, ND,109296,213207,33.89,94205,228300,29.21,YES,Republican,0.144158981115502,34.91900364,15091,2175.5031840140405,75966.40360141787
39, OH,2004934,2828008,41.48,1847119,2985815,38.22,YES,Democrat + Republican,0.543492703500464,31.83051081,157815,85771.30100292573,2730144.323761391
40, OK,725560,822408,46.87,661624,886340,42.74,YES,Republican,0.449122057445283,55.47480866,63936,28715.067864821613,1592962.8954598936
41, OR,745083,957500,43.76,701622,1000956,41.21,YES,Democrat,0.277441573623341,32.7726764,43461,12057.888231244022,395169.26906992873
42, PA,2115720,3113235,40.46,1960304,3268647,37.49,YES,Democrat,0.333723271510407,34.17820462,155416,51865.93596506141,1772684.5722216864
44, RI,190041,250140,43.17,181125,259060,41.15,YES,Democrat,0.406975336900984,32.82142666,8916,3628.5921038091733,119095.56961422789
45, SC,890673,1159173,43.45,815655,1234201,39.79,NO,Republican,0.441472908688149,32.06944213,75018,33118.41466396756,1062089.082503451
46, SD,121432,235454,34.03,105941,250945,29.68,YES,Republican,0.18172310428882,41.67870231,15491,2815.0726085381107,117328.57323229508
47, TN,1200938,1569465,43.35,1090175,1680231,39.35,NO,Republican,0.345189343663036,32.23022643,110763,38234.20727214886,1232297.1577529104
48, TX,4536368,6259834,42.02,4162343,6633859,38.55,NO,Republican,0.3591437026273,32.38563847,374025,134328.72337517588,4350321.471365085
49, UT,361325,740176,32.8,318161,783340,28.88,YES,Republican,0.182580779077008,35.78005958,43164,7880.916748079973,281979.6707913213
50, VT,116455,153701,43.11,108638,161516,40.21,YES,Democrat + Independent,0.206938302348546,33.22340012,7817,1617.636709458584,53743.39164714272
51, VA,1142640,2188816,34.3,1053602,2277858,31.63,YES,Democrat,0.371625358818175,34.04288065,89038,33088.77869845266,1126437.3440856864
53, WA,1139413,1882850,37.7,1077960,1944294,35.67,YES,Democrat,0.279066501786446,33.5620539,61453,17149.473734282466,575571.5618266225
54, WV,360464,361725,49.91,337336,384854,46.71,YES,Democrat + Republican,0.324190487815704,34.52164518,23128,7497.877602201602,258839.07018627287
55, WI,892049,1557930,36.41,815844,1634134,33.3,NO,Democrat + Republican,0.460510577333756,32.23422865,76205,35093.20854571887,1131202.5083248361
56, WY,84623,158136,34.86,76499,166260,31.51,NO,Republican,0.244437091570849,31.65394221,8124,1985.8069319215772,62858.61786326301
72,PR,934092,231895,80.11,892439,273548,76.54,YES,,0.680682416721265,32.68482107,41653,28352.46470369085,926695.235733626
