state, stusps,Current Num Eligible,Current Num Ineligible,Current Percentage Eligible,Num Eligible,Num Ineligible,Percentage Eligible,Medicaid expansion (1),Party,ACP Participation Sep 23 (2),Avg claim $ Jan-Sep 2023 (3),Total dif,Weighed dif,Saving in $
01, AL,911822,1055721,46.34,795839,1171703,40.45,NO,Republican,0.420261849352176,32.31269263,115983,48743.230073413426,1575025.0111555804
02, AK,106704,164595,39.33,96645,174653,35.62,YES,Republican,0.197649572649572,66.94490927,10059,1988.1570512820447,133096.9934125872
04, AZ,1174568,1643126,41.69,1039436,1778257,36.89,YES,Democrat + Independent,0.395275539602645,36.72991326,135132,53414.37421758463,1961905.3318490635
05, AR,600752,582813,50.76,527278,656287,44.55,YES,Republican,0.327144978293871,33.2862096,73474,24036.65013516388,800088.9744809333
06, CA,6013704,7415330,44.78,5610477,7818558,41.78,YES,Democrat,0.427501420089848,33.00164891,403227,172380.11511856914,5688828.038208402
08, CO,824852,1488185,35.66,736819,1576216,31.86,YES,Democrat,0.270830403514812,33.38255308,88033,23842.012912619448,795907.2615895642
09, CT,568632,859687,39.81,526157,902162,36.84,YES,Democrat,0.299947945244024,33.12441214,42475,12740.28897423992,422014.5827654209
10, DE,150742,244926,38.1,136326,259338,34.45,YES,Democrat,0.307684653248596,36.83371311,14416,4435.58196123176,163378.95343590179
12, FL,3685918,4879423,43.03,3227512,5337819,37.68,NO,Republican,0.416985402279703,33.25919813,458406,191148.61031742953,6357449.502821551
13, GA,1665435,2335679,41.62,1467220,2533894,36.67,NO,Democrat,0.395790889467316,33.15203674,198215,78451.69115576404,2600833.3475110224
15, HI,207027,283055,42.24,193945,296136,39.57,YES,Democrat,0.253479014814492,32.1864799,13082,3316.012471803184,106730.7687718425
16, ID,287136,406735,41.38,247209,446662,35.63,YES,Republican,0.163692466287752,34.74310399,39927,6535.749101471074,227072.21068495858
17, IL,2000692,2990960,40.08,1800316,3191340,36.07,YES,Democrat,0.31331309366959,34.39314234,200376,62780.424457137764,2159216.074519956
18, IN,1099146,1581549,41.0,956381,1724312,35.68,YES,Republican,0.353259712540463,32.91961402,142765,50433.122860839205,1660238.9384020646
19, IA,497487,802975,38.25,435686,864777,33.5,YES,Republican,0.2266109466177,34.44123704,61801,14004.783111920478,482342.054851442
20, KS,449522,709501,38.78,380253,778769,32.81,NO,Republican,0.270756492451982,31.44574061,69269,18755.031475656342,589765.8549158749
21, KY,873763,911924,48.93,787656,998032,44.11,YES,Republican,0.485875460508169,32.22560462,86107,41837.278277976904,1348231.5881629982
22, LA,948326,835601,53.16,872168,911761,48.89,YES,Republican,0.535368639054502,33.8759307,76158,40772.60481311277,1381209.9351074945
23, ME,236145,357485,39.78,205449,388179,34.61,YES,Republican + Independent,0.393156746913972,31.15714349,30696,12068.339503271285,376014.9855894587
24, MD,857197,1498443,36.39,795689,1559951,33.78,YES,Democrat,0.299273095916107,34.9034815,61508,18407.68958360791,642492.4528392013
