state, stusps,Current Num Eligible,Current Num Ineligible,Current Percentage Eligible,Num Eligible,Num Ineligible,Percentage Eligible,Medicaid expansion (1),Party,ACP Participation Sep 23 (2),Avg claim $ Jan-Sep 2023 (3),Total dif,Weighed dif,Saving in $
01, AL,911822,1055721,46.34,815627,1151914,41.45,NO,Republican,0.420261849352176,32.31269263,96195,40427.088598432565,1306308.087806929
02, AK,106704,164595,39.33,98177,173122,36.19,YES,Republican,0.197649572649572,66.94490927,8527,1685.3579059829005,112826.13210350246
04, AZ,1174568,1643126,41.69,1062488,1755199,37.71,YES,Democrat + Independent,0.395275539602645,36.72991326,112080,44302.48247866445,1627226.338644015
05, AR,600752,582813,50.76,538224,645343,45.47,YES,Republican,0.327144978293871,33.2862096,62528,20455.721202759167,680893.4234742057
06, CA,6013704,7415330,44.78,5674594,7754432,42.26,YES,Democrat,0.427501420089848,33.00164891,339110,144970.00656666834,4784249.259193583
08, CO,824852,1488185,35.66,749112,1563930,32.39,YES,Democrat,0.270830403514812,33.38255308,75740,20512.694762211864,684766.1217133756
09, CT,568632,859687,39.81,532740,895582,37.3,YES,Democrat,0.299947945244024,33.12441214,35892,10765.73165069851,356608.53218637995
10, DE,150742,244926,38.1,138759,256908,35.07,YES,Democrat,0.307684653248596,36.83371311,11983,3686.985199877926,135805.35509311952
12, FL,3685918,4879423,43.03,3299759,5265566,38.52,NO,Republican,0.416985402279703,33.25919813,386159,161022.66595892783,5355484.750548787
13, GA,1665435,2335679,41.62,1498843,2502276,37.46,NO,Democrat,0.395790889467316,33.15203674,166592,65935.5958581391,2185899.296362819
15, HI,207027,283055,42.24,196322,293760,40.06,YES,Democrat,0.253479014814492,32.1864799,10705,2713.4928535891368,87337.7831908404
16, ID,287136,406735,41.38,251856,442016,36.3,YES,Republican,0.163692466287752,34.74310399,35280,5775.07021063189,200643.86487753497
17, IL,2000692,2990960,40.08,1835002,3156662,36.76,YES,Democrat,0.31331309366959,34.39314234,165690,51912.84649011437,1785445.9186090727
18, IN,1099146,1581549,41.0,979230,1701465,36.53,YES,Republican,0.353259712540463,32.91961402,119916,42361.49168900216,1394523.955713389
19, IA,497487,802975,38.25,445539,854923,34.26,YES,Republican,0.2266109466177,34.44123704,51948,11771.98545489628,405441.74148351495
20, KS,449522,709501,38.78,390100,768922,33.66,NO,Republican,0.270756492451982,31.44574061,59422,16088.892294481675,505927.1337944985
21, KY,873763,911924,48.93,802200,983488,44.92,YES,Republican,0.485875460508169,32.22560462,71563,34770.7055803461,1120507.010390661
22, LA,948326,835601,53.16,883373,900550,49.52,YES,Republican,0.535368639054502,33.8759307,64953,34773.799212507074,1177994.812298604
23, ME,236145,357485,39.78,209914,383712,35.36,YES,Republican + Independent,0.393156746913972,31.15714349,26231,10312.8946283004,321320.3377312058
24, MD,857197,1498443,36.39,804872,1550770,34.17,YES,Democrat,0.299273095916107,34.9034815,52325,15659.4647438103,546569.837985485
25, MA,1116919,1642044,40.48,1057538,1701433,38.33,YES,Democrat,0.30350186539937,34.08828678,59381,18022.244269279992,614347.4310704279
26, MI,1729801,2321999,42.69,1569787,2482011,38.74,YES,Democrat,0.453852784222,34.57002623,160014,72622.79941449911,2510572.0806552633
27, MN,802896,1478112,35.2,731727,1549277,32.08,YES,Democrat,0.28654396086168,33.18209217,71169,20393.047150564904,676683.9701772005
28, MS,576706,552902,51.05,524037,605572,46.39,YES,Republican,0.387259712921315,34.00269539,52669,20396.58181985274,693538.7586176646
29, MO,965580,1503128,39.11,848098,1620615,34.35,NO,Republican,0.375754468816669,32.36481477,117482,44144.38650551991,1428724.8923864397
30, MT,182814,266128,40.72,161367,287574,35.94,YES,Democrat + Republican,0.280618552189657,33.62124795,21447,6018.426088811573,202346.9958006826
31, NE,281387,504595,35.8,246338,539642,31.34,YES,Republican,0.31767992124725,30.75352915,35049,11134.363559794865,342420.97430284915
