state, stusps,Current Num Eligible,Current Num Ineligible,Current Percentage Eligible,Num Eligible,Num Ineligible,Percentage Eligible,Medicaid expansion (1),Party,ACP Participation Sep 23 (2),Avg claim $ Jan-Sep 2023 (3),Total dif,Weighed dif,Saving in $
01, AL,911822,1055721,46.34,782654,1184888,39.78,NO,Republican,0.420261849352176,32.31269263,129168,54284.38255712187,1754074.5681776125
02, AK,106704,164595,39.33,95783,175516,35.31,YES,Republican,0.197649572649572,66.94490927,10921,2158.5309829059756,144502.66080712446
04, AZ,1174568,1643126,41.69,1026672,1791020,36.44,YES,Democrat + Independent,0.395275539602645,36.72991326,147896,58459.67120507279,2147218.6525704428
05, AR,600752,582813,50.76,521740,661826,44.08,YES,Republican,0.327144978293871,33.2862096,79012,25848.379024955335,860394.5620449069
06, CA,6013704,7415330,44.78,5571995,7857025,41.49,YES,Democrat,0.427501420089848,33.00164891,441709,188831.22476646665,6231741.782988229
08, CO,824852,1488185,35.66,730074,1582953,31.56,YES,Democrat,0.270830403514812,33.38255308,94778,25668.763984326855,856888.8762047836
09, CT,568632,859687,39.81,523022,905296,36.62,YES,Democrat,0.299947945244024,33.12441214,45610,13680.625782579935,453162.68675528775
10, DE,150742,244926,38.1,134565,261104,34.01,YES,Democrat,0.307684653248596,36.83371311,16177,4977.414635602538,183336.66271729904
12, FL,3685918,4879423,43.03,3183672,5381660,37.17,NO,Republican,0.416985402279703,33.25919813,502246,209429.2503533717,6965448.931720162
13, GA,1665435,2335679,41.62,1448715,2552405,36.21,NO,Democrat,0.395790889467316,33.15203674,216720,85775.80156535673,2843642.524897656
15, HI,207027,283055,42.24,192188,297895,39.22,YES,Democrat,0.253479014814492,32.1864799,14839,3761.3751008322465,121065.42407929758
16, ID,287136,406735,41.38,244473,449396,35.23,YES,Republican,0.163692466287752,34.74310399,42663,6983.611689234363,242632.34714484907
17, IL,2000692,2990960,40.08,1779430,3212236,35.65,YES,Democrat,0.31331309366959,34.39314234,221262,69324.28173152082,2384279.889210457
18, IN,1099146,1581549,41.0,942803,1737890,35.17,YES,Republican,0.353259712540463,32.91961402,156343,55229.68323771361,1818139.8546323958
19, IA,497487,802975,38.25,430738,869726,33.12,YES,Republican,0.2266109466177,34.44123704,66749,15126.054075784858,520960.01390396437
