state, stusps,Current Num Eligible,Current Num Ineligible,Current Percentage Eligible,Num Eligible,Num Ineligible,Percentage Eligible,Medicaid expansion (1),Party,ACP Participation Sep 23 (2),Avg claim $ Jan-Sep 2023 (3),Total dif,Weighed dif,Saving in $
01, AL,911822,1055721,46.34,752434,1215105,38.24,NO,Republican,0.420261849352176,32.31269263,159388,66984.69564454463,2164455.8812762704
02, AK,106704,164595,39.33,94922,176377,34.99,YES,Republican,0.197649572649572,66.94490927,11782,2328.7072649572574,155895.09656895345
04, AZ,1174568,1643126,41.69,999245,1818452,35.46,YES,Democrat + Independent,0.395275539602645,36.72991326,175323,69300.89342975453,2545415.804515388
05, AR,600752,582813,50.76,505560,678011,42.71,YES,Republican,0.327144978293871,33.2862096,95192,31141.584773750168,1036585.3180552167
06, CA,6013704,7415330,44.78,5482710,7946315,40.83,YES,Democrat,0.427501420089848,33.00164891,530994,227000.68905918873,7491397.042659425
08, CO,824852,1488185,35.66,712665,1600366,30.81,YES,Democrat,0.270830403514812,33.38255308,112187,30383.650479116215,1014283.8248832645
09, CT,568632,859687,39.81,515731,912587,36.11,YES,Democrat,0.299947945244024,33.12441214,52901,15867.546251354115,525603.1416803657
10, DE,150742,244926,38.1,131637,264030,33.27,YES,Democrat,0.307684653248596,36.83371311,19105,5878.315300314427,216520.17934190508
12, FL,3685918,4879423,43.03,3090092,5475244,36.08,NO,Republican,0.416985402279703,33.25919813,595826,248450.74429870633,8263272.530176642
13, GA,1665435,2335679,41.62,1407824,2593287,35.19,NO,Democrat,0.395790889467316,33.15203674,257611,101960.08682656474,3380184.5444878642
15, HI,207027,283055,42.24,189627,300457,38.69,YES,Democrat,0.253479014814492,32.1864799,17400,4410.534857772161,141959.59154793303
16, ID,287136,406735,41.38,238203,455671,34.33,YES,Republican,0.163692466287752,34.74310399,48933,8009.963452858568,278290.99319876474
17, IL,2000692,2990960,40.08,1740186,3251474,34.86,YES,Democrat,0.31331309366959,34.39314234,260506,81619.9407794902,2807166.241011377
18, IN,1099146,1581549,41.0,918666,1762025,34.27,YES,Republican,0.353259712540463,32.91961402,180480,63756.31291930276,2098833.2126417863
19, IA,497487,802975,38.25,420220,880242,32.31,YES,Republican,0.2266109466177,34.44123704,77267,17509.548012309828,603050.4935552236
20, KS,449522,709501,38.78,355446,803577,30.67,NO,Republican,0.270756492451982,31.44574061,94076,25471.68778391266,800976.0869518233
21, KY,873763,911924,48.93,763378,1022308,42.75,YES,Republican,0.485875460508169,32.22560462,110385,53633.36270819423,1728367.5410753198
22, LA,948326,835601,53.16,846811,937115,47.47,YES,Republican,0.535368639054502,33.8759307,101515,54347.947393617775,1841087.2995934412
23, ME,236145,357485,39.78,195666,397962,32.96,YES,Republican + Independent,0.393156746913972,31.15714349,40479,15914.591958330673,495853.2252305089
24, MD,857197,1498443,36.39,777692,1577946,33.01,YES,Democrat,0.299273095916107,34.9034815,79505,23793.707490810088,830483.2292219013
25, MA,1116919,1642044,40.48,1028008,1730966,37.26,YES,Democrat,0.30350186539937,34.08828678,88911,26984.654354523387,919860.6362961689
26, MI,1729801,2321999,42.69,1493430,2558370,36.86,YES,Democrat,0.453852784222,34.57002623,236371,107277.63645933836,3708590.706291732
27, MN,802896,1478112,35.2,694440,1586565,30.44,YES,Democrat,0.28654396086168,33.18209217,108456,31077.411819214365,1031213.5433902184
28, MS,576706,552902,51.05,489501,640108,43.33,YES,Republican,0.387259712921315,34.00269539,87205,33770.98326530327,1148304.4569908946
29, MO,965580,1503128,39.11,779215,1689496,31.56,NO,Republican,0.375754468816669,32.36481477,186365,70027.48158101852,2266426.4701792514
30, MT,182814,266128,40.72,151001,297944,33.63,YES,Democrat + Republican,0.280618552189657,33.62124795,31813,8927.318000809557,300147.57203371637
31, NE,281387,504595,35.8,227231,558750,28.91,YES,Republican,0.31767992124725,30.75352915,54156,17204.27381506607,529092.136276216
32, NV,531329,660048,44.6,451547,739830,37.9,YES,Democrat,0.456686911499278,33.42231442,79782,36435.395173235396,1217755.2334968238
33, NH,169755,378270,30.98,143603,404430,26.2,YES,Democrat,0.210173485317074,32.22608682,26152,5496.456988012119,177129.30009807425
34, NJ,1268437,2229507,36.26,1114667,2383284,31.87,YES,Democrat,0.226280848004276,35.11538334,153770,34795.20599761752,1221846.9970006065
35, NM,442228,391774,53.02,395439,438564,47.41,YES,Democrat,0.384374123755167,39.7029752,46789,17984.48087638051,714037.3982198095
36, NY,3448259,4204186,45.06,3146424,4506020,41.12,YES,Democrat,0.453001645178044,33.39394907,301835,136731.7515723149,4566013.148257776
37, NC,1753491,2426154,41.95,1473834,2705808,35.26,YES,Republican,0.490833428857062,31.58749598,279657,137265.00421387938,4335857.768800598
38, ND,109296,213207,33.89,78107,244397,24.22,YES,Republican,0.144158981115502,34.91900364,31189,4496.174462011391,157001.93240505081
39, OH,2004934,2828008,41.48,1699027,3133912,35.16,YES,Democrat + Republican,0.543492703500464,31.83051081,305907,166258.22244971644,5292084.146937083
40, OK,725560,822408,46.87,601493,946467,38.86,YES,Republican,0.449122057445283,55.47480866,124067,55721.22630106393,3091124.367352081
41, OR,745083,957500,43.76,667826,1034755,39.22,YES,Democrat,0.277441573623341,32.7726764,77257,21434.303653418454,702459.4974928207
42, PA,2115720,3113235,40.46,1815135,3413813,34.71,YES,Democrat,0.333723271510407,34.17820462,300585,100312.20956695569,3428491.2244637334
44, RI,190041,250140,43.17,172984,267200,39.3,YES,Democrat,0.406975336900984,32.82142666,17057,6941.778321520083,227839.0680697493
45, SC,890673,1159173,43.45,741372,1308481,36.17,NO,Republican,0.441472908688149,32.06944213,149301,65912.34674004932,2113772.189432506
46, SD,121432,235454,34.03,94134,262752,26.38,YES,Republican,0.18172310428882,41.67870231,27298,4960.677300876208,206754.5924791938
47, TN,1200938,1569465,43.35,992706,1777696,35.83,NO,Republican,0.345189343663036,32.23022643,208232,71879.46740964131,2316691.510280545
48, TX,4536368,6259834,42.02,3794030,7002173,35.14,NO,Republican,0.3591437026273,32.38563847,742338,266606.0179209446,8634206.110314054
49, UT,361325,740176,32.8,283317,818182,25.72,YES,Republican,0.182580779077008,35.78005958,78008,14242.761414239241,509606.8519852051
50, VT,116455,153701,43.11,103893,166262,38.46,YES,Democrat + Independent,0.206938302348546,33.22340012,12562,2599.5589541024347,86366.1872676739
51, VA,1142640,2188816,34.3,973923,2357533,29.23,YES,Democrat,0.371625358818175,34.04288065,168717,62699.51566372603,2134472.128553031
53, WA,1139413,1882850,37.7,1021695,2000565,33.81,YES,Democrat,0.279066501786446,33.5620539,117718,32851.15045729685,1102552.0823248066
54, WV,360464,361725,49.91,315166,407022,43.64,YES,Democrat + Republican,0.324190487815704,34.52164518,45298,14685.180717075758,506956.5981190673
55, WI,892049,1557930,36.41,756664,1693307,30.88,NO,Democrat + Republican,0.460510577333756,32.23422865,135385,62346.224512330555,2009682.4563946978
56, WY,84623,158136,34.86,66791,175968,27.51,NO,Republican,0.244437091570849,31.65394221,17832,4358.802216891379,137973.2734782996
72,PR,934092,231895,80.11,843365,322623,72.33,YES,,0.680682416721265,32.68482107,90727,61756.273621870205,2018492.7532807884
