state, stusps,Current Num Eligible,Current Num Ineligible,Current Percentage Eligible,Num Eligible,Num Ineligible,Percentage Eligible,Medicaid expansion (1),Party,ACP Participation July 23 (2),Avg claim $ Jan-Jul 2023 (3),Total dif,Weighed dif,Saving in $
01, AL,911822,1055721,46.34,843574,1123967,42.87,NO,Republican,0.40805113278688165,32.24541303,68248,27848.6737104391,897991.9861308114
02, AK,106704,164595,39.33,100386,170913,37.0,YES,Republican,0.1815114709851552,66.23260186,6318,1146.7894736842104,75954.85062776526
04, AZ,1174568,1643126,41.69,1093103,1724586,38.79,YES,Democrat + Independent,0.36969592224545533,37.08461108,81465,30117.27830572602,1116887.552755971
05, AR,600752,582813,50.76,554872,628695,46.88,YES,Republican,0.31460902335739205,33.21717515,45880,14434.261991637148,479465.40873719903
06, CA,6013704,7415330,44.78,5763364,7665666,42.92,YES,Democrat,0.3887507599309843,32.83650483,250340,97319.8652411226,3195644.225045072
08, CO,824852,1488185,35.66,768235,1544801,33.21,YES,Democrat,0.25822450572951267,32.80043456,56617,14619.896840887819,479538.96960349166
09, CT,568632,859687,39.81,543072,885246,38.02,YES,Democrat,0.2870837378128561,32.81121389,25560,7337.860338496603,240764.10506135982
10, DE,150742,244926,38.1,142831,252835,36.1,YES,Democrat,0.2923869923445357,36.42325724,7911,2313.073496437622,84249.67097577373
12, FL,3685918,4879423,43.03,3414932,5150400,39.87,NO,Republican,0.3835587226845524,33.13608085,270986,103939.04402539611,3444132.566297235
13, GA,1665435,2335679,41.62,1545256,2455859,38.62,NO,Democrat,0.38856695097677185,33.01602169,120179,46697.587601437466,1541768.5651197345
15, HI,207027,283055,42.24,199498,290582,40.71,YES,Democrat,0.23226439063503795,31.85994969,7529,1748.7185970912008,55714.08652529304
16, ID,287136,406735,41.38,260577,433296,37.55,YES,Republican,0.15385392287975036,34.7319828,26559,4086.20633776329,141922.04824044555
17, IL,2000692,2990960,40.08,1880840,3110820,37.68,YES,Democrat,0.29696075157995333,33.96886151,119852,35591.33999836056,1208997.2993596338
18, IN,1099146,1581549,41.0,1009409,1671284,37.65,YES,Republican,0.33797511886500975,32.70169966,89737,30328.87324158938,991805.7037726666
19, IA,497487,802975,38.25,459075,841387,35.3,YES,Republican,0.21367794535334592,34.03591974,38412,8207.797236912724,279359.92799775524
20, KS,449522,709501,38.78,405127,753894,34.95,NO,Republican,0.2563878964767019,31.41999824,44395,11382.340664083182,357633.12363257405
21, KY,873763,911924,48.93,821676,964009,46.01,YES,Republican,0.4671323917355164,32.12541146,52087,24331.524888327844,781660.2484867626
22, LA,948326,835601,53.16,901005,882923,50.51,YES,Republican,0.5090443581637538,34.00828118,47321,24088.488072666994,819208.0755763353
23, ME,236145,357485,39.78,217436,376192,36.63,YES,Republican + Independent,0.3737322407842639,31.14303188,18709,6992.156492832793,217756.95256624068
24, MD,857197,1498443,36.39,818471,1537168,34.75,YES,Democrat,0.28296995906425243,34.49530866,38726,10958.294634722239,378009.75581196556
25, MA,1116919,1642044,40.48,1073241,1685734,38.9,YES,Democrat,0.29063163935791225,33.70589164,43678,12694.208743874891,427869.62437658757
26, MI,1729801,2321999,42.69,1613352,2438447,39.82,YES,Democrat,0.41776655233752324,34.12741787,116449,48648.49725315224,1660247.594505874
27, MN,802896,1478112,35.2,749639,1531376,32.86,YES,Democrat,0.2720950160419282,32.99918093,53257,14490.96426934497,478189.95177427994
28, MS,576706,552902,51.05,537850,591759,47.61,YES,Republican,0.38471768977607307,33.90314332,38856,14948.590553939095,506804.2079821953
29, MO,965580,1503128,39.11,882392,1586320,35.74,NO,Republican,0.3541850494003604,32.08781078,83188,29463.94588951718,945433.520534986
30, MT,182814,266128,40.72,168120,280823,37.45,YES,Democrat + Republican,0.2679280580261906,33.27425979,14694,3936.9348846368443,130998.59412772005
31, NE,281387,504595,35.8,258827,527155,32.93,YES,Republican,0.303176763674228,30.68420641,22560,6839.667788490584,209869.7781978733
32, NV,531329,660048,44.6,493632,697750,41.43,YES,Democrat,0.4275185431248812,33.55411726,37697,16116.166520178645,540763.7411997603
33, NH,169755,378270,30.98,157546,390484,28.75,YES,Democrat,0.20620305734735353,31.75315651,12209,2517.5331271538394,79939.62340562559
34, NJ,1268437,2229507,36.26,1197980,2299977,34.25,YES,Democrat,0.21821895766206756,34.8152776,70457,15375.053099996294,535286.7417911115
35, NM,442228,391774,53.02,421254,412749,50.51,YES,Democrat,0.3799171468111472,39.69763157,20974,7968.382237217001,316325.90226197283
36, NY,3448259,4204186,45.06,3304948,4347498,43.19,YES,Democrat,0.42345282068429313,33.14454837,143311,60685.447185086734,2011391.7395811877
37, NC,1753491,2426154,41.95,1622234,2557400,38.81,YES,Republican,0.46559862582699313,31.56738848,131257,61113.07883017364,1929180.3006409553
38, ND,109296,213207,33.89,96617,225886,29.96,YES,Republican,0.13254830917874397,34.49025478,12679,1680.5800120772947,57963.63279472137
39, OH,2004934,2828008,41.48,1861362,2971572,38.51,YES,Democrat + Republican,0.5080820615541459,31.67799277,143572,72946.35774145184,2310794.1931315446
40, OK,725560,822408,46.87,666955,881009,43.09,YES,Republican,0.4167939246926512,55.28536162,58605,24426.207956612823,1350411.7398866613
41, OR,745083,957500,43.76,706061,996517,41.47,YES,Democrat,0.25488972369521246,32.17613133,39022,9946.30679803458,320033.6737820324
42, PA,2115720,3113235,40.46,1974437,3254510,37.76,YES,Democrat,0.3129445295218649,33.76320311,141283,44213.74196443764,1492797.5501984386
44, RI,190041,250140,43.17,181703,258481,41.28,YES,Democrat,0.37410348293263035,32.9041516,8338,3119.274840692272,102637.09224020437
45, SC,890673,1159173,43.45,822172,1227685,40.11,NO,Republican,0.41158764215374216,32.02236811,68501,28194.165075173492,902843.9325913114
46, SD,121432,235454,34.03,107025,249861,29.99,YES,Republican,0.1714128071677976,41.81758561,14407,2469.54431286646,103270.38072098182
47, TN,1200938,1569465,43.35,1100476,1669928,39.72,NO,Republican,0.3287471959418388,32.06883965,100462,33026.60079870901,1059124.7651983614
48, TX,4536368,6259834,42.02,4197736,6598465,38.88,NO,Republican,0.3349503391259263,32.3474582,338632,113424.90323889068,3669007.316359061
49, UT,361325,740176,32.8,322071,779431,29.24,YES,Republican,0.16740330727184669,35.30417821,39254,6571.24942364907,231992.5607148666
50, VT,116455,153701,43.11,109501,160655,40.53,YES,Democrat + Independent,0.1877463397879009,31.79123151,6954,1305.5880468850628,41506.25185521176
51, VA,1142640,2188816,34.3,1062221,2269236,31.88,YES,Democrat,0.3433951200728138,33.83298936,80419,27615.492161135615,934314.6524588646
53, WA,1139413,1882850,37.7,1083438,1938823,35.85,YES,Democrat,0.26063683668696075,33.08364313,55975,14589.146933552627,482662.1307207889
54, WV,360464,361725,49.91,339183,383004,46.97,YES,Democrat + Republican,0.3081472768431799,34.13141038,21281,6557.682198499711,223822.94225861426
55, WI,892049,1557930,36.41,822202,1627774,33.56,NO,Democrat + Republican,0.42885648658313613,32.00530486,69847,29954.33901837231,958697.752162799
56, WY,84623,158136,34.86,76873,165886,31.67,NO,Republican,0.22768041785330229,31.47968644,7750,1764.5232383630928,55546.63825976354
72,PR,934092,231895,80.11,895554,270433,76.81,YES,,0.6503417222286456,32.68862782,38538,25062.869291247545,819270.8063628982
