state, stusps,Current Num Eligible,Current Num Ineligible,Current Percentage Eligible,Num Eligible,Num Ineligible,Percentage Eligible,Medicaid expansion (1),Party,ACP Participation July 23 (2),Avg claim $ Jan-Jul 2023 (3),Total dif,Weighed dif,Saving in $
01, AL,911822,1055721,46.34,878339,1089203,44.64,NO,Republican,0.40805113278688165,32.36473978407499,33483,13662.776079103158,442192.1925282581
02, AK,106704,164595,39.33,103467,167831,38.14,YES,Republican,0.1815114709851552,66.45711649543122,3237,587.5526315789474,39047.05368403929
04, AZ,1174568,1643126,41.69,1135488,1682209,40.3,YES,Democrat + Independent,0.36969592224545533,37.05534395563922,39080,14447.716641352394,535365.1095189257
05, AR,600752,582813,50.76,578396,605170,48.87,YES,Republican,0.31460902335739205,33.55282112076893,22356,7033.399326177857,235990.3894621824
06, CA,6013704,7415330,44.78,5888004,7541027,43.85,YES,Democrat,0.3887507599309843,33.027834567416924,125700,48865.97052332472,1613937.1904206409
08, CO,824852,1488185,35.66,797764,1515267,34.49,YES,Democrat,0.25822450572951267,33.27065476474206,27088,6994.785411201039,232721.09056952412
09, CT,568632,859687,39.81,556315,872005,38.95,YES,Democrat,0.2870837378128561,33.11529188315568,12317,3536.010398640949,117096.01645286869
10, DE,150742,244926,38.1,146636,249032,37.06,YES,Democrat,0.2923869923445357,37.3588928526845,4106,1200.5409905666636,44850.8822318357
12, FL,3685918,4879423,43.03,3558061,5007270,41.54,NO,Republican,0.3835587226845524,33.32730013975371,127857,49040.66760627881,1634393.048368351
13, GA,1665435,2335679,41.62,1610355,2390756,40.25,NO,Democrat,0.38856695097677185,33.27985319705536,55080,21402.267659800593,712264.3258022493
15, HI,207027,283055,42.24,203146,286934,41.45,YES,Democrat,0.23226439063503795,32.02070284901566,3881,901.4181000545823,28864.04112457205
16, ID,287136,406735,41.38,273629,420246,39.43,YES,Republican,0.15385392287975036,35.40100510895165,13507,2078.104936336788,73567.00346819627
17, IL,2000692,2990960,40.08,1942686,3048978,38.92,YES,Democrat,0.29696075157995333,34.51304589232248,58006,17225.505356146772,594504.6568751403
18, IN,1099146,1581549,41.0,1052979,1627714,39.28,YES,Republican,0.33797511886500975,33.056022648902626,46167,15603.297312640905,515782.94936421927
19, IA,497487,802975,38.25,480106,820355,36.92,YES,Republican,0.21367794535334592,34.583186307792246,17381,3713.936368186505,128439.75335627921
20, KS,449522,709501,38.78,427631,731393,36.9,NO,Republican,0.2563878964767019,31.634288256525583,21891,5612.587441771481,177550.20899795453
21, KY,873763,911924,48.93,848457,937230,47.51,YES,Republican,0.4671323917355164,32.429403238195825,25306,11821.252305258979,383356.15778769535
22, LA,948326,835601,53.16,924059,859868,51.8,YES,Republican,0.5090443581637538,34.13144572961346,24267,12352.979439559815,421625.0473403667
23, ME,236145,357485,39.78,226540,367088,38.16,YES,Republican + Independent,0.3737322407842639,31.38385185457831,9605,3589.698172732855,112658.55565569838
24, MD,857197,1498443,36.39,838944,1516692,35.61,YES,Democrat,0.28296995906425243,35.15150772694214,18253,5165.050662799799,181559.31828345478
25, MA,1116919,1642044,40.48,1097858,1661110,39.79,YES,Democrat,0.29063163935791225,34.17577685784042,19061,5539.729677801165,189324.5653212888
26, MI,1729801,2321999,42.69,1670511,2381286,41.23,YES,Democrat,0.41776655233752324,34.50820347803168,59290,24769.378888091753,854746.7666947324
27, MN,802896,1478112,35.2,775615,1505390,34.0,YES,Democrat,0.2720950160419282,33.23995030189668,27281,7423.024132639844,246740.95325872808
28, MS,576706,552902,51.05,557982,571627,49.4,YES,Republican,0.38471768977607307,34.271545176930694,18724,7203.454023367192,246873.4999917719
29, MO,965580,1503128,39.11,929466,1539240,37.65,NO,Republican,0.3541850494003604,32.3912243545274,36114,12791.038874044614,414317.40989666065
30, MT,182814,266128,40.72,175432,273508,39.08,YES,Democrat + Republican,0.2679280580261906,33.648526124447805,7382,1977.8449243493387,66551.56660707522
31, NE,281387,504595,35.8,270564,515418,34.42,YES,Republican,0.303176763674228,30.751567988850223,10823,3281.28211324617,100904.56999608772
32, NV,531329,660048,44.6,511755,679625,42.95,YES,Democrat,0.4275185431248812,33.693107600649505,19574,8368.247963126425,281952.2790505347
33, NH,169755,378270,30.98,162599,385427,29.67,YES,Democrat,0.20620305734735353,32.12724269150172,7156,1475.589078377662,47406.6084339685
34, NJ,1268437,2229507,36.26,1234732,2263212,35.3,YES,Democrat,0.21821895766206756,35.25442299867673,33705,7355.069967999987,259298.74783673527
35, NM,442228,391774,53.02,432681,401321,51.88,YES,Democrat,0.3799171468111472,39.859784209386504,9547,3627.069000606022,144574.1876767112
36, NY,3448259,4204186,45.06,3378533,4273910,44.15,YES,Democrat,0.42345282068429313,33.30091123309959,69726,29525.671375033024,983231.7615576442
37, NC,1753491,2426154,41.95,1691125,2488507,40.46,YES,Republican,0.46559862582699313,31.754005458516833,62366,29037.523898326253,922057.6923692648
38, ND,109296,213207,33.89,103886,218616,32.21,YES,Republican,0.13254830917874397,34.89359448437502,5410,717.0863526570049,25021.720399893067
39, OH,2004934,2828008,41.48,1935233,2897700,40.04,YES,Democrat + Republican,0.5080820615541459,31.917905120841112,69701,35413.82777238553,1130335.1948048093
40, OK,725560,822408,46.87,697818,850140,45.08,YES,Republican,0.4167939246926512,55.517678973390275,27742,11562.697058823529,641934.1033783286
41, OR,745083,957500,43.76,726004,976574,42.64,YES,Democrat,0.25488972369521246,32.52966718937397,19079,4863.0410383809585,158193.10650680016
42, PA,2115720,3113235,40.46,2043848,3185103,39.09,YES,Democrat,0.3129445295218649,34.20741436764292,71872,22491.949225795473,769391.4271027711
44, RI,190041,250140,43.17,186394,253789,42.34,YES,Democrat,0.37410348293263035,33.26642642229192,3647,1364.3554022553028,45387.228602982526
45, SC,890673,1159173,43.45,855472,1194382,41.73,NO,Republican,0.41158764215374216,32.11385416034863,35201,14488.296591453878,465275.043769826
46, SD,121432,235454,34.03,115077,241809,32.24,YES,Republican,0.1714128071677976,41.96304729034746,6355,1089.328389551354,45711.538725461505
47, TN,1200938,1569465,43.35,1151500,1618899,41.56,NO,Republican,0.3287471959418388,32.376960115254,49438,16252.603872972628,526209.9073642575
48, TX,4536368,6259834,42.02,4366291,6429904,40.44,NO,Republican,0.3349503391259263,32.55701148332192,170077,56967.34882752017,1854686.6299519797
49, UT,361325,740176,32.8,341679,759822,31.02,YES,Republican,0.16740330727184669,35.806145111927925,19646,3288.8053746627,117759.44249006113
