state, stusps,Current Num Eligible,Current Num Ineligible,Current Percentage Eligible,Num Eligible,Num Ineligible,Percentage Eligible,Medicaid expansion (1),Party,ACP Participation July 23 (2),Avg claim $ Jan-Jul 2023 (3),Total dif,Weighed dif,Saving in $
01, AL,911822,1055721,46.34,903552,1063990,45.92,NO,Republican,0.40805113278688165,32.36473978407499,8270,3374.5828681475114,109217.49640739165
02, AK,106704,164595,39.33,105915,165384,39.04,YES,Republican,0.1815114709851552,66.45711649543122,789,143.21255060728745,9517.493159316342
04, AZ,1174568,1643126,41.69,1166755,1650939,41.41,YES,Democrat + Independent,0.36969592224545533,37.05534395563922,7813,2888.4342405037423,107031.92427511171
05, AR,600752,582813,50.76,594943,588620,50.27,YES,Republican,0.31460902335739205,33.55282112076893,5809,1827.5638166830904,61319.92182795748
06, CA,6013704,7415330,44.78,5988015,7441024,44.59,YES,Democrat,0.3887507599309843,33.027834567416924,25689,9986.618271867055,329836.3761711682
08, CO,824852,1488185,35.66,820055,1492981,35.45,YES,Democrat,0.25822450572951267,33.27065476474206,4797,1238.7029539844723,41212.45833808355
09, CT,568632,859687,39.81,565747,862572,39.61,YES,Democrat,0.2870837378128561,33.11529188315568,2885,828.2365835900899,27427.296213893493
10, DE,150742,244926,38.1,149970,245698,37.9,YES,Democrat,0.2923869923445357,37.3588928526845,772,225.72275808998154,8432.752333896044
12, FL,3685918,4879423,43.03,3660888,4904443,42.74,NO,Republican,0.3835587226845524,33.32730013975371,25030,9600.474828794346,319957.9061033798
13, GA,1665435,2335679,41.62,1652376,2348739,41.3,NO,Democrat,0.38856695097677185,33.27985319705536,13059,5074.295812805663,168871.8197286052
15, HI,207027,283055,42.24,206360,283721,42.11,YES,Democrat,0.23226439063503795,32.02070284901566,667,154.9203485535703,4960.658446299808
16, ID,287136,406735,41.38,284129,409741,40.95,YES,Republican,0.15385392287975036,35.40100510895165,3007,462.63874609940933,16377.876614264176
17, IL,2000692,2990960,40.08,1987953,3003700,39.83,YES,Democrat,0.29696075157995333,34.51304589232248,12739,3782.9830143770255,130562.26638507072
18, IN,1099146,1581549,41.0,1088892,1591805,40.62,YES,Republican,0.33797511886500975,33.056022648902626,10254,3465.59686884181,114558.8485884009
19, IA,497487,802975,38.25,493574,806886,37.95,YES,Republican,0.21367794535334592,34.583186307792246,3913,836.1218001676426,28915.755991204223
20, KS,449522,709501,38.78,444869,714153,38.38,NO,Republican,0.2563878964767019,31.634288256525583,4653,1192.9728823060939,37738.84804108914
21, KY,873763,911924,48.93,869020,916668,48.67,YES,Republican,0.4671323917355164,32.429403238195825,4743,2215.608934001554,71850.8755388856
22, LA,948326,835601,53.16,942973,840955,52.86,YES,Republican,0.5090443581637538,34.13144572961346,5353,2724.9144492505743,93005.26964243552
23, ME,236145,357485,39.78,233460,360170,39.33,YES,Republican + Independent,0.3737322407842639,31.38385185457831,2685,1003.4710665057487,31492.787291572116
24, MD,857197,1498443,36.39,853014,1502626,36.21,YES,Democrat,0.28296995906425243,35.15150772694214,4183,1183.663338765768,41607.550998723025
25, MA,1116919,1642044,40.48,1113672,1645292,40.37,YES,Democrat,0.29063163935791225,34.17577685784042,3247,943.6809329951411,32251.0289910406
26, MI,1729801,2321999,42.69,1716904,2334898,42.37,YES,Democrat,0.41776655233752324,34.50820347803168,12897,5387.935225497037,185927.96508790628
27, MN,802896,1478112,35.2,797322,1483688,34.95,YES,Democrat,0.2720950160419282,33.23995030189668,5574,1516.6576194177078,50413.62389443753
28, MS,576706,552902,51.05,572442,557168,50.68,YES,Republican,0.38471768977607307,34.271545176930694,4264,1640.4362292051756,56220.28433907901
29, MO,965580,1503128,39.11,958179,1510528,38.81,NO,Republican,0.3541850494003604,32.3912243545274,7401,2621.3235506120673,84907.87923368184
30, MT,182814,266128,40.72,180631,268310,40.23,YES,Democrat + Republican,0.2679280580261906,33.648526124447805,2183,584.8869506711741,19680.583839507617
31, NE,281387,504595,35.8,278493,507489,35.43,YES,Republican,0.303176763674228,30.751567988850223,2894,877.3935540732159,26981.227531061435
32, NV,531329,660048,44.6,526938,664442,44.23,YES,Democrat,0.4275185431248812,33.693107600649505,4391,1877.2339228613532,63249.84455455695
33, NH,169755,378270,30.98,168298,379727,30.71,YES,Democrat,0.20620305734735353,32.12724269150172,1457,300.4378545550941,9652.239867005603
34, NJ,1268437,2229507,36.26,1261480,2236465,36.06,YES,Democrat,0.21821895766206756,35.25442299867673,6957,1518.149288455004,53521.4771903328
35, NM,442228,391774,53.02,439552,394452,52.7,YES,Democrat,0.3799171468111472,39.859784209386504,2676,1016.6582848666299,40523.77984946886
36, NY,3448259,4204186,45.06,3432891,4219556,44.86,YES,Democrat,0.42345282068429313,33.30091123309959,15368,6507.622948276216,216709.77413902813
37, NC,1753491,2426154,41.95,1737526,2442109,41.57,YES,Republican,0.46559862582699313,31.754005458516833,15965,7433.2820613279455,236036.47915010282
38, ND,109296,213207,33.89,108396,214107,33.61,YES,Republican,0.13254830917874397,34.89359448437502,900,119.29347826086958,4162.57825506539
39, OH,2004934,2828008,41.48,1991411,2841533,41.2,YES,Democrat + Republican,0.5080820615541459,31.917905120841112,13523,6870.793718396715,219301.34200865746
40, OK,725560,822408,46.87,718715,829251,46.43,YES,Republican,0.4167939246926512,55.517678973390275,6845,2852.9544145211976,158389.40731110444
41, OR,745083,957500,43.76,740622,961964,43.5,YES,Democrat,0.25488972369521246,32.52966718937397,4461,1137.0630574043428,36988.282830695294
42, PA,2115720,3113235,40.46,2098883,3130067,40.14,YES,Democrat,0.3129445295218649,34.20741436764292,16837,5269.04704355964,180240.47554164845
44, RI,190041,250140,43.17,189093,251090,42.96,YES,Democrat,0.37410348293263035,33.26642642229192,948,354.65010182013356,11797.941517857811
45, SC,890673,1159173,43.45,883160,1166690,43.08,NO,Republican,0.41158764215374216,32.11385416034863,7513,3092.2579555010648,99304.32100913902
46, SD,121432,235454,34.03,120191,236695,33.68,YES,Republican,0.1714128071677976,41.96304729034746,1241,212.72329369523683,8926.517633091695
47, TN,1200938,1569465,43.35,1189936,1580465,42.95,NO,Republican,0.3287471959418388,32.376960115254,11002,3616.8766497521106,117103.4710308176
48, TX,4536368,6259834,42.02,4502031,6294167,41.7,NO,Republican,0.3349503391259263,32.55701148332192,34337,11501.189794566932,374444.3682135805
49, UT,361325,740176,32.8,356639,744862,32.38,YES,Republican,0.16740330727184669,35.806145111927925,4686,784.4518978758736,28088.198488670794
50, VT,116455,153701,43.11,115680,154476,42.82,YES,Democrat + Independent,0.1877463397879009,32.18800401353212,775,145.5034133356232,4683.464452429663
51, VA,1142640,2188816,34.3,1133349,2198114,34.02,YES,Democrat,0.3433951200728138,34.285654888906045,9291,3190.4840605965132,109387.83543016766
53, WA,1139413,1882850,37.7,1132364,1889896,37.47,YES,Democrat,0.26063683668696075,33.51076363679798,7049,1837.2290618063864,61566.94883684993
54, WV,360464,361725,49.91,357762,364425,49.54,YES,Democrat + Republican,0.3081472768431799,34.67066775199152,2702,832.613942030272,28867.28134980749
55, WI,892049,1557930,36.41,884002,1565972,36.08,NO,Democrat + Republican,0.42885648658313613,32.29124405158115,8047,3451.0081475344964,111437.3463160314
56, WY,84623,158136,34.86,83930,158829,34.57,NO,Republican,0.22768041785330229,31.62121197093951,693,157.7825295723385,4989.274812917947
72,PR,934092,231895,80.11,931332,234652,79.88,YES,,0.6503417222286456,32.665586972785725,2760,1794.943153351062,58632.87168699538
