state, stusps,Current Num Eligible,Current Num Ineligible,Current Percentage Eligible,Num Eligible,Num Ineligible,Percentage Eligible,Medicaid expansion (1),Party,ACP Participation July 23 (2),Avg claim $ Jan-Jul 2023 (3),Total dif,Weighed dif,Saving in $
01, AL,911822,1055721,46.34,845888,1121654,42.99,NO,Republican,0.4080511327868816,32.36473978407499,65934,26904.44338917025,870755.3093258718
02, AK,106704,164595,39.33,100766,170533,37.14,YES,Republican,0.1815114709851552,66.45711649543122,5938,1077.8151147098515,71628.48463880917
04, AZ,1174568,1643126,41.69,1096669,1721018,38.92,YES,Democrat + Independent,0.3696959222454553,37.05534395563922,77899,28798.94264699872,1067154.7253432646
05, AR,600752,582813,50.76,557365,626207,47.09,YES,Republican,0.314609023357392,33.55282112076893,43387,13649.941696407166,457994.0520484749
06, CA,6013704,7415330,44.78,5773441,7655590,42.99,YES,Democrat,0.3887507599309843,33.027834567416924,240263,93402.42383329807,3084879.8025619285
08, CO,824852,1488185,35.66,769110,1543926,33.25,YES,Democrat,0.2582245057295126,33.27065476474206,55742,14393.950398374493,478896.1544051392
09, CT,568632,859687,39.81,543325,884992,38.04,YES,Democrat,0.2870837378128561,33.11529188315568,25307,7265.22815282995,240590.15087868375
10, DE,150742,244926,38.1,143079,252587,36.16,YES,Democrat,0.2923869923445357,37.3588928526845,7663,2240.561522336177,83704.8978428049
12, FL,3685918,4879423,43.03,3425440,5139890,39.99,NO,Republican,0.3835587226845524,33.32730013975371,260478,99908.60896742683,3329684.197602723
13, GA,1665435,2335679,41.62,1551852,2449262,38.79,NO,Democrat,0.3885669509767718,33.27985319705536,113583,44134.59999279467,1468793.008670967
15, HI,207027,283055,42.24,199698,290381,40.75,YES,Democrat,0.2322643906350379,32.02070284901566,7329,1702.2657189641927,54507.74475701842
16, ID,287136,406735,41.38,261973,431900,37.76,YES,Republican,0.1538539228797503,35.40100510895165,25163,3871.426261423157,137052.38085957078
17, IL,2000692,2990960,40.08,1886468,3105190,37.79,YES,Democrat,0.2969607515799533,34.51304589232248,114224,33920.04488846858,1170684.0659053547
18, IN,1099146,1581549,41.0,1012281,1668410,37.76,YES,Republican,0.3379751188650097,33.056022648902626,86865,29358.208700209067,970465.611725321
19, IA,497487,802975,38.25,461360,839103,35.48,YES,Republican,0.2136779453533459,34.583186307792246,36127,7719.543131780327,266966.3983373971
20, KS,449522,709501,38.78,406918,752102,35.11,NO,Republican,0.2563878964767019,31.634288256525583,42604,10923.149941493408,345546.073918453
21, KY,873763,911924,48.93,824261,961426,46.16,YES,Republican,0.4671323917355164,32.429403238195825,49502,23123.987655691533,749897.1201614833
