state, stusps,Current Num Eligible,Current Num Ineligible,Current Percentage Eligible,Num Eligible,Num Ineligible,Percentage Eligible,Medicaid expansion (1),Party,ACP Participation Sep 23 (2),Avg claim $ Jan-Sep 2023 (3),Total dif,Weighed dif,Saving in $
01, AL,911822,1055721,46.34,766269,1201276,38.95,NO,Republican,0.420261849352176,32.31269263,145553,61170.37295875727,1976579.4594787874
02, AK,106704,164595,39.33,95419,175880,35.17,YES,Republican,0.197649572649572,66.94490927,11285,2230.47542735042,149318.97511293832
04, AZ,1174568,1643126,41.69,1011479,1806215,35.9,YES,Democrat + Independent,0.395275539602645,36.72991326,163089,64465.09247825577,2367797.255024213
05, AR,600752,582813,50.76,512900,670670,43.33,YES,Republican,0.327144978293871,33.2862096,87852,28740.340633073156,956657.0022878697
06, CA,6013704,7415330,44.78,5519587,7909440,41.1,YES,Democrat,0.427501420089848,33.00164891,494117,211235.71919053543,6971127.0419774
08, CO,824852,1488185,35.66,720082,1592960,31.13,YES,Democrat,0.270830403514812,33.38255308,104770,28374.901376246857,947226.6513323258
09, CT,568632,859687,39.81,519331,908987,36.36,YES,Democrat,0.299947945244024,33.12441214,49301,14787.733648475629,489834.9839886526
10, DE,150742,244926,38.1,133664,262005,33.78,YES,Democrat,0.307684653248596,36.83371311,17078,5254.638508179522,193547.84730704292
12, FL,3685918,4879423,43.03,3132741,5432596,36.57,NO,Republican,0.416985402279703,33.25919813,553177,230666.73387687927,7671790.604011111
13, GA,1665435,2335679,41.62,1424213,2576901,35.6,NO,Democrat,0.395790889467316,33.15203674,241222,95473.4699390849,3165139.983115828
15, HI,207027,283055,42.24,191078,299004,38.99,YES,Democrat,0.253479014814492,32.1864799,15949,4042.7368072763325,130121.46698838986
16, ID,287136,406735,41.38,240650,453226,34.68,YES,Republican,0.163692466287752,34.74310399,46486,7609.407987852439,264374.45302429394
17, IL,2000692,2990960,40.08,1757770,3233892,35.21,YES,Democrat,0.31331309366959,34.39314234,242922,76110.64334040413,2617684.1899954923
18, IN,1099146,1581549,41.0,931185,1749507,34.74,YES,Republican,0.353259712540463,32.91961402,167961,59333.85457800871,1953247.5910268566
19, IA,497487,802975,38.25,425201,875263,32.7,YES,Republican,0.2266109466177,34.44123704,72286,16380.798887207064,564174.9773788666
20, KS,449522,709501,38.78,364478,794542,31.45,NO,Republican,0.270756492451982,31.44574061,85044,23026.21514408636,724076.3886509935
21, KY,873763,911924,48.93,773116,1012571,43.3,YES,Republican,0.485875460508169,32.22560462,100647,48901.907473765685,1575893.5354133958
22, LA,948326,835601,53.16,854749,929179,47.91,YES,Republican,0.535368639054502,33.8759307,93577,50098.191136803136,1697122.851145697
23, ME,236145,357485,39.78,197846,395782,33.33,YES,Republican + Independent,0.393156746913972,31.15714349,38299,15057.510250058214,469149.00746320956
24, MD,857197,1498443,36.39,782192,1573449,33.21,YES,Democrat,0.299273095916107,34.9034815,75005,22446.978559187606,783477.7008715012
25, MA,1116919,1642044,40.48,1033150,1725822,37.45,YES,Democrat,0.30350186539937,34.08828678,83769,25424.047762639828,866662.2312412837
26, MI,1729801,2321999,42.69,1508596,2543204,37.23,YES,Democrat,0.453852784222,34.57002623,221205,100394.50513382751,3470640.675824287
27, MN,802896,1478112,35.2,702254,1578755,30.79,YES,Democrat,0.28654396086168,33.18209217,100642,28838.3573090412,956917.0302599982
28, MS,576706,552902,51.05,495822,633788,43.89,YES,Republican,0.387259712921315,34.00269539,80884,31323.11461992764,1065070.325087455
29, MO,965580,1503128,39.11,792666,1676046,32.11,NO,Republican,0.375754468816669,32.36481477,172914,64973.208220965505,2102845.84908419
30, MT,182814,266128,40.72,152946,295999,34.07,YES,Democrat + Republican,0.280618552189657,33.62124795,29868,8381.514916800674,281796.991214379
31, NE,281387,504595,35.8,229599,556381,29.21,YES,Republican,0.31767992124725,30.75352915,51788,16452.00776155258,505957.30027093354
32, NV,531329,660048,44.6,457869,733512,38.43,YES,Democrat,0.456686911499278,33.42231442,73460,33548.22051873696,1121259.1744087222
33, NH,169755,378270,30.98,144653,403380,26.39,YES,Democrat,0.210173485317074,32.22608682,25102,5275.774828429191,170017.57766372972
34, NJ,1268437,2229507,36.26,1125108,2372843,32.16,YES,Democrat,0.226280848004276,35.11538334,143329,32432.607663604875,1138883.450823307
35, NM,442228,391774,53.02,397277,436725,47.64,YES,Democrat,0.384374123755167,39.7029752,44951,17278.001236918513,685988.054614945
36, NY,3448259,4204186,45.06,3166926,4485517,41.38,YES,Democrat,0.453001645178044,33.39394907,281333,127444.31184287465,4255868.858942154
37, NC,1753491,2426154,41.95,1493124,2686499,35.72,YES,Republican,0.490833428857062,31.58749598,260367,127796.82737122665,4036781.770845376
38, ND,109296,213207,33.89,80169,242334,24.86,YES,Republican,0.144158981115502,34.91900364,29127,4198.9186429512265,146622.05537727775
39, OH,2004934,2828008,41.48,1722563,3110368,35.64,YES,Democrat + Republican,0.543492703500464,31.83051081,282371,153466.57818012952,4884919.575736322
40, OK,725560,822408,46.87,610480,937488,39.44,YES,Republican,0.449122057445283,55.47480866,115080,51684.966370803166,2867213.6200188403
41, OR,745083,957500,43.76,672363,1030216,39.49,YES,Democrat,0.277441573623341,32.7726764,72720,20175.551233889357,661206.8117798766
42, PA,2115720,3113235,40.46,1836927,3392026,35.13,YES,Democrat,0.333723271510407,34.17820462,278793,93039.7120342009,3179930.315690795
44, RI,190041,250140,43.17,174182,266003,39.57,YES,Democrat,0.406975336900984,32.82142666,15859,6454.2218679127045,211836.76968506505
45, SC,890673,1159173,43.45,753317,1296537,36.75,NO,Republican,0.441472908688149,32.06944213,137356,60638.95284576939,1944657.3891112
46, SD,121432,235454,34.03,95535,261351,26.77,YES,Republican,0.18172310428882,41.67870231,25897,4706.083231767571,196143.44206292334
47, TN,1200938,1569465,43.35,1007728,1762675,36.37,NO,Republican,0.345189343663036,32.23022643,193210,66694.03308913519,2149563.7879927396
48, TX,4536368,6259834,42.02,3848244,6947945,35.64,NO,Republican,0.3591437026273,32.38563847,688124,247135.40122670817,8003637.757266566
49, UT,361325,740176,32.8,287743,813756,26.12,YES,Republican,0.182580779077008,35.78005958,73582,13434.658886044403,480692.89537964517
50, VT,116455,153701,43.11,104505,165652,38.68,YES,Democrat + Independent,0.206938302348546,33.22340012,11950,2472.9127130651245,82158.56852799738
51, VA,1142640,2188816,34.3,984730,2346727,29.56,YES,Democrat,0.371625358818175,34.04288065,157910,58683.36041097801,1997750.6346118595
53, WA,1139413,1882850,37.7,1030565,1991705,34.1,YES,Democrat,0.279066501786446,33.5620539,108848,30375.830586451073,1019475.2633997396
54, WV,360464,361725,49.91,318122,404067,44.05,YES,Democrat + Republican,0.324190487815704,34.52164518,42342,13726.873635092537,473874.26106136135
55, WI,892049,1557930,36.41,764119,1685855,31.19,NO,Democrat + Republican,0.460510577333756,32.23422865,127930,58913.11815830741,1899018.9211993478
56, WY,84623,158136,34.86,68282,174477,28.13,NO,Republican,0.244437091570849,31.65394221,16341,3994.3465133592435,126436.8137005885
72,PR,934092,231895,80.11,854311,311673,73.27,YES,,0.680682416721265,32.68482107,79781,54305.52388843924,1774966.331406247
