state, stusps,Current Num Eligible,Current Num Ineligible,Current Percentage Eligible,Num Eligible,Num Ineligible,Percentage Eligible,Medicaid expansion (1),Party,ACP Participation Sep 23 (2),Avg claim $ Jan-Sep 2023 (3),Total dif,Weighed dif,Saving in $
01, AL,911822,1055721,46.34,742090,1225456,37.72,NO,Republican,0.420261849352176,32.31269263,169732,71331.88421424353,2304925.2493336005
02, AK,106704,164595,39.33,94555,176744,34.85,YES,Republican,0.197649572649572,66.94490927,12149,2401.2446581196505,160751.10577289216
04, AZ,1174568,1643126,41.69,988302,1829395,35.07,YES,Democrat + Independent,0.395275539602645,36.72991326,186266,73626.39365962628,2704291.0527646868
05, AR,600752,582813,50.76,499529,684043,42.21,YES,Republican,0.327144978293871,33.2862096,101223,33114.596137840505,1102259.3878635096
06, CA,6013704,7415330,44.78,5451345,7977690,40.59,YES,Democrat,0.427501420089848,33.00164891,562359,240409.27110030683,7933902.359561335
08, CO,824852,1488185,35.66,707293,1605746,30.58,YES,Democrat,0.270830403514812,33.38255308,117559,31838.551406797786,1062852.132327736
09, CT,568632,859687,39.81,512692,915625,35.89,YES,Democrat,0.299947945244024,33.12441214,55940,16779.088056950703,555797.4281317868
10, DE,150742,244926,38.1,130350,265319,32.94,YES,Democrat,0.307684653248596,36.83371311,20392,6274.30544904537,231105.96687464687
12, FL,3685918,4879423,43.03,3055237,5510099,35.67,NO,Republican,0.416985402279703,33.25919813,630681,262984.7704951654,8746662.587071283
13, GA,1665435,2335679,41.62,1390705,2610407,34.76,NO,Democrat,0.395790889467316,33.15203674,274730,108735.63106335573,3604807.6359594543
15, HI,207027,283055,42.24,188363,301720,38.43,YES,Democrat,0.253479014814492,32.1864799,18664,4730.9323324976785,152272.05842819664
16, ID,287136,406735,41.38,235138,458731,33.89,YES,Republican,0.163692466287752,34.74310399,51998,8511.68086203053,295722.21331921953
17, IL,2000692,2990960,40.08,1723792,3267862,34.53,YES,Democrat,0.31331309366959,34.39314234,276900,86756.39563710947,2983825.0640524607
18, IN,1099146,1581549,41.0,909464,1771229,33.93,YES,Republican,0.353259712540463,32.91961402,189682,67007.00879410011,2205844.866136521
19, IA,497487,802975,38.25,416253,884210,32.01,YES,Republican,0.2266109466177,34.44123704,81234,18408.513637542244,634011.9817446651
