state, stusps,Current Num Eligible,Current Num Ineligible,Current Percentage Eligible,Num Eligible,Num Ineligible,Percentage Eligible,Medicaid expansion (1),Party,ACP Participation July 23 (2),Avg claim $ Jan-Jul 2023 (3),Total dif,Weighed dif,Saving in $
01, AL,911822,1055721,46.34,736279,1231264,37.42,NO,Republican,0.40805113278688165,32.24541303,175543,71630.52000280756,2309755.703044207
02, AK,106704,164595,39.33,94422,176877,34.8,YES,Republican,0.1815114709851552,66.23260186,12282,2229.323886639676,147653.92140079345
04, AZ,1174568,1643126,41.69,983580,1834111,34.91,YES,Democrat + Independent,0.36969592224545533,37.08461108,190988,70607.48479781502,2618451.1130639827
05, AR,600752,582813,50.76,497352,686214,42.02,YES,Republican,0.31460902335739205,33.21717515,103400,32530.57301515434,1080573.7415742453
06, CA,6013704,7415330,44.78,5433722,7995313,40.46,YES,Democrat,0.3887507599309843,32.83650483,579982,225468.44324629212,7403595.625669453
08, CO,824852,1488185,35.66,703607,1609435,30.42,YES,Democrat,0.25822450572951267,32.80043456,121245,31308.430197174763,1026930.1158587587
09, CT,568632,859687,39.81,510309,918008,35.73,YES,Democrat,0.2870837378128561,32.81121389,58323,16743.584840459207,549377.3434856685
10, DE,150742,244926,38.1,129743,265926,32.79,YES,Democrat,0.2923869923445357,36.42325724,20999,6139.834452242905,223632.76966505783
12, FL,3685918,4879423,43.03,3035136,5530203,35.44,NO,Republican,0.3835587226845524,33.13608085,650782,249613.11266609837,8271200.282523994
13, GA,1665435,2335679,41.62,1380730,2620391,34.51,NO,Democrat,0.38856695097677185,33.01602169,284705,110626.95377784183,3652461.9054278536
15, HI,207027,283055,42.24,186999,303083,38.16,YES,Democrat,0.23226439063503795,31.85994969,20028,4651.79121563854,148205.83409862782
16, ID,287136,406735,41.38,233672,460196,33.68,YES,Republican,0.15385392287975036,34.7319828,53464,8225.646132842974,285693.0000047887
17, IL,2000692,2990960,40.08,1715122,3276533,34.36,YES,Democrat,0.29696075157995333,33.96886151,285570,84803.08182868727,2880664.142259876
18, IN,1099146,1581549,41.0,904011,1776684,33.72,YES,Republican,0.33797511886500975,32.70169966,195135,65950.77481972368,2156702.430498895
19, IA,497487,802975,38.25,413709,886753,31.81,YES,Republican,0.21367794535334592,34.03591974,83778,17901.510905812615,609294.3884149728
20, KS,449522,709501,38.78,347572,811450,29.99,NO,Republican,0.2563878964767019,31.41999824,101950,26138.74604579976,821279.3547548354
21, KY,873763,911924,48.93,751333,1034355,42.08,YES,Republican,0.4671323917355164,32.12541146,122430,57191.01872017927,1837285.0082023218
22, LA,948326,835601,53.16,836182,947741,46.87,YES,Republican,0.5090443581637538,34.00828118,112144,57086.270501916006,1941405.9387466991
23, ME,236145,357485,39.78,192871,400757,32.49,YES,Republican + Independent,0.3737322407842639,31.14303188,43274,16172.888987698238,503672.7973355871
24, MD,857197,1498443,36.39,771883,1583754,32.77,YES,Democrat,0.28296995906425243,34.49530866,85314,24141.299087607633,832761.5634804016
25, MA,1116919,1642044,40.48,1021093,1737882,37.01,YES,Democrat,0.29063163935791225,33.70589164,95826,27850.0674731113,938711.356415378
26, MI,1729801,2321999,42.69,1473835,2577966,36.37,YES,Democrat,0.41776655233752324,34.12741787,255966,106934.03333562647,3649382.440169435
27, MN,802896,1478112,35.2,685340,1595670,30.05,YES,Democrat,0.2720950160419282,32.99918093,117556,31986.401705824912,1055525.057190177
28, MS,576706,552902,51.05,478674,650935,42.38,YES,Republican,0.38471768977607307,33.90314332,98032,37714.64456412799,1278644.9999204902
29, MO,965580,1503128,39.11,761686,1707024,30.85,NO,Republican,0.3541850494003604,32.08781078,203894,72216.20646243708,2317259.968216094
30, MT,182814,266128,40.72,148890,300053,33.16,YES,Democrat + Republican,0.2679280580261906,33.27425979,33924,9089.191440480488,302436.1172715921
31, NE,281387,504595,35.8,222412,563569,28.3,YES,Republican,0.303176763674228,30.68420641,58975,17879.8496376876,548628.99686257
32, NV,531329,660048,44.6,445745,745634,37.41,YES,Democrat,0.4275185431248812,33.55411726,85584,36588.74699479983,1227703.107059986
33, NH,169755,378270,30.98,141094,406939,25.75,YES,Democrat,0.20620305734735353,31.75315651,28661,5909.985826632499,187660.70492494348
34, NJ,1268437,2229507,36.26,1099973,2397983,31.45,YES,Democrat,0.21821895766206756,34.8152776,168464,36762.038483582546,1279880.5749478093
35, NM,442228,391774,53.02,390405,443596,46.81,YES,Democrat,0.3799171468111472,39.69763157,51823,19688.44629919408,781584.6873711366
36, NY,3448259,4204186,45.06,3121893,4530558,40.8,YES,Democrat,0.42345282068429313,33.14454837,326366,138200.60327545,4580596.580026333
37, NC,1753491,2426154,41.95,1446167,2733468,34.6,YES,Republican,0.46559862582699313,31.56738848,307324,143089.63208365484,4516966.003445004
