state, stusps,Current Num Eligible,Current Num Ineligible,Current Percentage Eligible,Num Eligible,Num Ineligible,Percentage Eligible,Medicaid expansion (1),Party,ACP Participation July 23 (2),Avg claim $ Jan-Jul 2023 (3),Total dif,Weighed dif,Saving in $
01, AL,911822,1055721,46.34,876521,1091024,44.55,NO,Republican,0.40805113278688165,32.24541303,35301,14404.61303850971,464482.6969640689
02, AK,106704,164595,39.33,102718,168581,37.86,YES,Republican,0.1815114709851552,66.23260186,3986,723.5047233468285,47919.60028525994
04, AZ,1174568,1643126,41.69,1133517,1684174,40.23,YES,Democrat + Independent,0.36969592224545533,37.08461108,41051,15176.387304098187,562810.420771931
05, AR,600752,582813,50.76,577834,605728,48.82,YES,Republican,0.31460902335739205,33.21717515,22918,7210.209597304711,239502.79506188157
06, CA,6013704,7415330,44.78,5878579,7550462,43.78,YES,Democrat,0.3887507599309843,32.83650483,135125,52529.946435674254,1724899.839854659
08, CO,824852,1488185,35.66,796014,1517017,34.41,YES,Democrat,0.25822450572951267,32.80043456,28838,7446.678296227687,244254.28414478851
09, CT,568632,859687,39.81,554683,873637,38.83,YES,Democrat,0.2870837378128561,32.81121389,13949,4004.53105875153,131393.5250978446
10, DE,150742,244926,38.1,146497,249171,37.03,YES,Democrat,0.2923869923445357,36.42325724,4245,1241.182782502554,45207.91976894949
12, FL,3685918,4879423,43.03,3550087,5015244,41.45,NO,Republican,0.3835587226845524,33.13608085,135831,52099.16486096544,1726362.1390504297
13, GA,1665435,2335679,41.62,1606968,2394144,40.16,NO,Democrat,0.38856695097677185,33.01602169,58467,22718.34392275892,750069.3357146882
15, HI,207027,283055,42.24,202929,287152,41.41,YES,Democrat,0.23226439063503795,31.85994969,4098,951.8194728223856,30324.920518083527
16, ID,287136,406735,41.38,273214,420657,39.38,YES,Republican,0.15385392287975036,34.7319828,13922,2141.9543143318847,74394.32040376081
17, IL,2000692,2990960,40.08,1938417,3053240,38.83,YES,Democrat,0.29696075157995333,33.96886151,62275,18493.230804641593,628193.9960753362
18, IN,1099146,1581549,41.0,1050873,1629819,39.2,YES,Republican,0.33797511886500975,32.70169966,48273,16315.072912970616,533530.6143309665
19, IA,497487,802975,38.25,479501,820960,36.87,YES,Republican,0.21367794535334592,34.03591974,17986,3843.2115251252794,130807.239013007
20, KS,449522,709501,38.78,426727,732297,36.82,NO,Republican,0.2563878964767019,31.41999824,22795,5844.36210018642,183629.84690178005
21, KY,873763,911924,48.93,847627,938060,47.47,YES,Republican,0.4671323917355164,32.12541146,26136,12208.972190399456,392218.25512028
22, LA,948326,835601,53.16,922805,861124,51.73,YES,Republican,0.5090443581637538,34.00828118,25521,12991.321064697162,441812.49966787803
23, ME,236145,357485,39.78,226101,367527,38.09,YES,Republican + Independent,0.3737322407842639,31.14303188,10044,3753.766626437147,116903.6737172121
24, MD,857197,1498443,36.39,838041,1517596,35.58,YES,Democrat,0.28296995906425243,34.49530866,19156,5420.57253583482,186984.32273754102
25, MA,1116919,1642044,40.48,1096518,1662454,39.74,YES,Democrat,0.29063163935791225,33.70589164,20401,5929.176074540768,199848.1662829517
26, MI,1729801,2321999,42.69,1667682,2384116,41.16,YES,Democrat,0.41776655233752324,34.12741787,62119,25951.240464654606,885648.8275821208
27, MN,802896,1478112,35.2,774201,1506805,33.94,YES,Democrat,0.2720950160419282,32.99918093,28695,7807.76648532313,257649.89890836817
28, MS,576706,552902,51.05,556509,573099,49.27,YES,Republican,0.38471768977607307,33.90314332,20197,7770.143180407348,263432.27786227094
29, MO,965580,1503128,39.11,927744,1540963,37.58,NO,Republican,0.3541850494003604,32.08781078,37836,13400.945529112036,430007.00441123394
30, MT,182814,266128,40.72,175225,273715,39.03,YES,Democrat + Republican,0.2679280580261906,33.27425979,7589,2033.3060323607604,67656.75315334609
31, NE,281387,504595,35.8,270162,515820,34.37,YES,Republican,0.303176763674228,30.68420641,11225,3403.1591722432095,104423.23848719538
32, NV,531329,660048,44.6,511123,680258,42.9,YES,Democrat,0.4275185431248812,33.55411726,20206,8638.43968238135,289855.21804606094
33, NH,169755,378270,30.98,161777,386253,29.52,YES,Democrat,0.20620305734735353,31.75315651,7978,1645.0879915171865,52236.736467366776
34, NJ,1268437,2229507,36.26,1232875,2265067,35.25,YES,Democrat,0.21821895766206756,34.8152776,35562,7760.302572378447,270177.0883173497
35, NM,442228,391774,53.02,432199,401803,51.82,YES,Democrat,0.3799171468111472,39.69763157,10029,3810.189065368995,151255.48172906102
36, NY,3448259,4204186,45.06,3373289,4279157,44.08,YES,Democrat,0.42345282068429313,33.14454837,74970,31746.257966701454,1052215.3827438343
37, NC,1753491,2426154,41.95,1686627,2493008,40.35,YES,Republican,0.46559862582699313,31.56738848,66864,31131.78651729607,982749.1990679114
