state, stusps,Current Num Eligible,Current Num Ineligible,Current Percentage Eligible,Num Eligible,Num Ineligible,Percentage Eligible,Medicaid expansion (1),Party,ACP Participation July 23 (2),Avg claim $ Jan-Jul 2023 (3),Total dif,Weighed dif,Saving in $
01, AL,911822,1055721,46.34,726804,1240740,36.94,NO,Republican,0.40805113278688165,32.24541303,185018,75496.80448596326,2434425.6430950426
02, AK,106704,164595,39.33,94306,176993,34.76,YES,Republican,0.1815114709851552,66.23260186,12398,2250.379217273954,149048.47073172423
04, AZ,1174568,1643126,41.69,974480,1843219,34.58,YES,Democrat + Independent,0.36969592224545533,37.08461108,200088,73971.71769024867,2743212.381462428
05, AR,600752,582813,50.76,492589,690978,41.62,YES,Republican,0.31460902335739205,33.21717515,108163,34029.0557934056,1130349.106478676
06, CA,6013704,7415330,44.78,5407067,8021967,40.26,YES,Democrat,0.3887507599309843,32.83650483,606637,235830.5947522525,7743852.463644112
08, CO,824852,1488185,35.66,698686,1614359,30.21,YES,Democrat,0.25822450572951267,32.80043456,126166,32579.152989869694,1068610.3756644493
09, CT,568632,859687,39.81,508409,919910,35.59,YES,Democrat,0.2870837378128561,32.81121389,60223,17289.043942303633,567274.5187445333
10, DE,150742,244926,38.1,128710,266957,32.53,YES,Democrat,0.2923869923445357,36.42325724,22032,6441.87021533481,234633.895959834
12, FL,3685918,4879423,43.03,3001308,5564032,35.04,NO,Republican,0.3835587226845524,33.13608085,684610,262588.1371370714,8701141.742424885
13, GA,1665435,2335679,41.62,1365564,2635546,34.13,NO,Democrat,0.38856695097677185,33.01602169,299871,116519.96015635555,3847025.5318401707
15, HI,207027,283055,42.24,185808,304274,37.91,YES,Democrat,0.23226439063503795,31.85994969,21219,4928.41810488487,157019.15287291713
16, ID,287136,406735,41.38,231698,462172,33.39,YES,Republican,0.15385392287975036,34.7319828,55438,8529.3537766076,296241.3686642502
17, IL,2000692,2990960,40.08,1702210,3289443,34.1,YES,Democrat,0.29696075157995333,33.96886151,298482,88637.43905308763,3010912.8917953996
18, IN,1099146,1581549,41.0,897122,1783571,33.47,YES,Republican,0.33797511886500975,32.70169966,202024,68279.08541358473,2232842.144254535
19, IA,497487,802975,38.25,410298,890165,31.55,YES,Republican,0.21367794535334592,34.03591974,87189,18630.366377412876,634101.6547484192
20, KS,449522,709501,38.78,343011,816011,29.59,NO,Republican,0.2563878964767019,31.41999824,106511,27308.131241629995,858021.4355497035
21, KY,873763,911924,48.93,745246,1040443,41.73,YES,Republican,0.4671323917355164,32.12541146,128517,60034.453588673365,1928631.5233124057
22, LA,948326,835601,53.16,830499,953427,46.55,YES,Republican,0.5090443581637538,34.00828118,117827,59979.16958936062,2039788.464337881
23, ME,236145,357485,39.78,190941,402687,32.17,YES,Republican + Independent,0.3737322407842639,31.14303188,45204,16894.19221241187,526136.3666579905
24, MD,857197,1498443,36.39,766711,1588924,32.55,YES,Democrat,0.28296995906425243,34.49530866,90486,25604.819715887945,883246.1592832082
25, MA,1116919,1642044,40.48,1016479,1742493,36.84,YES,Democrat,0.29063163935791225,33.70589164,100440,29191.041857108707,983910.0936944104
26, MI,1729801,2321999,42.69,1461877,2589925,36.08,YES,Democrat,0.41776655233752324,34.12741787,267924,111929.68576847858,3819871.158278661
27, MN,802896,1478112,35.2,679283,1601721,29.78,YES,Democrat,0.2720950160419282,32.99918093,123613,33634.48121799087,1109910.3311991675
28, MS,576706,552902,51.05,471371,658238,41.73,YES,Republican,0.38471768977607307,33.90314332,105335,40524.237852562655,1373899.0438492007
29, MO,965580,1503128,39.11,750820,1717893,30.41,NO,Republican,0.3541850494003604,32.08781078,214760,76064.7812092214,2440752.306463596
30, MT,182814,266128,40.72,147878,301065,32.94,YES,Democrat + Republican,0.2679280580261906,33.27425979,34936,9360.334635202993,311458.2063730793
31, NE,281387,504595,35.8,218587,567394,27.81,YES,Republican,0.303176763674228,30.68420641,62800,19039.50075874152,584211.9712245765
32, NV,531329,660048,44.6,441507,749873,37.06,YES,Democrat,0.4275185431248812,33.55411726,89822,38400.57058056308,1288497.2481111197
33, NH,169755,378270,30.98,140115,407920,25.57,YES,Democrat,0.20620305734735353,31.75315651,29640,6111.8586197755585,194070.80332072588
34, NJ,1268437,2229507,36.26,1093856,2404095,31.27,YES,Democrat,0.21821895766206756,34.8152776,174581,38096.88384760141,1326353.5868491994
35, NM,442228,391774,53.02,388712,445289,46.61,YES,Democrat,0.3799171468111472,39.69763157,53516,20331.646028745352,807118.1932607866
36, NY,3448259,4204186,45.06,3105886,4546564,40.59,YES,Democrat,0.42345282068429313,33.14454837,342373,144978.81257614348,4805257.266055152
37, NC,1753491,2426154,41.95,1430845,2748791,34.23,YES,Republican,0.46559862582699313,31.56738848,322646,150223.53422857603,4742164.663832037
38, ND,109296,213207,33.89,73073,249429,22.66,YES,Republican,0.13254830917874397,34.49025478,36223,4801.297403381643,165597.9707171853
39, OH,2004934,2828008,41.48,1658149,3174785,34.31,YES,Democrat + Republican,0.5080820615541459,31.67799277,346785,176195.2377160545,5581511.4664776055
40, OK,725560,822408,46.87,584144,963820,37.74,YES,Republican,0.4167939246926512,55.28536162,141416,58941.32965433596,3258592.7243035934
41, OR,745083,957500,43.76,655551,1047026,38.5,YES,Democrat,0.25488972369521246,32.17613133,89532,22820.78674187976,734284.6312606459
42, PA,2115720,3113235,40.46,1768338,3460615,33.82,YES,Democrat,0.3129445295218649,33.76320311,347382,108711.29655436448,3670441.585916451
44, RI,190041,250140,43.17,169760,270422,38.57,YES,Democrat,0.37410348293263035,32.9041516,20281,7587.192737356676,249650.14004840303
45, SC,890673,1159173,43.45,719890,1329964,35.12,NO,Republican,0.41158764215374216,32.02236811,170783,70292.17228994255,2250921.816320082
46, SD,121432,235454,34.03,90337,266549,25.31,YES,Republican,0.1714128071677976,41.81758561,31095,5330.081238882667,222891.1285152308
47, TN,1200938,1569465,43.35,961091,1809311,34.69,NO,Republican,0.3287471959418388,32.06883965,239847,78849.02870506221,2528596.8581008874
48, TX,4536368,6259834,42.02,3686752,7109450,34.15,NO,Republican,0.3349503391259263,32.3474582,849616,284579.167326813,9205412.719694888
49, UT,361325,740176,32.8,272677,828821,24.76,YES,Republican,0.16740330727184669,35.30417821,88648,14839.968383034666,523912.88842542144
50, VT,116455,153701,43.11,102407,167750,37.91,YES,Democrat + Independent,0.1877463397879009,31.79123151,14048,2637.460581340432,83848.11993989286
51, VA,1142640,2188816,34.3,952235,2379222,28.58,YES,Democrat,0.3433951200728138,33.83298936,190405,65384.147837464116,2212141.1780975903
53, WA,1139413,1882850,37.7,1006244,2016028,33.29,YES,Democrat,0.26063683668696075,33.08364313,133169,34708.746904765874,1148291.7960867663
54, WV,360464,361725,49.91,307507,414680,42.58,YES,Democrat + Republican,0.3081472768431799,34.13141038,52957,16318.555339784278,556975.3091109175
55, WI,892049,1557930,36.41,734261,1715722,29.97,NO,Democrat + Republican,0.42885648658313613,32.00530486,157788,67668.40730497989,2165748.0051865326
56, WY,84623,158136,34.86,64641,178118,26.63,NO,Republican,0.22768041785330229,31.47968644,19982,4549.510109544686,143217.15170407676
72,PR,934092,231895,80.11,825683,340302,70.81,YES,,0.6503417222286456,32.68862782,108409,70502.89576508524,2304642.9198971256
