state, stusps,Current Num Eligible,Current Num Ineligible,Current Percentage Eligible,Num Eligible,Num Ineligible,Percentage Eligible,Medicaid expansion (1),Party,ACP Participation Sep 23 (2),Avg claim $ Jan-Sep 2023 (3),Total dif,Weighed dif,Saving in $
01, AL,911822,1055721,46.34,868547,1098999,44.14,NO,Republican,0.420261849352176,32.31269263,43275,18186.831530715415,587665.4971655996
02, AK,106704,164595,39.33,102511,168787,37.79,YES,Republican,0.197649572649572,66.94490927,4193,828.7446581196554,55480.23594581749
04, AZ,1174568,1643126,41.69,1123900,1693785,39.89,YES,Democrat + Independent,0.395275539602645,36.72991326,50668,20027.821040586816,735620.1296075566
05, AR,600752,582813,50.76,572369,611200,48.36,YES,Republican,0.327144978293871,33.2862096,28383,9285.355918914942,309074.3033276034
06, CA,6013704,7415330,44.78,5849985,7579059,43.56,YES,Democrat,0.427501420089848,33.00164891,163719,69990.10499568982,2309788.8722417927
08, CO,824852,1488185,35.66,789260,1523772,34.12,YES,Democrat,0.270830403514812,33.38255308,35592,9639.395721899189,321787.6393454246
09, CT,568632,859687,39.81,551288,877026,38.6,YES,Democrat,0.299947945244024,33.12441214,17344,5202.297162312352,172323.03527918682
10, DE,150742,244926,38.1,145030,250637,36.65,YES,Democrat,0.307684653248596,36.83371311,5712,1757.4947393559803,64735.0570217724
12, FL,3685918,4879423,43.03,3511716,5053620,41.0,NO,Republican,0.416985402279703,33.25919813,174202,72639.69104792882,2415937.876665052
13, GA,1665435,2335679,41.62,1589429,2411683,39.72,NO,Democrat,0.395790889467316,33.15203674,76006,30082.48234485282,997295.559926962
15, HI,207027,283055,42.24,202473,287610,41.31,YES,Democrat,0.253479014814492,32.1864799,4554,1154.3434334651965,37154.25171892454
16, ID,287136,406735,41.38,270328,423545,38.96,YES,Republican,0.163692466287752,34.74310399,16808,2751.3429733645357,95590.19503575987
17, IL,2000692,2990960,40.08,1922510,3069151,38.51,YES,Democrat,0.31331309366959,34.39314234,78182,24495.444289275885,842475.3021226056
18, IN,1099146,1581549,41.0,1040146,1640547,38.8,YES,Republican,0.353259712540463,32.91961402,59000,20842.323039887317,686121.2297532435
19, IA,497487,802975,38.25,474075,826389,36.45,YES,Republican,0.2266109466177,34.44123704,23412,5305.415482213592,182725.07221860424
