state, stusps,Current Num Eligible,Current Num Ineligible,Current Percentage Eligible,Num Eligible,Num Ineligible,Percentage Eligible,Medicaid expansion (1),Party,ACP Participation Sep 23 (2),Avg claim $ Jan-Sep 2023 (3),Total dif,Weighed dif,Saving in $
01, AL,911822,1055721,46.34,771279,1196264,39.2,NO,Republican,0.420261849352176,32.31269263,140543,59064.86109350287,1908544.701748004
02, AK,106704,164595,39.33,95469,175830,35.19,YES,Republican,0.197649572649572,66.94490927,11235,2220.5929487179415,148657.39347752434
04, AZ,1174568,1643126,41.69,1014285,1803410,36.0,YES,Democrat + Independent,0.395275539602645,36.72991326,160283,63355.94931413075,2327058.5228129784
05, AR,600752,582813,50.76,515185,668377,43.53,YES,Republican,0.327144978293871,33.2862096,85567,27992.81435767166,931774.6860033482
06, CA,6013704,7415330,44.78,5530569,7898459,41.18,YES,Democrat,0.427501420089848,33.00164891,483135,206540.8985951087,6816190.22099169
08, CO,824852,1488185,35.66,722104,1590936,31.22,YES,Democrat,0.270830403514812,33.38255308,102748,27827.282300339906,928945.7284632415
09, CT,568632,859687,39.81,519711,908607,36.39,YES,Democrat,0.299947945244024,33.12441214,48921,14673.753429282899,486059.45623230503
10, DE,150742,244926,38.1,133758,261911,33.81,YES,Democrat,0.307684653248596,36.83371311,16984,5225.716150774155,192482.5294919087
12, FL,3685918,4879423,43.03,3143772,5421558,36.7,NO,Republican,0.416985402279703,33.25919813,542146,226066.96790433186,7518806.076178525
13, GA,1665435,2335679,41.62,1428459,2572653,35.7,NO,Democrat,0.395790889467316,33.15203674,236976,93792.94182240668,3109427.0532491086
15, HI,207027,283055,42.24,191522,298560,39.08,YES,Democrat,0.253479014814492,32.1864799,15505,3930.192124698698,126499.04982475295
16, ID,287136,406735,41.38,241123,452753,34.75,YES,Republican,0.163692466287752,34.74310399,46013,7531.981451298333,261684.41481320912
17, IL,2000692,2990960,40.08,1762934,3228735,35.32,YES,Democrat,0.31331309366959,34.39314234,237758,74492.69452469438,2562037.846077952
18, IN,1099146,1581549,41.0,933102,1747589,34.81,YES,Republican,0.353259712540463,32.91961402,166044,58656.65570906864,1930954.465646569
19, IA,497487,802975,38.25,425953,874510,32.75,YES,Republican,0.2266109466177,34.44123704,71534,16210.387455350552,558305.7968599708
20, KS,449522,709501,38.78,365968,793052,31.58,NO,Republican,0.270756492451982,31.44574061,83554,22622.787970332905,711390.322390117
21, KY,873763,911924,48.93,774416,1011271,43.37,YES,Republican,0.485875460508169,32.22560462,99347,48270.26937510506,1555538.6157830302
22, LA,948326,835601,53.16,856025,927904,47.99,YES,Republican,0.535368639054502,33.8759307,92301,49415.060753369595,1673981.1736174382
23, ME,236145,357485,39.78,198433,395195,33.43,YES,Republican + Independent,0.393156746913972,31.15714349,37712,14826.727239619713,461958.468091923
24, MD,857197,1498443,36.39,782613,1573028,33.22,YES,Democrat,0.299273095916107,34.9034815,74584,22320.984585806924,779080.072552497
25, MA,1116919,1642044,40.48,1034381,1724593,37.49,YES,Democrat,0.30350186539937,34.08828678,82538,25050.436966333204,853926.4792726794
26, MI,1729801,2321999,42.69,1512104,2539696,37.32,YES,Democrat,0.453852784222,34.57002623,217697,98802.38956677674,3415601.19891015
27, MN,802896,1478112,35.2,703403,1577608,30.84,YES,Democrat,0.28654396086168,33.18209217,99493,28509.118298011126,945992.1910500387
28, MS,576706,552902,51.05,497236,632374,44.02,YES,Republican,0.387259712921315,34.00269539,79470,30775.529385856902,1046450.951173286
29, MO,965580,1503128,39.11,795975,1672736,32.24,NO,Republican,0.375754468816669,32.36481477,169605,63729.83668365115,2062604.3595887206
30, MT,182814,266128,40.72,153113,295831,34.11,YES,Democrat + Republican,0.280618552189657,33.62124795,29701,8334.651618585001,280221.38864531514
31, NE,281387,504595,35.8,230786,555194,29.36,YES,Republican,0.31767992124725,30.75352915,50601,16074.921695032095,494360.57293213694
32, NV,531329,660048,44.6,458460,732920,38.48,YES,Democrat,0.456686911499278,33.42231442,72869,33278.31855404089,1112238.4260820744
33, NH,169755,378270,30.98,145171,402865,26.49,YES,Democrat,0.210173485317074,32.22608682,24584,5166.904963034947,166509.1279294531
34, NJ,1268437,2229507,36.26,1127276,2370668,32.23,YES,Democrat,0.226280848004276,35.11538334,141161,31942.030785131607,1121656.6556779775
35, NM,442228,391774,53.02,398973,435029,47.84,YES,Democrat,0.384374123755167,39.7029752,43255,16626.102723029748,660105.7440851025
36, NY,3448259,4204186,45.06,3170314,4482132,41.43,YES,Democrat,0.453001645178044,33.39394907,277945,125909.54226901144,4204616.84195838
37, NC,1753491,2426154,41.95,1498627,2680999,35.86,YES,Republican,0.490833428857062,31.58749598,254864,125095.77101222625,3951462.1639636974
38, ND,109296,213207,33.89,81098,241404,25.15,YES,Republican,0.144158981115502,34.91900364,28198,4064.994949494925,141945.5734379949
39, OH,2004934,2828008,41.48,1726747,3106177,35.73,YES,Democrat + Republican,0.543492703500464,31.83051081,278187,151192.60470868356,4812537.838571809
40, OK,725560,822408,46.87,612863,935103,39.59,YES,Republican,0.449122057445283,55.47480866,112697,50614.708507911055,2807841.26985804
41, OR,745083,957500,43.76,673875,1028706,39.58,YES,Democrat,0.277441573623341,32.7726764,71208,19756.059574570863,647458.9473765326
42, PA,2115720,3113235,40.46,1841732,3387222,35.22,YES,Democrat,0.333723271510407,34.17820462,273988,91436.1717145934,3125124.1865308294
44, RI,190041,250140,43.17,174284,265902,39.59,YES,Democrat,0.406975336900984,32.82142666,15757,6412.710383548804,210474.30354546756
45, SC,890673,1159173,43.45,755346,1294505,36.85,NO,Republican,0.441472908688149,32.06944213,135327,59743.20431404113,1915931.2334099084
46, SD,121432,235454,34.03,95822,261064,26.85,YES,Republican,0.18172310428882,41.67870231,25610,4653.92870083668,193969.70889413703
47, TN,1200938,1569465,43.35,1010486,1759919,36.47,NO,Republican,0.345189343663036,32.23022643,190452,65742.00087931253,2118879.574301502
48, TX,4536368,6259834,42.02,3859974,6936221,35.75,NO,Republican,0.3591437026273,32.38563847,676394,242922.64559488997,7867204.976412046
49, UT,361325,740176,32.8,288556,812944,26.2,YES,Republican,0.182580779077008,35.78005958,72769,13286.220712654796,475381.7686918187
50, VT,116455,153701,43.11,104505,165652,38.68,YES,Democrat + Independent,0.206938302348546,33.22340012,11950,2472.9127130651245,82158.56852799738
51, VA,1142640,2188816,34.3,987108,2344352,29.63,YES,Democrat,0.371625358818175,34.04288065,155532,57799.63530770839,1967666.086393843
53, WA,1139413,1882850,37.7,1032188,1990085,34.15,YES,Democrat,0.279066501786446,33.5620539,107225,29922.905654051672,1004274.172405897
54, WV,360464,361725,49.91,318943,403244,44.16,YES,Democrat + Republican,0.324190487815704,34.52164518,41521,13460.713244595845,464685.9664996643
55, WI,892049,1557930,36.41,766106,1683870,31.27,NO,Democrat + Republican,0.460510577333756,32.23422865,125943,57998.08364114523,1869523.4893504998
56, WY,84623,158136,34.86,68440,174319,28.19,NO,Republican,0.244437091570849,31.65394221,16183,3955.7254528910494,125214.30488443935
72,PR,934092,231895,80.11,856375,309610,73.45,YES,,0.680682416721265,32.68482107,77717,52900.59538032655,1729046.4945024417
