state, stusps,Current Num Eligible,Current Num Ineligible,Current Percentage Eligible,Num Eligible,Num Ineligible,Percentage Eligible,Medicaid expansion (1),Party,ACP Participation July 23 (2),Avg claim $ Jan-Jul 2023 (3),Total dif,Weighed dif,Saving in $
01, AL,911822,1055721,46.34,897509,1070029,45.62,NO,Republican,0.40805113278688165,32.24541303,14313,5840.4358635786375,188327.2666963179
02, AK,106704,164595,39.33,105069,166230,38.73,YES,Republican,0.1815114709851552,66.23260186,1635,296.7712550607287,19655.932379929756
04, AZ,1174568,1643126,41.69,1160755,1656937,41.2,YES,Democrat + Independent,0.36969592224545533,37.08461108,13813,5106.609773976475,189376.63740524428
05, AR,600752,582813,50.76,589959,593607,49.85,YES,Republican,0.31460902335739205,33.21717515,10793,3395.5751890963325,112791.41579120726
06, CA,6013704,7415330,44.78,5965218,7463822,44.42,YES,Democrat,0.3887507599309843,32.83650483,48486,18848.969346013706,618934.2729709011
08, CO,824852,1488185,35.66,813104,1499927,35.15,YES,Democrat,0.25822450572951267,32.80043456,11748,3033.6214933103147,99504.10327113446
09, CT,568632,859687,39.81,563809,864507,39.47,YES,Democrat,0.2870837378128561,32.81121389,4823,1384.604867471405,45430.56645973937
10, DE,150742,244926,38.1,148643,247025,37.57,YES,Democrat,0.2923869923445357,36.42325724,2099,613.7202969311804,22353.692248533567
12, FL,3685918,4879423,43.03,3633677,4931660,42.42,NO,Republican,0.3835587226845524,33.13608085,52241,20037.4912317637,663963.929486888
13, GA,1665435,2335679,41.62,1640292,2360822,41.0,NO,Democrat,0.38856695097677185,33.01602169,25143,9769.738848408975,322557.9097247064
15, HI,207027,283055,42.24,205388,284694,41.91,YES,Democrat,0.23226439063503795,31.85994969,1639,380.6813362508272,12128.488220873329
16, ID,287136,406735,41.38,281504,412364,40.57,YES,Republican,0.15385392287975036,34.7319828,5632,866.505293658754,30095.44695546479
17, IL,2000692,2990960,40.08,1977912,3013739,39.62,YES,Democrat,0.29696075157995333,33.96886151,22780,6764.765920991337,229791.39671772235
18, IN,1099146,1581549,41.0,1080346,1600348,40.3,YES,Republican,0.33797511886500975,32.70169966,18800,6353.932234662183,207784.38359791535
19, IA,497487,802975,38.25,490741,809719,37.74,YES,Republican,0.21367794535334592,34.03591974,6746,1441.4714193536715,49061.80553662544
20, KS,449522,709501,38.78,440710,718313,38.02,NO,Republican,0.2563878964767019,31.41999824,8812,2259.290143752697,70986.89234035909
21, KY,873763,911924,48.93,864224,921464,48.4,YES,Republican,0.4671323917355164,32.12541146,9539,4455.975884765091,143150.0587539161
22, LA,948326,835601,53.16,937142,846781,52.53,YES,Republican,0.5090443581637538,34.00828118,11184,5693.152101703423,193614.31747523794
23, ME,236145,357485,39.78,231758,361870,39.04,YES,Republican + Independent,0.3737322407842639,31.14303188,4387,1639.5633403205659,51060.97337688267
24, MD,857197,1498443,36.39,849735,1505908,36.07,YES,Democrat,0.28296995906425243,34.49530866,7462,2111.5218345374515,72837.59742469883
25, MA,1116919,1642044,40.48,1109724,1649241,40.22,YES,Democrat,0.29063163935791225,33.70589164,7195,2091.0946451801788,70482.20951942734
26, MI,1729801,2321999,42.69,1706472,2345326,42.12,YES,Democrat,0.41776655233752324,34.12741787,23329,9746.075899482079,332608.40481436107
27, MN,802896,1478112,35.2,793693,1487312,34.8,YES,Democrat,0.2720950160419282,32.99918093,9203,2504.0904326338655,82632.93325156691
28, MS,576706,552902,51.05,569836,559775,50.45,YES,Republican,0.38471768977607307,33.90314332,6870,2643.010528761622,89606.36475287424
29, MO,965580,1503128,39.11,951377,1517331,38.54,NO,Republican,0.3541850494003604,32.08781078,14203,5030.4902566333185,161417.41948548355
30, MT,182814,266128,40.72,178624,270317,39.79,YES,Democrat + Republican,0.2679280580261906,33.27425979,4190,1122.6185631297385,37354.301714655434
31, NE,281387,504595,35.8,276761,509221,35.21,YES,Republican,0.303176763674228,30.68420641,4626,1402.4957087569787,43034.46781663838
32, NV,531329,660048,44.6,522030,669350,43.82,YES,Democrat,0.4275185431248812,33.55411726,9299,3975.49493251827,133394.22313225383
33, NH,169755,378270,30.98,167045,380984,30.48,YES,Democrat,0.20620305734735353,31.75315651,2710,558.8102854113281,17743.99045206367
34, NJ,1268437,2229507,36.26,1254242,2243697,35.86,YES,Democrat,0.21821895766206756,34.8152776,14195,3097.618104013049,107844.43418999999
35, NM,442228,391774,53.02,437847,396156,52.5,YES,Democrat,0.3799171468111472,39.69763157,4381,1664.4170201796358,66073.41364592843
36, NY,3448259,4204186,45.06,3420805,4231643,44.7,YES,Democrat,0.42345282068429313,33.14454837,27454,11625.473739066583,385321.07666865713
37, NC,1753491,2426154,41.95,1727579,2452061,41.33,YES,Republican,0.46559862582699313,31.56738848,25912,12064.591592429046,380847.6496507495
38, ND,109296,213207,33.89,107557,214945,33.35,YES,Republican,0.13254830917874397,34.49025478,1739,230.50150966183577,7950.055795411347
39, OH,2004934,2828008,41.48,1978169,2854773,40.93,YES,Democrat + Republican,0.5080820615541459,31.67799277,26765,13598.816377496716,430783.20688689855
40, OK,725560,822408,46.87,712602,835357,46.03,YES,Republican,0.4167939246926512,55.28536162,12958,5400.8156761673745,298586.0476998781
41, OR,745083,957500,43.76,735903,966685,43.22,YES,Democrat,0.25488972369521246,32.17613133,9180,2339.8876635220504,75288.53275893234
42, PA,2115720,3113235,40.46,2085101,3143845,39.88,YES,Democrat,0.3129445295218649,33.76320311,30619,9582.048549429981,323520.6513842853
44, RI,190041,250140,43.17,188540,251641,42.83,YES,Democrat,0.37410348293263035,32.9041516,1501,561.5293278818782,18476.646132471426
45, SC,890673,1159173,43.45,877425,1172430,42.8,NO,Republican,0.41158764215374216,32.02236811,13248,5452.713083252776,174608.7855501335
46, SD,121432,235454,34.03,118113,238773,33.1,YES,Republican,0.1714128071677976,41.81758561,3319,568.9191069899202,23790.82346171574
47, TN,1200938,1569465,43.35,1179511,1590893,42.58,NO,Republican,0.3287471959418388,32.06883965,21427,7044.066167445781,225895.0284078088
48, TX,4536368,6259834,42.02,4470808,6325394,41.41,NO,Republican,0.3349503391259263,32.3474582,65560,21959.34423309573,710328.9696794752
49, UT,361325,740176,32.8,352127,749370,31.97,YES,Republican,0.16740330727184669,35.30417821,9198,1539.7756202864457,54360.512902005976
50, VT,116455,153701,43.11,115008,155148,42.57,YES,Democrat + Independent,0.1877463397879009,31.79123151,1447,271.6689536730926,8636.69060030075
51, VA,1142640,2188816,34.3,1124329,2207136,33.75,YES,Democrat,0.3433951200728138,33.83298936,18311,6287.908043653294,212738.7259375803
53, WA,1139413,1882850,37.7,1126506,1895760,37.27,YES,Democrat,0.26063683668696075,33.08364313,12907,3364.0396511186023,111294.68729277754
54, WV,360464,361725,49.91,355712,366475,49.25,YES,Democrat + Republican,0.3081472768431799,34.13141038,4752,1464.3158595587909,49979.16552854353
55, WI,892049,1557930,36.41,878971,1571001,35.88,NO,Democrat + Republican,0.42885648658313613,32.00530486,13078,5608.585131534254,179504.47696801703
56, WY,84623,158136,34.86,83160,159599,34.26,NO,Republican,0.22768041785330229,31.47968644,1463,333.09645131938123,10485.771841810845
72,PR,934092,231895,80.11,928082,237903,79.6,YES,,0.6503417222286456,32.68862782,6010,3908.55375059416,127765.2588676376
