state, stusps,Current Num Eligible,Current Num Ineligible,Current Percentage Eligible,Num Eligible,Num Ineligible,Percentage Eligible,Medicaid expansion (1),Party,ACP Participation July 23 (2),Avg claim $ Jan-Jul 2023 (3),Total dif,Weighed dif,Saving in $
01, AL,911822,1055721,46.34,803461,1164082,40.84,NO,Republican,0.4080511327868816,32.36473978407499,108361,44216.828799919276,1431066.1581863803
02, AK,106704,164595,39.33,97236,174062,35.84,YES,Republican,0.1815114709851552,66.45711649543122,9468,1718.5506072874493,114209.91791179609
04, AZ,1174568,1643126,41.69,1047602,1770092,37.18,YES,Democrat + Independent,0.3696959222454553,37.05534395563922,126966,46938.81246381647,1739333.8407159648
05, AR,600752,582813,50.76,531211,652353,44.88,YES,Republican,0.314609023357392,33.55282112076893,69541,21878.226093296398,734076.2065481134
06, CA,6013704,7415330,44.78,5629986,7799044,41.92,YES,Democrat,0.3887507599309843,33.027834567416924,383718,149170.66409919743,4926784.016180011
08, CO,824852,1488185,35.66,740969,1572064,32.03,YES,Democrat,0.2582245057295126,33.27065476474206,83883,21660.646214108707,720663.882170828
09, CT,568632,859687,39.81,528154,900164,36.98,YES,Democrat,0.2870837378128561,33.11529188315568,40478,11620.57553918879,384818.75083049596
10, DE,150742,244926,38.1,137386,258281,34.72,YES,Democrat,0.2923869923445357,37.3588928526845,13356,3905.1206697536186,145890.98467812897
12, FL,3685918,4879423,43.03,3252541,5312788,37.97,NO,Republican,0.3835587226845524,33.32730013975371,433377,166225.52856086325,5539848.081237093
13, GA,1665435,2335679,41.62,1478806,2522310,36.96,NO,Democrat,0.3885669509767718,33.27985319705536,186629,72517.86149384394,2413383.78467952
15, HI,207027,283055,42.24,194737,295344,39.74,YES,Democrat,0.2322643906350379,32.02070284901566,12290,2854.5293609046157,91404.0364393173
16, ID,287136,406735,41.38,248565,445304,35.82,YES,Republican,0.1538539228797503,35.40100510895165,38571,5934.299659394849,210080.1725602871
17, IL,2000692,2990960,40.08,1810600,3181055,36.27,YES,Democrat,0.2969607515799533,34.51304589232248,190092,56449.86318933648,1948256.7188688954
18, IN,1099146,1581549,41.0,961943,1718752,35.88,YES,Republican,0.3379751188650097,33.056022648902626,137203,46371.20023363592,1532847.4451798678
19, IA,497487,802975,38.25,437388,863074,33.63,YES,Republican,0.2136779453533459,34.583186307792246,60099,12841.830837790734,444111.42839646875
20, KS,449522,709501,38.78,383567,775455,33.09,NO,Republican,0.2563878964767019,31.634288256525583,65955,16910.063712120875,534937.8299054448
21, KY,873763,911924,48.93,790573,995115,44.27,YES,Republican,0.4671323917355164,32.429403238195825,83190,38860.74366847761,1260230.7265612257
22, LA,948326,835601,53.16,875297,908629,49.07,YES,Republican,0.5090443581637538,34.13144572961346,73029,37175.00043234078,1268836.5097547963
23, ME,236145,357485,39.78,206350,387277,34.76,YES,Republican + Independent,0.3737322407842639,31.38385185457831,29795,11135.352114167144,349470.24109958706
24, MD,857197,1498443,36.39,799555,1556084,33.94,YES,Democrat,0.2829699590642524,35.15150772694214,57642,16310.954380381636,573354.6389357859
25, MA,1116919,1642044,40.48,1050525,1708444,38.08,YES,Democrat,0.2906316393579122,34.17577685784042,66394,19296.197063529224,659462.5250480903
26, MI,1729801,2321999,42.69,1550778,2501021,38.27,YES,Democrat,0.4177665523375232,34.50820347803168,179023,74789.82149912041,2580862.3783773156
27, MN,802896,1478112,35.2,721421,1559589,31.63,YES,Democrat,0.2720950160419282,33.23995030189668,81475,22168.9414320161,736894.5114458733
28, MS,576706,552902,51.05,517511,612100,45.81,YES,Republican,0.384717689776073,34.271545176930694,59195,22773.36364629464,780478.3610346579
29, MO,965580,1503128,39.11,835320,1633387,33.84,NO,Republican,0.3541850494003604,32.3912243545274,130260,46136.14453489095,1494406.208482556
30, MT,182814,266128,40.72,159144,289799,35.45,YES,Democrat + Republican,0.2679280580261906,33.648526124447805,23670,6341.857133479931,213394.14543341513
