state, stusps,Current Num Eligible,Current Num Ineligible,Current Percentage Eligible,Num Eligible,Num Ineligible,Percentage Eligible,Medicaid expansion (1),Party,ACP Participation July 23 (2),Avg claim $ Jan-Jul 2023 (3),Total dif,Weighed dif,Saving in $
01, AL,911822,1055721,46.34,724534,1243010,36.82,NO,Republican,0.40805113278688165,32.24541303,187288,76423.08055738949,2464293.7975979866
02, AK,106704,164595,39.33,94306,176993,34.76,YES,Republican,0.1815114709851552,66.23260186,12398,2250.379217273954,149048.47073172423
04, AZ,1174568,1643126,41.69,973299,1844402,34.54,YES,Democrat + Independent,0.36969592224545533,37.08461108,201269,74408.32857442055,2759403.926295237
05, AR,600752,582813,50.76,491255,692313,41.51,YES,Republican,0.31460902335739205,33.21717515,109497,34448.744230564356,1144289.9708042082
06, CA,6013704,7415330,44.78,5402020,8027011,40.23,YES,Democrat,0.3887507599309843,32.83650483,611684,237792.6198376242,7808278.509836501
08, CO,824852,1488185,35.66,697601,1615444,30.16,YES,Democrat,0.25822450572951267,32.80043456,127251,32859.32657858622,1077800.191126586
09, CT,568632,859687,39.81,507800,920518,35.55,YES,Democrat,0.2870837378128561,32.81121389,60832,17463.877938631664,573011.0343932958
10, DE,150742,244926,38.1,128422,267243,32.46,YES,Democrat,0.2923869923445357,36.42325724,22320,6526.077669130036,237701.0057109429
12, FL,3685918,4879423,43.03,2994828,5570513,34.96,NO,Republican,0.3835587226845524,33.13608085,691090,265073.5976600673,8783500.16326436
13, GA,1665435,2335679,41.62,1363835,2637275,34.09,NO,Democrat,0.38856695097677185,33.01602169,301600,117191.79241459438,3869206.760250226
15, HI,207027,283055,42.24,185276,304806,37.81,YES,Democrat,0.23226439063503795,31.85994969,21751,5051.982760702711,160955.9165907357
16, ID,287136,406735,41.38,231140,462729,33.31,YES,Republican,0.15385392287975036,34.7319828,55996,8615.2042655745,299223.12637042016
17, IL,2000692,2990960,40.08,1699060,3292598,34.04,YES,Democrat,0.29696075157995333,33.96886151,301632,89572.86542056449,3042688.260525023
18, IN,1099146,1581549,41.0,895925,1784768,33.42,YES,Republican,0.33797511886500975,32.70169966,203221,68683.64163086614,2246071.8201676575
19, IA,497487,802975,38.25,410045,890418,31.53,YES,Republican,0.21367794535334592,34.03591974,87442,18684.426897587273,635941.6542741776
20, KS,449522,709501,38.78,342258,816764,29.53,NO,Republican,0.2563878964767019,31.41999824,107264,27501.191327676952,864087.3831135131
21, KY,873763,911924,48.93,744288,1041400,41.68,YES,Republican,0.4671323917355164,32.12541146,129475,60481.966419955985,1943008.0571509893
22, LA,948326,835601,53.16,829270,954658,46.49,YES,Republican,0.5090443581637538,34.00828118,119056,60604.78510554387,2061064.572722812
23, ME,236145,357485,39.78,190371,403257,32.07,YES,Republican + Independent,0.3737322407842639,31.14303188,45774,17107.219589658896,532770.6850589075
24, MD,857197,1498443,36.39,765711,1589925,32.51,YES,Democrat,0.28296995906425243,34.49530866,91486,25887.789674952197,893007.295362637
25, MA,1116919,1642044,40.48,1015478,1743494,36.81,YES,Democrat,0.29063163935791225,33.70589164,101441,29481.964128105978,993715.8882363071
26, MI,1729801,2321999,42.69,1459376,2592428,36.02,YES,Democrat,0.41776655233752324,34.12741787,270425,112974.51991587473,3855528.649831694
27, MN,802896,1478112,35.2,678518,1602491,29.75,YES,Democrat,0.2720950160419282,32.99918093,124378,33842.63390526295,1116779.1993875245
28, MS,576706,552902,51.05,469929,659679,41.6,YES,Republican,0.38471768977607307,33.90314332,106777,41079.00076121975,1392707.2502500222
29, MO,965580,1503128,39.11,749071,1719645,30.34,NO,Republican,0.3541850494003604,32.08781078,216509,76684.25086062263,2460629.731421711
30, MT,182814,266128,40.72,147418,301525,32.84,YES,Democrat + Republican,0.2679280580261906,33.27425979,35396,9483.581541895042,315559.1559646644
31, NE,281387,504595,35.8,218157,567824,27.76,YES,Republican,0.303176763674228,30.68420641,63230,19169.86676712144,588212.1487345537
32, NV,531329,660048,44.6,440546,750834,36.98,YES,Democrat,0.4275185431248812,33.55411726,90783,38811.41590050609,1302282.8001522096
33, NH,169755,378270,30.98,139868,408167,25.52,YES,Democrat,0.20620305734735353,31.75315651,29887,6162.790774940355,195688.06001506528
34, NJ,1268437,2229507,36.26,1092974,2404974,31.25,YES,Democrat,0.21821895766206756,34.8152776,175463,38289.35296825936,1333054.4527143335
35, NM,442228,391774,53.02,388388,445613,46.57,YES,Democrat,0.3799171468111472,39.69763157,53840,20454.739184312166,812004.6999992667
36, NY,3448259,4204186,45.06,3102168,4550282,40.54,YES,Democrat,0.42345282068429313,33.14454837,346091,146553.2101634477,4857439.963041168
37, NC,1753491,2426154,41.95,1428653,2750989,34.18,YES,Republican,0.46559862582699313,31.56738848,324838,151244.12641638878,4774382.093904375
38, ND,109296,213207,33.89,72912,249590,22.61,YES,Republican,0.13254830917874397,34.49025478,36384,4822.637681159421,166334.00233481685
39, OH,2004934,2828008,41.48,1655341,3177596,34.25,YES,Democrat + Republican,0.5080820615541459,31.67799277,349593,177621.93214489854,5626706.282279527
40, OK,725560,822408,46.87,583580,964383,37.7,YES,Republican,0.4167939246926512,55.28536162,141980,59176.40142786262,3271588.7523096693
41, OR,745083,957500,43.76,654910,1047666,38.47,YES,Democrat,0.25488972369521246,32.17613133,90173,22984.171054768394,739541.7063694124
42, PA,2115720,3113235,40.46,1765475,3463476,33.76,YES,Democrat,0.3129445295218649,33.76320311,350245,109607.25674238558,3700692.071723081
44, RI,190041,250140,43.17,169516,270666,38.51,YES,Democrat,0.37410348293263035,32.9041516,20525,7678.4739871922375,252653.67213122983
45, SC,890673,1159173,43.45,718485,1331366,35.05,NO,Republican,0.41158764215374216,32.02236811,172188,70870.45292716856,2269439.7317562187
46, SD,121432,235454,34.03,90017,266869,25.22,YES,Republican,0.1714128071677976,41.81758561,31415,5384.933337176362,225184.91083151553
47, TN,1200938,1569465,43.35,959146,1811257,34.62,NO,Republican,0.3287471959418388,32.06883965,241792,79488.4420011691,2549102.1005638167
48, TX,4536368,6259834,42.02,3678410,7117792,34.07,NO,Republican,0.3349503391259263,32.3474582,857958,287373.3230558015,9295796.555342635
49, UT,361325,740176,32.8,271739,829760,24.67,YES,Republican,0.16740330727184669,35.30417821,89586,14996.992685255656,529456.5023743322
50, VT,116455,153701,43.11,101785,168373,37.68,YES,Democrat + Independent,0.1877463397879009,31.79123151,14670,2754.238804688506,87560.64347367798
51, VA,1142640,2188816,34.3,951107,2380353,28.55,YES,Democrat,0.3433951200728138,33.83298936,191533,65771.49753290624,2225246.3762220833
53, WA,1139413,1882850,37.7,1005448,2016825,33.27,YES,Democrat,0.26063683668696075,33.08364313,133965,34916.2138267687,1155155.5576955872
54, WV,360464,361725,49.91,306851,415336,42.49,YES,Democrat + Republican,0.3081472768431799,34.13141038,53613,16520.699953393403,563874.7898741171
55, WI,892049,1557930,36.41,733525,1716457,29.94,NO,Democrat + Republican,0.42885648658313613,32.00530486,158524,67984.04567910507,2175850.1075759237
56, WY,84623,158136,34.86,64603,178156,26.61,NO,Republican,0.22768041785330229,31.47968644,20020,4558.161965423112,143489.50941425367
72,PR,934092,231895,80.11,824385,341603,70.7,YES,,0.6503417222286456,32.68862782,109707,71347.03932053802,2332236.814407973
