state, stusps,Current Num Eligible,Current Num Ineligible,Current Percentage Eligible,Num Eligible,Num Ineligible,Percentage Eligible,Medicaid expansion (1),Party,ACP Participation July 23 (2),Avg claim $ Jan-Jul 2023 (3),Total dif,Weighed dif,Saving in $
01, AL,911822,1055721,46.34,825748,1141794,41.97,NO,Republican,0.40805113278688165,32.36473978407499,86074,35122.59320349805,1136733.5895731354
02, AK,106704,164595,39.33,98564,172735,36.33,YES,Republican,0.1815114709851552,66.45711649543122,8140,1477.5033738191632,98190.6138362928
04, AZ,1174568,1643126,41.69,1075420,1742267,38.17,YES,Democrat + Independent,0.36969592224545533,37.05534395563922,99148,36654.611298792406,1358249.2292370123
05, AR,600752,582813,50.76,544176,639393,45.98,YES,Republican,0.31460902335739205,33.55282112076893,56576,17799.320105467814,597217.4035700676
06, CA,6013704,7415330,44.78,5709468,7719563,42.52,YES,Democrat,0.3887507599309843,33.027834567416924,304236,118271.97619836294,3906267.263841003
08, CO,824852,1488185,35.66,758373,1554665,32.79,YES,Democrat,0.25822450572951267,33.27065476474206,66479,17166.50691639227,571140.9251318441
09, CT,568632,859687,39.81,537216,891105,37.61,YES,Democrat,0.2870837378128561,33.11529188315568,31416,9019.022707128688,298667.56944737537
10, DE,150742,244926,38.1,140291,255377,35.46,YES,Democrat,0.2923869923445357,37.3588928526845,10451,3055.7364569927427,114158.93088283362
12, FL,3685918,4879423,43.03,3344537,5220801,39.05,NO,Republican,0.3835587226845524,33.32730013975371,341381,130939.66030877517,4363865.359307946
13, GA,1665435,2335679,41.62,1515102,2486006,37.87,NO,Democrat,0.38856695097677185,33.27985319705536,150333,58414.435441191046,1944023.8360717057
15, HI,207027,283055,42.24,197698,292384,40.34,YES,Democrat,0.23226439063503795,32.02070284901566,9329,2166.794500234269,69382.28282688293
16, ID,287136,406735,41.38,255026,438847,36.75,YES,Republican,0.15385392287975036,35.40100510895165,32110,4940.249463668784,174889.79650283427
17, IL,2000692,2990960,40.08,1853677,3137984,37.14,YES,Democrat,0.29696075157995333,34.51304589232248,147015,43657.684893526835,1506759.6822828455
18, IN,1099146,1581549,41.0,990754,1689937,36.96,YES,Republican,0.33797511886500975,33.056022648902626,108392,36633.79908401614,1210967.6922365858
19, IA,497487,802975,38.25,451822,848638,34.74,YES,Republican,0.21367794535334592,34.583186307792246,45665,9757.603374560542,337449.01541996957
20, KS,449522,709501,38.78,397495,761527,34.3,NO,Republican,0.2563878964767019,31.634288256525583,52027,13339.09308999337,421972.7158894788
21, KY,873763,911924,48.93,809223,976466,45.32,YES,Republican,0.4671323917355164,32.429403238195825,64540,30148.72456261023,977705.1459581862
22, LA,948326,835601,53.16,891093,892834,49.95,YES,Republican,0.5090443581637538,34.13144572961346,57233,29134.13575078612,994390.1732571478
23, ME,236145,357485,39.78,212719,380908,35.83,YES,Republican + Independent,0.3737322407842639,31.38385185457831,23426,8755.051472612167,274767.2383956679
24, MD,857197,1498443,36.39,810366,1545275,34.4,YES,Democrat,0.28296995906425243,35.15150772694214,46831,13251.766152938006,465819.56032063067
25, MA,1116919,1642044,40.48,1063798,1695169,38.56,YES,Democrat,0.29063163935791225,34.17577685784042,53121,15438.643314331657,527627.6288983886
26, MI,1729801,2321999,42.69,1586385,2465415,39.15,YES,Democrat,0.41776655233752324,34.50820347803168,143416,59914.40787003823,2067538.578045062
27, MN,802896,1478112,35.2,738568,1542438,32.38,YES,Democrat,0.2720950160419282,33.23995030189668,64328,17503.32819194516,581809.7592180441
28, MS,576706,552902,51.05,528850,600760,46.82,YES,Republican,0.38471768977607307,34.271545176930694,47856,18411.049761923754,630975.1236704891
29, MO,965580,1503128,39.11,861587,1607124,34.9,NO,Republican,0.3541850494003604,32.3912243545274,103993,36832.76584229168,1193058.3819954433
30, MT,182814,266128,40.72,163204,285737,36.35,YES,Democrat + Republican,0.2679280580261906,33.648526124447805,19610,5254.069217893597,176791.68533794975
31, NE,281387,504595,35.8,251691,534291,32.02,YES,Republican,0.303176763674228,30.751567988850223,29696,9003.137174069876,276860.58492135466
32, NV,531329,660048,44.6,485848,705531,40.78,YES,Democrat,0.4275185431248812,33.693107600649505,45481,19443.970859862722,655127.8023652482
33, NH,169755,378270,30.98,155369,392660,28.35,YES,Democrat,0.20620305734735353,32.12724269150172,14386,2966.4371829990278,95303.44730730446
34, NJ,1268437,2229507,36.26,1178659,2319278,33.7,YES,Democrat,0.21821895766206756,35.25442299867673,89778,19591.2615809851,690678.622853773
35, NM,442228,391774,53.02,414966,419038,49.76,YES,Democrat,0.3799171468111472,39.859784209386504,27262,10357.301256365494,412839.79307033634
36, NY,3448259,4204186,45.06,3269944,4382505,42.73,YES,Democrat,0.42345282068429313,33.30091123309959,178315,75507.98972031973,2514484.863066164
37, NC,1753491,2426154,41.95,1588977,2590658,38.02,YES,Republican,0.46559862582699313,31.754005458516833,164514,76597.49232930195,2432277.1895333556
