Data Month,state,Net New Enrollments Alternative Verification Process,Net New Enrollments Verified by School,Net New Enrollments Lifeline,Net New Enrollments National Verifier Application,Net New Enrollments Total,Total Alternative Verification Process,Total Verified by School,Total Lifeline,Total National Verifier Application,Total Subscribers,Num Eligible,Participation Rate
2022-10-01,06,23250,0,8045,28249,59544,522202,104,494877,739257,1756440,6013704,0.29
2022-11-01,06,18927,-2,-22337,17041,13629,541129,102,472540,756299,1770070,6013704,0.29
2022-12-01,06,5128,-2,-15160,18766,8732,546257,100,457378,775061,1778796,6013704,0.3
2023-01-01,06,5386,3,37068,36327,78784,551643,103,494445,811387,1857578,6013704,0.31
2023-02-01,06,24017,7,8877,38005,70906,575660,110,503323,849396,1928489,6013704,0.32
2023-03-01,06,22288,-1,8338,65209,95834,597948,109,511660,914606,2024322,6013704,0.34
2023-04-01,06,22383,10,-2811,61899,81482,620331,119,508847,976504,2105803,6013704,0.35
2023-05-01,06,23084,1,16224,4111,43420,643416,120,525070,980616,2149221,6013704,0.36
2023-06-01,06,26272,5,-5130,78989,100137,669699,125,520054,1059899,2249775,6013704,0.37
2023-07-01,06,14942,5,1263,72294,88504,684629,130,521204,1131869,2337832,6013704,0.39
2023-08-01,06,18258,-1,25967,93285,137509,702887,129,547169,1225153,2475338,6013704,0.41
2023-09-23,06,13551,-8,12723,69263,95529,716438,121,559892,1294416,2570867,6013704,0.43
2022-01-01,08,2505,0,1473,3338,7316,21488,110,49857,36126,107581,824852,0.13
2022-02-01,08,1572,0,3276,2874,7722,23060,110,53133,39000,115302,824852,0.14
2022-03-01,08,1255,0,3718,5695,10668,24315,110,56851,44692,125968,824852,0.15
2022-04-01,08,-63,1,-3432,6199,2705,24251,111,53421,50894,128677,824852,0.16
2022-05-01,08,77,-1,310,8806,9192,24328,110,53731,59700,137869,824852,0.17
2022-06-01,08,393,1,-446,7368,7316,24721,111,53284,67068,145184,824852,0.18
2022-07-01,08,551,-6,-1235,7556,6866,25272,105,52049,74623,152049,824852,0.18
2022-08-01,08,229,-3,-1327,5226,4125,25501,102,50722,79848,156173,824852,0.19
2022-09-01,08,578,1,579,3996,5154,26079,103,51301,83843,161325,824852,0.2
2022-10-01,08,260,2,1310,4028,5600,26339,105,52610,87871,166926,824852,0.2
2022-11-01,08,-10,0,686,3793,4469,26329,105,53296,91664,171394,824852,0.21
2022-12-01,08,-4699,-2,-1173,5045,-830,21630,103,52123,96707,170562,824852,0.21
2023-01-01,08,300,2,1398,5248,6948,21930,105,53521,101952,177507,824852,0.22
2023-02-01,08,545,-1,1302,4848,6694,22475,104,54824,106804,184206,824852,0.22
2023-03-01,08,467,1,939,6014,7422,22942,105,55763,112818,191627,824852,0.23
2023-04-01,08,355,1,270,6870,7496,23297,106,56033,119688,199123,824852,0.24
2023-05-01,08,349,-2,-677,5407,5077,23646,104,55356,125094,204201,824852,0.25
