Data Month,state,Net New Enrollments Alternative Verification Process,Net New Enrollments Verified by School,Net New Enrollments Lifeline,Net New Enrollments National Verifier Application,Net New Enrollments Total,Total Alternative Verification Process,Total Verified by School,Total Lifeline,Total National Verifier Application,Total Subscribers,Num Eligible,Participation Rate
2022-05-01,19,58,0,176,2613,2847,1319,15,39777,20453,61565,497487,0.12
2022-06-01,19,128,1,-240,2830,2719,1447,16,39534,23281,64280,497487,0.13
2022-07-01,19,113,-1,-1399,2465,1178,1560,15,38133,25742,65455,497487,0.13
2022-08-01,19,85,-1,-1456,3264,1892,1645,14,36679,29007,67346,497487,0.14
2022-09-01,19,120,1,-369,2738,2490,1765,15,36305,31742,69829,497487,0.14
2022-10-01,19,132,0,397,2578,3107,1897,15,36701,34320,72933,497487,0.15
2022-11-01,19,111,0,-81,2003,2033,2008,15,36620,36323,74966,497487,0.15
2022-12-01,19,79,0,-149,3115,3046,2087,15,36468,39438,78008,497487,0.16
2023-01-01,19,0,0,685,4024,4709,2087,15,37153,43462,82716,497487,0.17
2023-02-01,19,112,-2,77,2585,2772,2199,13,37228,46052,85492,497487,0.17
2023-03-01,19,93,0,-549,4252,3796,2292,13,36678,50301,89286,497487,0.18
2023-04-01,19,79,3,-231,3918,3770,2371,16,36449,54219,93054,497487,0.19
2023-05-01,19,178,0,-602,4726,4302,2549,16,35844,58945,97353,497487,0.2
2023-06-01,19,211,-1,-258,4296,4248,2760,15,35613,63295,101684,497487,0.2
2023-07-01,19,201,0,118,4384,4703,2961,15,35702,67622,106301,497487,0.21
2023-08-01,19,201,0,-38,5189,5352,3162,15,35666,72809,111652,497487,0.22
2023-09-23,19,157,-2,-132,1060,1083,3319,13,35533,73869,112736,497487,0.23
2022-01-01,20,578,1,259,493,1331,15085,46,23615,8571,47317,449522,0.11
2022-02-01,20,2444,0,772,469,3685,17529,46,24387,9040,51002,449522,0.11
2022-03-01,20,2051,9,1340,939,4339,19580,55,25726,9979,55340,449522,0.12
2022-04-01,20,1824,3,-1744,853,936,21404,58,23983,10832,56277,449522,0.13
2022-05-01,20,2206,0,148,1187,3541,23610,58,24131,12019,59818,449522,0.13
2022-06-01,20,2663,-1,-16,1596,4242,26273,57,24114,13614,64058,449522,0.14
2022-07-01,20,2681,1,-932,1467,3217,28954,58,23179,15080,67271,449522,0.15
2022-08-01,20,2697,2,-299,1741,4141,31651,60,22880,16821,71412,449522,0.16
2022-09-01,20,2492,2,-312,1636,3818,34143,62,22565,18456,75226,449522,0.17
2022-10-01,20,2341,-5,-295,1574,3615,36484,57,22268,20030,78839,449522,0.18
2022-11-01,20,1820,1,-343,1398,2876,38304,58,21925,21427,81714,449522,0.18
2022-12-01,20,1854,0,-708,1633,2779,40158,58,21216,23060,84492,449522,0.19
2023-01-01,20,608,6,344,1965,2923,40766,64,21560,25022,87412,449522,0.19
2023-02-01,20,1982,-2,227,2001,4208,42748,62,21788,27032,91630,449522,0.2
2023-03-01,20,2177,-2,-354,2431,4252,44925,60,21432,29463,95880,449522,0.21
2023-04-01,20,1851,1,-173,2415,4094,46776,61,21259,31878,99974,449522,0.22
2023-05-01,20,2964,0,-218,2752,5498,49740,61,21041,34630,105472,449522,0.23
2023-06-01,20,2841,0,-171,2621,5291,52598,61,20874,37265,110798,449522,0.25
2023-07-01,20,2582,-2,-81,1997,4496,55159,59,20788,39246,115252,449522,0.26
2023-08-01,20,3160,1,-103,2488,5546,58319,60,20683,41734,120796,449522,0.27
2023-09-23,20,2527,-2,-939,-672,914,60846,58,19744,41062,121711,449522,0.27
2022-01-01,21,3791,6,2377,3323,9496,55001,1143,110108,50085,216337,873763,0.25
2022-02-01,21,4255,6,2036,353,6650,59256,1149,112145,50436,222988,873763,0.26
2022-03-01,21,4132,7,6684,4046,14869,63388,1156,118827,54483,237857,873763,0.27
2022-04-01,21,2944,18,-6070,1786,-1322,66332,1167,112706,56249,236456,873763,0.27
2022-05-01,21,4920,3,-328,3973,8568,71252,1170,112378,60222,245024,873763,0.28
2022-06-01,21,4481,-5,1556,7213,13244,75733,1165,113933,67435,258269,873763,0.3
2022-07-01,21,6110,-43,-617,5502,10952,81843,1122,113314,72935,269215,873763,0.31
2022-08-01,21,4341,-15,-661,7668,11333,86184,1107,112653,80602,280549,873763,0.32
2022-09-01,21,4712,-14,-1957,7963,10705,90896,1093,110697,88565,291254,873763,0.33
2022-10-01,21,3587,-5,128,6691,10401,94484,1088,110825,95255,301654,873763,0.35
2022-11-01,21,2926,-7,1433,5241,9592,97410,1081,112232,100478,311203,873763,0.36
2022-12-01,21,4245,-3,-503,4765,8504,101655,1078,111750,105258,319743,873763,0.37
2023-01-01,21,2951,9,1480,6168,10608,104606,1087,113231,111425,330350,873763,0.38
2023-02-01,21,4948,-12,-386,6321,10871,109554,1075,112845,117747,341223,873763,0.39
2023-03-01,21,4409,-7,-1611,9388,12178,113962,1068,111234,127135,353403,873763,0.4
2023-04-01,21,3503,-9,-195,9477,12777,117465,1059,111040,136612,366177,873763,0.42
2023-05-01,21,3810,5,-892,11602,14527,121275,1064,110148,148213,380704,873763,0.44
2023-06-01,21,4570,2,-379,12126,16319,125849,1075,110004,160614,397545,873763,0.45
2023-07-01,21,2653,-6,-174,8711,11184,128496,1060,109561,169006,408125,873763,0.47
2023-08-01,21,3255,-2,-375,9962,12840,131751,1058,109187,178967,420964,873763,0.48
2023-09-23,21,3267,-4,-2958,3271,3575,135018,1054,106228,182239,424540,873763,0.49
2022-01-01,22,1603,-4,11106,3315,16020,38424,179,152096,40551,231251,948326,0.24
2022-02-01,22,4288,-8,7886,3314,15481,42712,171,159983,43865,246731,948326,0.26
2022-03-01,22,4020,-15,9975,5337,19317,46732,156,169957,49203,266048,948326,0.28
2022-04-01,22,3484,-5,-12312,5743,-3090,50216,151,157632,54943,262943,948326,0.28
2022-05-01,22,4079,-6,1453,9396,14922,54295,145,159086,64340,277865,948326,0.29
2022-06-01,22,4897,-7,-1219,9559,13229,59192,138,157865,73898,291094,948326,0.31
2022-07-01,22,5127,-58,-6616,6607,5061,64319,80,151247,80506,296152,948326,0.31
2022-08-01,22,5327,-5,-2553,8466,11235,69646,75,148695,88972,307388,948326,0.32
2022-09-01,22,5030,-2,31,9448,14507,74676,73,148726,98420,321895,948326,0.34
2022-10-01,22,3797,-5,1485,10347,15624,78473,68,150211,108766,337518,948326,0.36
2022-11-01,22,3355,-2,2128,9003,14485,81828,66,152340,117769,352003,948326,0.37
2022-12-01,22,2263,-1,55,10329,12646,84091,65,152395,128098,364649,948326,0.38
2023-01-01,22,886,-2,6386,8816,16086,84977,63,158781,136914,380735,948326,0.4
2023-02-01,22,4256,-7,810,8660,13719,89233,56,159591,145574,394454,948326,0.42
2023-03-01,22,4065,-1,-2663,14510,15911,93298,55,156928,160082,410363,948326,0.43
2023-04-01,22,3707,-1,-4715,16088,15079,97005,54,152213,176170,425442,948326,0.45
2023-05-01,22,5985,-9,-3503,16461,18934,102990,45,148710,192631,444376,948326,0.47
2023-06-01,22,5802,-2,-537,15398,20661,108861,43,148249,208147,465299,948326,0.49
2023-07-01,22,5142,0,-1128,13691,17705,113936,43,147047,221715,482740,948326,0.51
2023-08-01,22,5182,-2,508,13073,18761,119118,41,147555,234788,501502,948326,0.53
2023-09-23,22,3878,-2,-2236,4563,6203,122996,39,145319,239351,507704,948326,0.54
2022-01-01,23,926,0,149,675,1750,13844,2,9612,5776,29234,236145,0.12
2022-02-01,23,1096,0,677,529,2302,14940,2,10289,6305,31536,236145,0.13
2022-03-01,23,1457,-1,943,716,3115,16397,1,11232,7021,34651,236145,0.15
2022-04-01,23,1571,0,-1129,627,1069,17969,1,10108,7648,35726,236145,0.15
2022-05-01,23,1994,0,279,1226,3499,19963,1,10387,8874,39225,236145,0.17
2022-06-01,23,2158,0,250,1924,4332,22121,1,10635,10798,43555,236145,0.18
2022-07-01,23,2661,-1,54,2166,4880,24782,0,10689,12964,48435,236145,0.21
2022-08-01,23,2213,0,154,1600,3967,26995,0,10843,14564,52402,236145,0.22
2022-09-01,23,2048,0,235,1401,3684,29043,0,11078,15965,56086,236145,0.24
2022-10-01,23,1503,0,496,1319,3318,30546,0,11573,17284,59403,236145,0.25
2022-11-01,23,1431,0,370,955,2756,31977,0,11943,18239,62159,236145,0.26
2022-12-01,23,1942,0,397,849,3188,33919,0,12340,19088,65347,236145,0.28
2023-01-01,23,1344,0,345,1260,2949,35263,0,12685,20346,68294,236145,0.29
2023-02-01,23,2054,0,25,1059,3138,37317,0,12709,21408,71434,236145,0.3
2023-03-01,23,1932,0,-370,1711,3273,39249,0,12339,23119,74707,236145,0.32
2023-04-01,23,1862,0,-52,1911,3721,41111,0,12287,25030,78428,236145,0.33
2023-05-01,23,1631,0,-307,2644,3968,42742,0,11980,27674,82396,236145,0.35
2023-06-01,23,1682,0,-284,1991,3389,44425,0,11700,29676,85801,236145,0.36
2023-07-01,23,1203,0,-98,1365,2470,45627,0,11598,31030,88255,236145,0.37
2023-08-01,23,1430,0,-82,1490,2838,47057,0,11516,32520,91093,236145,0.39
2023-09-23,23,1173,0,-198,774,1749,48230,0,11318,33294,92842,236145,0.39
2022-01-01,24,2365,-2,1250,4883,8497,16974,28,87480,34755,139237,857197,0.16
2022-02-01,24,660,-1,2137,2932,5728,17634,27,89617,37687,144965,857197,0.17
2022-03-01,24,378,-3,4467,4521,9363,18012,24,94083,42208,154327,857197,0.18
2022-04-01,24,-971,-2,-2751,3467,-257,17041,22,91333,45675,154071,857197,0.18
2022-05-01,24,-662,-1,978,3444,3759,16379,21,92311,49119,157830,857197,0.18
2022-06-01,24,-612,0,347,1201,935,15766,21,92657,50318,158763,857197,0.19
2022-07-01,24,-617,-8,-2129,2845,91,15149,13,90528,53163,158853,857197,0.19
2022-08-01,24,-1017,0,-62,4028,2949,14132,13,90465,57192,161802,857197,0.19
2022-09-01,24,-606,-1,2760,4834,6987,13526,12,93225,62024,168787,857197,0.2
2022-10-01,24,-513,-1,876,6117,6480,13013,11,94100,68142,175266,857197,0.2
2022-11-01,24,-600,0,642,3426,3468,12413,11,94743,71567,178734,857197,0.21
2022-12-01,24,-7224,0,-1614,7978,-859,5189,11,93129,79546,177874,857197,0.21
2023-01-01,24,-165,0,1290,6556,7681,5024,11,94417,86101,185553,857197,0.22
2023-02-01,24,-181,0,66,6167,6052,4843,11,94487,92270,191611,857197,0.22
2023-03-01,24,-150,0,-647,8422,7625,4693,11,93840,100692,199236,857197,0.23
2023-04-01,24,-156,0,25,8226,8095,4537,11,93864,108918,207329,857197,0.24
2023-05-01,24,-197,0,-215,13656,13244,4340,11,93649,122574,220573,857197,0.26
2023-06-01,24,-146,0,2022,10027,11903,4194,11,95675,132609,232488,857197,0.27
2023-07-01,24,-133,-1,1017,9202,10085,4061,10,96689,141803,242561,857197,0.28
2023-08-01,24,-150,-1,1235,9922,11006,3910,9,97924,151725,253567,857197,0.3
2023-09-23,24,-2366,0,-503,5839,2969,1544,9,97421,157563,256536,857197,0.3
2022-01-01,25,2955,0,5413,7041,15409,25856,45,60161,50163,136225,1116919,0.12
2022-02-01,25,2001,-1,4800,7207,14007,27857,44,64961,57370,150232,1116919,0.13
2022-03-01,25,2081,0,7352,9159,18592,29938,44,72313,66529,168824,1116919,0.15
2022-04-01,25,832,-3,3645,8573,13047,30770,41,75958,75102,181871,1116919,0.16
2022-05-01,25,1495,-2,720,8837,11050,32265,39,76678,83939,192921,1116919,0.17
2022-06-01,25,1261,-2,-1137,9390,9512,33526,37,75541,93329,202433,1116919,0.18
2022-07-01,25,1657,-18,-1371,7864,8132,35184,19,74170,101193,210566,1116919,0.19
2022-08-01,25,1442,0,-4356,8121,5207,36626,19,69813,109315,215773,1116919,0.19
2022-09-01,25,1274,-1,-13,10529,11789,37900,18,69800,119844,227562,1116919,0.2
2022-10-01,25,821,0,462,7460,8743,38721,18,70262,127304,236304,1116919,0.21
2022-11-01,25,597,0,-2164,5741,4174,39318,18,68097,133045,240478,1116919,0.22
2022-12-01,25,-4351,-2,-567,8314,3394,34967,16,67529,141358,243871,1116919,0.22
2023-01-01,25,664,0,-119,8364,8909,35631,16,67410,149720,252778,1116919,0.23
2023-02-01,25,1143,-1,-523,7285,7904,36774,15,66887,157006,260683,1116919,0.23
2023-03-01,25,1084,0,-1324,10445,10205,37859,15,65563,167451,270888,1116919,0.24
2023-04-01,25,647,0,-1037,13090,12700,38506,15,64526,180541,283589,1116919,0.25
2023-05-01,25,731,-1,1384,13050,15164,39236,14,65910,193592,298752,1116919,0.27
2023-06-01,25,937,0,3078,10510,14525,40173,14,68990,204111,313288,1116919,0.28
2023-07-01,25,651,0,2407,8281,11339,40824,14,71395,212380,324614,1116919,0.29
2023-08-01,25,1055,-1,3512,10285,14851,41879,13,74907,222665,339465,1116919,0.3
2023-09-23,25,-1526,0,791,257,-478,40354,13,75698,222922,338987,1116919,0.3
2022-01-01,26,6675,2,6201,8131,21009,66048,46,179429,97224,342747,1729801,0.2
2022-02-01,26,5022,0,10606,8605,24233,71070,46,190035,105829,366980,1729801,0.21
2022-03-01,26,5269,0,15822,9783,30874,76339,46,205856,115612,397853,1729801,0.23
2022-04-01,26,2749,0,-3293,5225,4681,79081,46,202561,120835,402523,1729801,0.23
2022-05-01,26,4084,-1,3094,9207,16384,83165,45,205655,130042,418907,1729801,0.24
2022-06-01,26,5101,0,847,10793,16741,88266,45,206501,140835,435647,1729801,0.25
2022-07-01,26,5584,-15,5150,9051,19770,93850,30,211648,149886,455414,1729801,0.26
2022-08-01,26,4251,-1,-137,9765,13878,98101,29,211511,159652,469293,1729801,0.27
2022-09-01,26,4236,-3,6121,12045,22399,102337,26,217632,171697,491692,1729801,0.28
2022-10-01,26,2942,1,5578,12507,21028,105279,27,223210,184204,512720,1729801,0.3
2022-11-01,26,2777,-1,3838,12594,19208,108056,26,227048,196798,531928,1729801,0.31
2022-12-01,26,-3599,0,-3147,14891,8145,104457,26,223901,211689,540073,1729801,0.31
2023-01-01,26,3356,0,5996,13779,23131,107813,26,229896,225467,563202,1729801,0.33
2023-02-01,26,4906,-1,359,14309,19573,112719,25,230256,239780,582781,1729801,0.34
2023-03-01,26,4297,1,-1596,21513,24215,117016,26,228660,261293,606995,1729801,0.35
2023-04-01,26,3616,-2,462,23925,28001,120632,24,229121,285218,634995,1729801,0.37
2023-05-01,26,3662,-2,2601,26400,32661,124294,22,231722,311617,667655,1729801,0.39
2023-06-01,26,4331,2,2173,21161,27667,129635,25,234095,333170,696925,1729801,0.4
2023-07-01,26,3075,0,5529,18802,27406,131637,24,239435,351557,722653,1729801,0.42
2023-08-01,26,3867,-1,4609,25928,34403,135504,23,244044,377484,757055,1729801,0.44
2023-09-23,26,1055,-1,1696,25269,28019,136559,22,245740,402753,785075,1729801,0.45
2022-01-01,27,2507,0,1110,2093,5710,23716,33,44224,23712,91684,802896,0.11
2022-02-01,27,2007,0,3212,2211,7429,25723,33,47435,25922,99114,802896,0.12
2022-03-01,27,2034,-1,3271,2704,8008,27757,32,50702,28626,107117,802896,0.13
2022-04-01,27,957,-1,-3207,3026,774,28718,31,47513,31653,107914,802896,0.13
2022-05-01,27,755,0,828,3898,5481,29473,31,48341,35552,113395,802896,0.14
2022-06-01,27,1506,-1,701,4774,6980,30979,30,49042,40325,120376,802896,0.15
2022-07-01,27,1722,-8,-76,8868,10506,32701,22,48964,49191,130878,802896,0.16
2022-08-01,27,1049,-1,757,10766,12571,33750,21,49721,59958,143448,802896,0.18
2022-09-01,27,1208,-1,959,7313,9479,34958,20,50680,67269,152925,802896,0.19
2022-10-01,27,819,0,355,5676,6850,35777,20,51035,72944,159774,802896,0.2
2022-11-01,27,730,0,-623,3069,3176,36507,20,50383,75972,162881,802896,0.2
2022-12-01,27,-1475,0,-123,5337,3740,35032,20,50291,81349,166693,802896,0.21
2023-01-01,27,474,0,790,7240,8504,35506,20,51080,88588,175194,802896,0.22
2023-02-01,27,1229,0,-137,4556,5648,36735,20,50946,93147,180847,802896,0.23
2023-03-01,27,986,0,-605,5646,6028,37721,20,50342,98792,186875,802896,0.23
2023-04-01,27,991,0,-390,6190,6791,38712,20,49952,104980,193664,802896,0.24
2023-05-01,27,828,0,-763,7771,7836,39540,20,49187,112751,201498,802896,0.25
2023-06-01,27,1010,-1,20,7603,8632,40551,19,49212,120361,210142,802896,0.26
2023-07-01,27,795,1,541,7001,8337,41346,20,49746,127355,218466,802896,0.27
2023-08-01,27,1141,0,928,7692,9761,42487,20,50674,135045,228226,802896,0.28
2023-09-23,27,404,-1,-320,1756,1839,42891,19,50354,136802,230065,802896,0.29
2022-01-01,28,558,5,5220,6505,12288,8962,137,68955,54607,132660,576706,0.23
2022-02-01,28,-404,-2,2470,3785,5849,8558,135,71424,58392,138509,576706,0.24
2022-03-01,28,-159,-6,5025,6109,10969,8399,129,76449,64499,149476,576706,0.26
2022-04-01,28,-702,-8,-166,4077,3201,7697,121,76283,68579,152680,576706,0.26
2022-05-01,28,-488,-6,1218,4244,4968,7209,115,77501,72823,157648,576706,0.27
2022-06-01,28,-339,-5,1989,3527,5172,6870,110,79489,76350,162819,576706,0.28
2022-07-01,28,-315,-52,1499,-5627,-4495,6555,58,80988,70723,158322,576706,0.27
2022-08-01,28,-523,-5,-549,963,-114,6032,53,80439,71685,158209,576706,0.27
2022-09-01,28,-246,-2,-150,3159,2761,5786,51,80289,74844,160970,576706,0.28
2022-10-01,28,-183,-1,1793,3002,4611,5603,50,82082,77846,165581,576706,0.29
2022-11-01,28,-185,0,2848,854,3517,5418,50,84930,78700,169098,576706,0.29
2022-12-01,28,-2286,-1,698,4170,2581,3132,49,85628,82869,171678,576706,0.3
2023-01-01,28,-73,-3,1880,4777,6582,3059,46,87509,87645,178259,576706,0.31
2023-02-01,28,27,-7,33,4973,5026,3086,39,87540,92618,183284,576706,0.32
2023-03-01,28,-32,-2,-1592,7593,5967,3054,37,85947,100212,189250,576706,0.33
2023-04-01,28,-15,-1,-1439,7993,6538,3039,36,84507,108205,195787,576706,0.34
2023-05-01,28,-5,0,-941,10345,9399,3034,36,83566,118550,205186,576706,0.36
2023-06-01,28,33,-1,452,8466,8950,3067,35,84040,127065,214207,576706,0.37
2023-07-01,28,-18,-1,-45,7794,7730,3049,34,83971,134812,221866,576706,0.38
2023-08-01,28,-31,0,-810,7575,6734,3018,34,83161,142387,228600,576706,0.4
2023-09-23,28,-611,0,-2649,-2004,-5265,2407,34,80512,140383,223335,576706,0.39
2022-01-01,29,3912,5,1046,2114,7077,51281,113,73918,32246,157557,965580,0.16
2022-02-01,29,4619,-1,3342,403,8363,55900,112,77260,32649,165920,965580,0.17
2022-03-01,29,5199,-6,4621,3303,13117,61098,106,81875,35952,179031,965580,0.19
2022-04-01,29,3743,-4,-5629,3700,1810,64842,102,76239,39650,180832,965580,0.19
2022-05-01,29,5189,-2,1128,4295,10610,70031,100,77367,43945,191442,965580,0.2
2022-06-01,29,5089,0,1585,4545,11219,75120,100,78950,48489,202659,965580,0.21
2022-07-01,29,5893,-41,100,3490,9442,81013,59,79049,51979,212100,965580,0.22
2022-08-01,29,4491,-3,43,4677,9208,85504,56,79092,56656,221309,965580,0.23
2022-09-01,29,3979,-2,1163,4452,9592,89483,54,80255,61106,230899,965580,0.24
2022-10-01,29,3340,-1,2699,5095,11133,92823,53,82954,66202,242033,965580,0.25
2022-11-01,29,2803,-2,1737,2851,7389,95626,51,84691,69053,249422,965580,0.26
2022-12-01,29,3610,0,-171,5557,8996,99236,51,84520,74608,258417,965580,0.27
2023-01-01,29,2393,1,2609,6439,11442,101628,52,87129,81047,269858,965580,0.28
2023-02-01,29,4369,-4,1384,5970,11719,105997,48,88514,87019,281578,965580,0.29
2023-03-01,29,3868,-4,-142,8222,11944,109865,44,88372,95239,293521,965580,0.3
2023-04-01,29,3242,1,-96,8939,12086,113107,45,88276,104179,305608,965580,0.32
2023-05-01,29,3107,0,189,9418,12714,116214,45,88465,113596,318320,965580,0.33
2023-06-01,29,3978,-1,732,8517,13225,120223,44,89249,122167,331684,965580,0.34
2023-07-01,29,2279,0,1168,7014,10461,122470,44,90360,129117,341990,965580,0.35
2023-08-01,29,3206,0,3514,7869,14589,125676,44,93871,136987,356579,965580,0.37
2023-09-23,29,2488,-2,538,3218,6242,128164,42,94410,140205,362821,965580,0.38
2022-01-01,30,673,0,29,970,1672,8349,12,596,8223,17178,182814,0.09
2022-02-01,30,932,0,42,980,1954,9281,12,638,9201,19132,182814,0.1
2022-03-01,30,1046,-1,41,923,2009,10327,11,679,10123,21140,182814,0.12
2022-04-01,30,942,0,10,527,1479,11268,11,688,10655,22624,182814,0.12
2022-05-01,30,1065,-1,-24,-881,159,12333,10,664,9774,22783,182814,0.12
2022-06-01,30,1194,0,3,416,1613,13527,10,667,10189,24394,182814,0.13
2022-07-01,30,1556,-1,40,487,2082,15083,9,707,10672,26471,182814,0.14
2022-08-01,30,1353,0,-5,601,1949,16436,9,702,11274,28420,182814,0.16
2022-09-01,30,1128,0,0,332,1460,17564,9,702,11603,29877,182814,0.16
2022-10-01,30,849,0,53,649,1551,18413,9,755,12251,31427,182814,0.17
2022-11-01,30,724,1,101,468,1294,19137,10,855,12719,32721,182814,0.18
2022-12-01,30,1039,0,75,813,1927,20176,10,930,13532,34648,182814,0.19
2023-01-01,30,423,-1,77,1178,1677,20599,9,1007,14705,36319,182814,0.2
2023-02-01,30,954,2,67,1251,2274,21552,11,1074,15963,38602,182814,0.21
2023-03-01,30,733,0,93,1195,2021,22285,11,1167,17158,40622,182814,0.22
2023-04-01,30,884,0,55,769,1708,23169,11,1222,17926,42329,182814,0.23
2023-05-01,30,619,0,59,1797,2475,23788,11,1281,19722,44802,182814,0.25
2023-06-01,30,951,-1,133,1576,2659,24739,10,1415,21298,47462,182814,0.26
2023-07-01,30,548,0,43,930,1521,25287,10,1456,22224,48978,182814,0.27
2023-08-01,30,944,0,-5,475,1414,26231,10,1451,22698,50389,182814,0.28
2023-09-23,30,718,0,3,191,912,26949,10,1454,22888,51301,182814,0.28
2022-01-01,31,733,0,149,1359,2241,13026,32,1826,16581,31464,281387,0.11
2022-02-01,31,1523,1,212,1462,3198,14549,33,2037,18043,34661,281387,0.12
2022-03-01,31,1606,1,211,1604,3422,16155,34,2248,19646,38082,281387,0.14
2022-04-01,31,1582,0,156,1215,2953,17737,34,2404,20860,41034,281387,0.15
2022-05-01,31,1828,0,-21,269,2076,19565,34,2383,21128,43110,281387,0.15
2022-06-01,31,2299,2,-22,981,3260,21864,36,2361,22107,46367,281387,0.16
2022-07-01,31,1854,4,-5,589,2442,23718,40,2355,22691,48803,281387,0.17
2022-08-01,31,2255,7,70,1419,3751,25973,47,2424,24110,52554,281387,0.19
2022-09-01,31,1761,7,-68,1317,3017,27734,54,2356,25422,55566,281387,0.2
2022-10-01,31,1589,3,-102,1231,2721,29323,57,2253,26649,58282,281387,0.21
2022-11-01,31,1436,3,8,618,2065,30759,60,2261,27268,60348,281387,0.21
2022-12-01,31,1669,0,98,1275,3042,32428,60,2358,28540,63386,281387,0.23
2023-01-01,31,476,1,70,1509,2056,32904,61,2425,30042,65433,281387,0.23
2023-02-01,31,1862,-1,90,1016,2967,34766,60,2515,31073,68415,281387,0.24
2023-03-01,31,1757,2,86,1135,2980,36523,62,2599,32207,71391,281387,0.25
2023-04-01,31,1676,0,13,822,2511,38199,62,2612,33029,73902,281387,0.26
2023-05-01,31,2280,-4,-23,1698,3951,40479,58,2588,34725,77850,281387,0.28
2023-06-01,31,2294,-3,68,1494,3853,42773,56,2656,36233,81718,281387,0.29
2023-07-01,31,1999,0,41,1572,3612,44772,55,2697,37790,85314,281387,0.3
2023-08-01,31,2138,2,78,1324,3542,46910,57,2775,39114,88856,281387,0.32
2023-09-23,31,1728,1,-68,-1124,537,48638,58,2707,37990,89391,281387,0.32
2022-01-01,32,1061,0,3404,1151,5615,27962,9,64896,17796,110660,531329,0.21
2022-02-01,32,3354,0,2277,287,5917,31316,9,67172,18083,116578,531329,0.22
2022-03-01,32,2949,-2,3555,2368,8870,34265,7,70727,20451,125448,531329,0.24
2022-04-01,32,3504,0,-1418,1993,4079,37769,7,69309,22441,129525,531329,0.24
2022-05-01,32,3866,0,78,2117,6061,41635,7,69387,24558,135586,531329,0.26
2022-06-01,32,4794,0,-1211,2057,5639,46429,7,68175,26616,141224,531329,0.27
2022-07-01,32,4610,-4,-3047,1330,2889,51038,3,65126,27945,144111,531329,0.27
2022-08-01,32,4104,0,-874,1657,4888,55142,3,64252,29602,149000,531329,0.28
2022-09-01,32,3933,0,-645,2998,6286,59075,3,63606,32597,155283,531329,0.29
2022-10-01,32,3286,0,613,2424,6323,62361,3,64219,35022,161605,531329,0.3
2022-11-01,32,2861,0,643,1082,4586,65222,3,64862,36104,166191,531329,0.31
2022-12-01,32,2576,0,251,2961,5788,67798,3,65113,39065,171979,531329,0.32
2023-01-01,32,-1275,0,3403,2171,4299,66523,3,68514,41236,176276,531329,0.33
2023-02-01,32,3193,-1,975,3761,7928,69716,2,69490,44997,184205,531329,0.35
2023-03-01,32,3057,0,-770,7432,9720,72773,2,68720,52429,193924,531329,0.36
2023-04-01,32,3101,0,-969,5534,7664,75874,2,67752,57963,201588,531329,0.38
2023-05-01,32,5636,0,-1498,5645,9782,81509,2,66254,63605,211370,531329,0.4
2023-06-01,32,5101,0,-961,4320,8460,86612,2,65297,67950,219862,531329,0.41
2023-07-01,32,4756,0,-427,2992,7321,91366,2,64866,70916,227150,531329,0.43
2023-08-01,32,4562,0,1469,3999,10031,95928,2,66334,74915,237179,531329,0.45
2023-09-23,32,4392,0,18,1063,5472,100320,2,66352,75977,242651,531329,0.46
2022-01-01,33,320,0,315,876,1511,3263,6,4572,6896,14737,169755,0.09
2022-02-01,33,214,0,120,1051,1385,3477,6,4692,7947,16122,169755,0.09
2022-03-01,33,283,0,431,956,1670,3760,6,5123,8903,17792,169755,0.1
2022-04-01,33,185,0,175,746,1106,3945,6,5298,9649,18898,169755,0.11
2022-05-01,33,246,0,-60,418,604,4191,6,5238,10067,19502,169755,0.11
2022-06-01,33,267,0,87,759,1113,4458,6,5324,10825,20613,169755,0.12
2022-07-01,33,298,-4,173,1121,1588,4756,2,5496,11945,22199,169755,0.13
2022-08-01,33,270,0,142,963,1375,5026,2,5638,12908,23574,169755,0.14
2022-09-01,33,249,0,321,904,1474,5275,2,5959,13812,25048,169755,0.15
2022-10-01,33,165,0,86,574,825,5440,2,6045,14385,25872,169755,0.15
2022-11-01,33,150,0,61,492,703,5590,2,6106,14877,26575,169755,0.16
2022-12-01,33,-482,0,16,876,410,5108,2,6122,15752,26984,169755,0.16
2023-01-01,33,125,0,135,998,1258,5233,2,6257,16750,28242,169755,0.17
2023-02-01,33,234,0,-13,829,1050,5467,2,6243,17578,29290,169755,0.17
2023-03-01,33,233,-1,-206,1031,1057,5700,1,6037,18609,30347,169755,0.18
2023-04-01,33,178,0,-95,992,1075,5878,1,5942,19601,31422,169755,0.19
2023-05-01,33,249,0,-18,1201,1432,6127,1,5924,20802,32854,169755,0.19
2023-06-01,33,216,0,-59,1028,1185,6343,1,5865,21831,34040,169755,0.2
2023-07-01,33,132,0,79,754,965,6475,1,5944,22584,35004,169755,0.21
2023-08-01,33,243,0,28,1045,1316,6718,1,5972,23629,36320,169755,0.21
2023-09-23,33,-96,0,-190,-356,-642,6622,1,5782,23273,35678,169755,0.21
2022-01-01,34,1513,15,4517,5411,11456,11451,85,55398,49533,116467,1268437,0.09
2022-02-01,34,508,17,4410,2985,7920,11959,102,59808,52518,124387,1268437,0.1
2022-03-01,34,277,4,6731,5693,12705,12236,106,66539,58211,137092,1268437,0.11
2022-04-01,34,-309,9,2416,4418,6534,11927,115,68955,62629,143626,1268437,0.11
